Mekan,URL
"MI - Detroit","https://www.copart.com/saleListResult/61/2026-03-20?location=MI%20-%20Detroit&saleDate=1774015200000&liveAuction=false&from=&yardNum=61"
"MI - Ionia","https://www.copart.com/saleListResult/160/2026-03-20?location=MI%20-%20Ionia&saleDate=1774015200000&liveAuction=false&from=&yardNum=160"
"OH - Dayton","https://www.copart.com/saleListResult/166/2026-03-20?location=OH%20-%20Dayton&saleDate=1774015200000&liveAuction=false&from=&yardNum=166"
"SC - Columbia","https://www.copart.com/saleListResult/56/2026-03-20?location=SC%20-%20Columbia&saleDate=1774015200000&liveAuction=false&from=&yardNum=56"
"VA - Richmond","https://www.copart.com/saleListResult/139/2026-03-20?location=VA%20-%20Richmond&saleDate=1774015200000&liveAuction=false&from=&yardNum=139"
"Equipment Specialty Sale","https://www.copart.com/saleListResult/837/2026-03-20?location=Equipment%20Specialty%20Sale&saleDate=1774022400000&liveAuction=false&from=&yardNum=837"
"IA - Des Moines","https://www.copart.com/saleListResult/60/2026-03-20?location=IA%20-%20Des%20Moines&saleDate=1774026000000&liveAuction=false&from=&yardNum=60"
"MO - St. Louis","https://www.copart.com/saleListResult/20/2026-03-20?location=MO%20-%20St.%20Louis&saleDate=1774026000000&liveAuction=false&from=&yardNum=20"
"TX - Houston","https://www.copart.com/saleListResult/11/2026-03-20?location=TX%20-%20Houston&saleDate=1774026000000&liveAuction=false&from=&yardNum=11"
"CA - Bakersfield","https://www.copart.com/saleListResult/5/2026-03-20?location=CA%20-%20Bakersfield&saleDate=1774033200000&liveAuction=false&from=&yardNum=5"
"CA - Vallejo","https://www.copart.com/saleListResult/1/2026-03-20?location=CA%20-%20Vallejo&saleDate=1774033200000&liveAuction=false&from=&yardNum=1"
"WA - Spanaway","https://www.copart.com/saleListResult/337/2026-03-20?location=WA%20-%20Spanaway&saleDate=1774033200000&liveAuction=false&from=&yardNum=337"
"Equipment Specialty Sale","https://www.copart.com/saleListResult/837/2026-03-20?location=Equipment%20Specialty%20Sale&saleDate=1774022400000&liveAuction=false&from=&yardNum=837"
"MI - Detroit","https://www.copart.com/saleListResult/61/2026-03-20?location=MI%20-%20Detroit&saleDate=1774015200000&liveAuction=false&from=&yardNum=61"
"CA - Bakersfield","https://www.copart.com/saleListResult/5/2026-03-20?location=CA%20-%20Bakersfield&saleDate=1774033200000&liveAuction=false&from=&yardNum=5"
"MO - St. Louis","https://www.copart.com/saleListResult/20/2026-03-20?location=MO%20-%20St.%20Louis&saleDate=1774026000000&liveAuction=false&from=&yardNum=20"
"IA - Des Moines","https://www.copart.com/saleListResult/60/2026-03-20?location=IA%20-%20Des%20Moines&saleDate=1774026000000&liveAuction=false&from=&yardNum=60"
"MI - Ionia","https://www.copart.com/saleListResult/160/2026-03-20?location=MI%20-%20Ionia&saleDate=1774015200000&liveAuction=false&from=&yardNum=160"
"OH - Dayton","https://www.copart.com/saleListResult/166/2026-03-20?location=OH%20-%20Dayton&saleDate=1774015200000&liveAuction=false&from=&yardNum=166"
"TX - Houston","https://www.copart.com/saleListResult/11/2026-03-20?location=TX%20-%20Houston&saleDate=1774026000000&liveAuction=false&from=&yardNum=11"
"VA - Richmond","https://www.copart.com/saleListResult/139/2026-03-20?location=VA%20-%20Richmond&saleDate=1774015200000&liveAuction=false&from=&yardNum=139"
"WA - Spanaway","https://www.copart.com/saleListResult/337/2026-03-20?location=WA%20-%20Spanaway&saleDate=1774033200000&liveAuction=false&from=&yardNum=337"
"CA - Vallejo","https://www.copart.com/saleListResult/1/2026-03-20?location=CA%20-%20Vallejo&saleDate=1774033200000&liveAuction=false&from=&yardNum=1"
"SC - Columbia","https://www.copart.com/saleListResult/56/2026-03-20?location=SC%20-%20Columbia&saleDate=1774015200000&liveAuction=false&from=&yardNum=56"
