Mekan,URL
"NJ - Trenton","https://www.copart.com/saleListResult/135/2026-03-30?location=NJ%20-%20Trenton&saleDate=1774879200000&liveAuction=false&from=&yardNum=135"
"NY - Albany","https://www.copart.com/saleListResult/94/2026-03-30?location=NY%20-%20Albany&saleDate=1774879200000&liveAuction=false&from=&yardNum=94"
"NY - Long Island","https://www.copart.com/saleListResult/30/2026-03-30?location=NY%20-%20Long%20Island&saleDate=1774879200000&liveAuction=false&from=&yardNum=30"
"NY - Syracuse","https://www.copart.com/saleListResult/25/2026-03-30?location=NY%20-%20Syracuse&saleDate=1774879200000&liveAuction=false&from=&yardNum=25"
"WI - Milwaukee South","https://www.copart.com/saleListResult/371/2026-03-30?location=WI%20-%20Milwaukee%20South&saleDate=1774890000000&liveAuction=false&from=&yardNum=371"
"CA - San Bernardino","https://www.copart.com/saleListResult/7/2026-03-30?location=CA%20-%20San%20Bernardino&saleDate=1774897200000&liveAuction=false&from=&yardNum=7"
"CA - Sun Valley","https://www.copart.com/saleListResult/180/2026-03-30?location=CA%20-%20Sun%20Valley&saleDate=1774897200000&liveAuction=false&from=&yardNum=180"
"NY - Albany","https://www.copart.com/saleListResult/94/2026-03-30?location=NY%20-%20Albany&saleDate=1774879200000&liveAuction=false&from=&yardNum=94"
"CA - Sun Valley","https://www.copart.com/saleListResult/180/2026-03-30?location=CA%20-%20Sun%20Valley&saleDate=1774897200000&liveAuction=false&from=&yardNum=180"
"NY - Long Island","https://www.copart.com/saleListResult/30/2026-03-30?location=NY%20-%20Long%20Island&saleDate=1774879200000&liveAuction=false&from=&yardNum=30"
"NY - Syracuse","https://www.copart.com/saleListResult/25/2026-03-30?location=NY%20-%20Syracuse&saleDate=1774879200000&liveAuction=false&from=&yardNum=25"
"NJ - Trenton","https://www.copart.com/saleListResult/135/2026-03-30?location=NJ%20-%20Trenton&saleDate=1774879200000&liveAuction=false&from=&yardNum=135"
"WI - Milwaukee South","https://www.copart.com/saleListResult/371/2026-03-30?location=WI%20-%20Milwaukee%20South&saleDate=1774890000000&liveAuction=false&from=&yardNum=371"
"CA - San Bernardino","https://www.copart.com/saleListResult/7/2026-03-30?location=CA%20-%20San%20Bernardino&saleDate=1774897200000&liveAuction=false&from=&yardNum=7"
