Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99866725/salvage-2012-niss-maxima-al-birmingham,99866725,"3,903 USD",03/17/2026 09:00 pm GMT+4,2012,NISS,MAXIMA,3.5L  6,6,1N4AA5AP4CC803770,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,TOP/ROOF,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/99660505/salvage-2025-hyundai-tucson-sel-al-birmingham,99660505,"19,862 USD",03/17/2026 09:00 pm GMT+4,2025,HYUN,TUCSON,2.5L  4,4,3KMJB3DE9SE010135,CERT OF TITLE-SALVAGE TITLE,"34,339 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/99653875/salvage-2010-ford-mustang-al-birmingham,99653875,"8,163 USD",03/17/2026 09:00 pm GMT+4,2010,FORD,MUSTANG,4.0L  6,6,1ZVBP8AN0A5130035,CERT OF TITLE-SALVAGE TITLE,"58,943 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/96766175/salvage-2014-ford-f150-supercrew-al-birmingham,96766175,"8,295 USD",03/17/2026 09:00 pm GMT+4,2014,FORD,F150,5.0L  8,8,1FTFW1CF4EFC01080,CERT OF TITLE-SALVAGE TITLE,"188,167 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/95932235/salvage-2010-ford-mustang-al-birmingham,95932235,"4,255 USD",03/17/2026 09:00 pm GMT+4,2010,FORD,MUSTANG,4.0L  6,6,1ZVBP8EN1A5109835,CERT OF TITLE-SALVAGE TITLE,"234,360 E",EXEMPT,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/90367125/salvage-2015-hyundai-sonata-se-al-birmingham,90367125,"3,046 USD",03/17/2026 09:00 pm GMT+4,2015,HYUN,SONATA,2.4L  4,4,5NPE24AF5FH234673,CERT OF TITLE-SALVAGE TITLE,"267,668 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/79723865/clean-title-2018-infiniti-q50-3-0t-luxe-al-birmingham,79723865,"13,412 USD",03/17/2026 09:00 pm GMT+4,2018,INFI,Q50,3.0L 6,6,JN1EV7AP1JM359883,CERTIFICATE OF TITLE,"82,720 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/79364355/salvage-2013-nissan-rogue-s-al-birmingham,79364355,"4,590 USD",03/17/2026 09:00 pm GMT+4,2013,NISS,ROGUE,2.5L 4,4,JN8AS5MT1DW554882,CERT OF TITLE-SALVAGE TITLE,"138,875 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/78511145/clean-title-2019-ram-2500-tradesman-al-birmingham,78511145,"13,400 USD",03/17/2026 09:00 pm GMT+4,2019,RAM,2500,6.4L  8,8,3C6UR5HJ5KG565951,CERTIFICATE OF TITLE,"331,016 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/78430415/clean-title-2021-nissan-kicks-sv-al-birmingham,78430415,"13,100 USD",03/17/2026 09:00 pm GMT+4,2021,NISS,KICKS,1.6L  4,4,3N1CP5CV5ML480514,CERTIFICATE OF TITLE,"99,750 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
