Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/77533035/clean-title-2015-ram-1500-slt-az-phoenix,77533035,"10,900 USD",03/16/2026 10:00 pm GMT+4,2015,RAM,1500,3.0L  6,6,1C6RR7TM0FS513547,CERTIFICATE OF TITLE,"179,056 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/76444175/clean-title-2012-isuzu-npr-hd-box-truck-az-phoenix,76444175,"11,900 USD",03/16/2026 10:00 pm GMT+4,2012,ISU,NPR HD,5.2L  4,4,JALC4W162C7002768,CERTIFICATE OF TITLE,"201,112 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/99902585/salvage-2005-nissan-altima-az-phoenix,99902585,"3,450 USD",03/16/2026 11:00 pm GMT+4,2005,NISS,ALTIMA,3.5L  6,6,1N4BL11D65N498535,SALVAGE CERTIFICATE OF TITLE,"161,078 A",ACTUAL,SIDE,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/99717845/salvage-2019-ford-mustang-gt-az-phoenix,99717845,"32,125 USD",03/16/2026 11:00 pm GMT+4,2019,FORD,MUSTANG,5.0L  8,8,1FA6P8CF4K5151925,CERT OF TITLE - SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/99357915/salvage-2014-dodge-charger-se-az-phoenix,99357915,"6,710 USD",03/16/2026 11:00 pm GMT+4,2014,DODG,CHARGER,3.6L  6,6,2C3CDXBG1EH325414,CERT OF TITLE - SALVAGE,"153,395 A",ACTUAL,REAR END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/99026865/clean-title-2013-land-rover-range-rover-sport-hse-luxury-az-phoenix,99026865,"15,500 USD",03/16/2026 11:00 pm GMT+4,2013,LAND,RANGE ROVER SPORT,5.0L  8,8,SALSK2D45DA794515,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/98211165/clean-title-2016-land-rover-range-rover-evoque-se-az-phoenix,98211165,$1 USD,03/16/2026 11:00 pm GMT+4,2016,LAND,RANGE ROVER EVOQUE,2.0L  4,4,SALVP2BG0GH130811,CERTIFICATE OF TITLE,"124,930 A",ACTUAL,SIDE,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/97788775/salvage-1998-honda-civic-lx-az-phoenix,97788775,"3,013 USD",03/16/2026 11:00 pm GMT+4,1998,HOND,CIVIC,1.6L 4,4,1HGEJ6672WL004568,CERT OF TITLE - SALVAGE,"72,417 A",ACTUAL,FRONT END,200 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/97361195/salvage-2019-ford-f350-utility-service-truck-az-phoenix,97361195,"34,130 USD",03/16/2026 11:00 pm GMT+4,2019,FORD,F350,6.7L  8,8,1FD8W3HT0KED76779,CERT OF TITLE - SALVAGE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/96973335/clean-title-2020-land-rover-discovery-sport-az-phoenix,96973335,"16,300 USD",03/16/2026 11:00 pm GMT+4,2020,LAND,DISCOVERY SPORT,2.0L  4,4,SALCK2FX4LH856018,CERTIFICATE OF TITLE,"78,876 A",ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/96089105/2024-kia-ev6-light-az-phoenix,96089105,$1 USD,03/16/2026 11:00 pm GMT+4,2024,KIA,EV6,0,0,KNDC3DLC4R5613997,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/95449145/salvage-2022-chevrolet-silverado-ltd-k1500-rst-az-phoenix,95449145,"31,674 USD",03/16/2026 11:00 pm GMT+4,2022,CHEV,SILVERADO LTD,5.3L  8,8,1GCUYEED9NZ233784,SALVAGE CERTIFICATE OF TITLE,"81,196 A",ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/86407695/salvage-2020-hyundai-santa-fe-limited-az-phoenix,86407695,"18,197 USD",03/16/2026 11:00 pm GMT+4,2020,HYUN,SANTA FE,2.0L  4,4,5NMS5CAA9LH144217,CERT OF TITLE - SALVAGE,"91,501 A",ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/86188845/clean-title-2023-mitsubishi-eclipse-cross-se-az-phoenix,86188845,$1 USD,03/16/2026 11:00 pm GMT+4,2023,MITS,ECLIPSE CROSS,1.5L  4,4,JA4ATWAA1PZ036494,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79972575/clean-title-2007-honda-civic-lx-az-phoenix,79972575,"2,400 USD",03/16/2026 11:00 pm GMT+4,2007,HOND,CIVIC,1.8L 4,4,1HGFA16587L064104,CERTIFICATE OF TITLE,"206,915 A",ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79838465/clean-title-2013-audi-q5-prestige-az-phoenix,79838465,$1 USD,03/16/2026 11:00 pm GMT+4,2013,AUDI,Q5,3.0L 6,6,WA1WGAFP0DA098389,CERTIFICATE OF TITLE,"137,344 A",ACTUAL,REAR END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79810265/salvage-2024-jeep-gladiator-rubicon-az-phoenix,79810265,$1 USD,03/16/2026 11:00 pm GMT+4,2024,JEP,GLADIATOR,3.6L 6,6,1C6JJTBG8RL118202,CERT OF TITLE - SALVAGE,"47,656 A",ACTUAL,MINOR DENT/SCRATCHES,"6,800 USD",0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79807475/clean-title-2018-bmw-x5-m-az-phoenix,79807475,$1 USD,03/16/2026 11:00 pm GMT+4,2018,BMW,X5,4.4L 8,8,5YMKT6C58J0Y84000,CERT OF TITLE-RESTORED SALVAGE,"69,563 A",ACTUAL,NORMAL WEAR,"3,450 USD",0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79785315/salvage-2007-dodge-charger-r-az-phoenix,79785315,"7,745 USD",03/16/2026 11:00 pm GMT+4,2007,DODG,CHARGER,5.7L 8,8,2B3KA53H37H661971,CERT OF TITLE - SALVAGE,"108,334 A",ACTUAL,FRONT END,200 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79747565/salvage-2014-honda-civic-lx-az-phoenix,79747565,"10,730 USD",03/16/2026 11:00 pm GMT+4,2014,HOND,CIVIC,1.8L 4,4,2HGFB2F54EH560255,CERT OF TITLE - SALVAGE,"94,480 A",ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79739945/clean-title-2015-ford-explorer-xlt-az-phoenix,79739945,"4,300 USD",03/16/2026 11:00 pm GMT+4,2015,FORD,EXPLORER,2.0L 4,4,1FM5K7D92FGC27834,CERTIFICATE OF TITLE,"165,101 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79687445/clean-title-2014-chevrolet-tahoe-c1500-ls-az-phoenix,79687445,$1 USD,03/16/2026 11:00 pm GMT+4,2014,CHEV,TAHOE,5.3L 8,8,1GNSCAE05ER153580,CERTIFICATE OF TITLE,"146,115 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79669825/salvage-2020-ram-2500-laramie-az-phoenix,79669825,$1 USD,03/16/2026 11:00 pm GMT+4,2020,RAM,2500,6.7L 6,6,3C6UR5FL5LG256437,SALVAGE VEHICLE TITLE,"48,009 A",ACTUAL,NORMAL WEAR,"15,100 USD",0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79626615/salvage-2017-jeep-patriot-sport-az-phoenix,79626615,"6,182 USD",03/16/2026 11:00 pm GMT+4,2017,JEP,PATRIOT,2.0L 4,4,1C4NJPBA3HD119571,CERT OF TITLE - SALVAGE,"121,134 A",ACTUAL,FRONT END,0 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
https://www.copart.com/lot/79425835/clean-title-2011-volkswagen-touareg-hybrid-az-phoenix,79425835,"11,309 USD",03/16/2026 11:00 pm GMT+4,2011,VOLK,TOUAREG,3.0L 6,6,WVGFG9BP5BD001253,CERTIFICATE OF TITLE,"187,462 A",ACTUAL,MINOR DENT/SCRATCHES,475 USD,0 USD,0,AZ - PHOENIX,0,N/A,N/A
