Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99832085/salvage-2018-chevrolet-camaro-ls-ca-napa,99832085,"16,724 USD",03/16/2026 11:00 pm GMT+4,2018,CHEV,CAMARO,2.0L  4,4,1G1FA1RX8J0189696,SALVAGE CERTIFICATE,"55,520 A",ACTUAL,REAR END,15 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/96722285/clean-title-2015-hyundai-elantra-se-ca-napa,96722285,$1 USD,03/16/2026 11:00 pm GMT+4,2015,HYUN,ELANTRA,1.8L  4,4,5NPDH4AE0FH557370,DIS/DLR/EXP ONLY CLEAN TITLE,"115,353 A",ACTUAL,NORMAL WEAR,15 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/95774355/salvage-2015-mini-cooper-s-countryman-ca-napa,95774355,"6,721 USD",03/16/2026 11:00 pm GMT+4,2015,MIN,COOPER,1.6L  4,4,WMWZC5C59FWM19356,SALVAGE CERTIFICATE,"142,839 N",NOT ACTUAL,VANDALISM,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/78906355/salvage-2014-lexus-es-350-base-ca-napa,78906355,"13,357 USD",03/16/2026 11:00 pm GMT+4,2014,LEXS,ES 350,3.5L 6,6,JTHBK1GGXE2113492,SALVAGE CERTIFICATE,"116,474 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/75512935/salvage-2002-volkswagen-new-beetle-gl-ca-napa,75512935,"5,229 USD",03/16/2026 11:00 pm GMT+4,2002,VOLK,NEW BEETLE,2.0L  4,4,3VWBK21C72M446036,SALVAGE CERTIFICATE,"145,126 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/75057215/salvage-2017-honda-accord-sport-special-edition-ca-napa,75057215,"14,418 USD",03/16/2026 11:00 pm GMT+4,2017,HOND,ACCORD,2.4L  4,4,1HGCR2F15HA280777,SALVAGE CERTIFICATE,"121,791 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/74296295/salvage-2016-bmw-328-i-sulev-ca-napa,74296295,"11,015 USD",03/16/2026 11:00 pm GMT+4,2016,BMW,328,2.0L  4,4,WBA8E9C56GK644842,SALVAGE CERTIFICATE,"70,527 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/73112055/salvage-2017-kia-soul-ev-ca-napa,73112055,"10,217 USD",03/16/2026 11:00 pm GMT+4,2017,KIA,SOUL EV,,,KNDJP3AE3H7022248,DLR/DIS/EXP ONLY SALVAGE TITLE,"62,244 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/72874955/salvage-2021-tesla-model-y-ca-napa,72874955,"23,268 USD",03/16/2026 11:00 pm GMT+4,2021,TESL,MODEL Y,, ,5YJYGDEE4MF222980,SALVAGE CERTIFICATE,"89,365 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/72692385/clean-title-2015-ford-escape-se-ca-napa,72692385,$1 USD,03/16/2026 11:00 pm GMT+4,2015,FORD,ESCAPE,1.6L  4,4,1FMCU0GX9FUB20039,DIS/DLR/EXP ONLY CLEAN TITLE,"165,210 A",ACTUAL,MINOR DENT/SCRATCHES,15 USD,0 USD,0,CA - NAPA,0,N/A,N/A
https://www.copart.com/lot/72494655/salvage-2014-bmw-328-xigt-ca-napa,72494655,"8,463 USD",03/16/2026 11:00 pm GMT+4,2014,BMW,328,2.0L  4,4,WBA3X5C52ED559740,SALVAGE CERTIFICATE,"137,101 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - NAPA,0,N/A,N/A
