Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99508625/salvage-2017-chevrolet-silverado-c1500-lt-ca-fresno,99508625,"22,603 USD",03/16/2026 11:00 pm GMT+4,2017,CHEV,SILVERADO,5.3L  8,8,3GCPCREC6HG348874,SALVAGE CERTIFICATE,"122,066 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/98206585/clean-title-2020-ford-f550-super-duty-ca-fresno,98206585,$1 USD,03/16/2026 11:00 pm GMT+4,2020,FORD,F550,6.7L  8,8,1FDUF5GT8LDA12953,DIS/DLR/EXP ONLY CLEAN TITLE,"245,440 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/96086645/clean-title-2015-lincoln-mkc-ca-fresno,96086645,$1 USD,03/16/2026 11:00 pm GMT+4,2015,LINC,MKC,2.3L  4,4,5LMTJ2AH5FUJ10241,DIS/DLR/EXP ONLY CLEAN TITLE,"137,497 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/92745865/salvage-2024-chevrolet-malibu-lt-ca-fresno,92745865,$1 USD,03/16/2026 11:00 pm GMT+4,2024,CHEV,MALIBU,1.5L  4,4,1G1ZD5ST7RF138668,DLR ONLY SALVAGE/REBUILDABLE,"38,865 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/78741855/clean-title-2025-carry-on-5x10dlpe7k-tp-dump-trailer-ca-fresno,78741855,$1 USD,03/16/2026 11:00 pm GMT+4,2025,CADK,UNKNOWN,,,4YMBD1025SN002446,DIS/DLR/EXP ONLY CLEAN TITLE (P),0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/78682385/salvage-2016-kia-sorento-l-ca-fresno,78682385,"8,303 USD",03/16/2026 11:00 pm GMT+4,2016,KIA,SORENTO,2.4L 4,4,5XYPG4A35GG078837,SALVAGE CERTIFICATE,"133,023 A",ACTUAL,VANDALISM,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/78378255/salvage-2017-mitsubishi-mirage-gt-ca-fresno,78378255,$1 USD,03/16/2026 11:00 pm GMT+4,2017,MITS,MIRAGE,1.2L 3,3,ML32A5HJ0HH009877,DIS/DLR/EXP APP FOR DUP SALVAG,"96,675 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/76868775/salvage-2015-ford-fiesta-s-ca-fresno,76868775,"4,555 USD",03/16/2026 11:00 pm GMT+4,2015,FORD,FIESTA,1.6L  4,4,3FADP4AJXFM225310,SALVAGE CERTIFICATE,"79,161 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/76651645/salvage-2015-toyota-camry-le-ca-fresno,76651645,"12,937 USD",03/16/2026 11:00 pm GMT+4,2015,TOYT,CAMRY,2.5L  4,4,4T1BF1FK0FU480995,SALVAGE CERTIFICATE,"114,011 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/76453505/salvage-2016-volkswagen-tiguan-s-ca-fresno,76453505,"11,025 USD",03/16/2026 11:00 pm GMT+4,2016,VOLK,TIGUAN,2.0L  4,4,WVGAV7AX4GW603997,SALVAGE CERTIFICATE,"82,805 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/76008505/salvage-2017-toyota-prius-two-ca-fresno,76008505,"9,517 USD",03/16/2026 11:00 pm GMT+4,2017,TOYT,PRIUS,1.8L 4,4,JTDKBRFU3H3045588,SALVAGE CERTIFICATE,"260,503 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/75165425/salvage-1999-chevrolet-gmt-400-c1500-ca-fresno,75165425,"3,801 USD",03/16/2026 11:00 pm GMT+4,1999,CHEV,GMT-400,5.7L  8,8,1GCEC19R1XR129553,SALVAGE CERTIFICATE,"243,282 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/74133175/salvage-2013-dodge-grand-caravan-se-ca-fresno,74133175,"3,952 USD",03/16/2026 11:00 pm GMT+4,2013,DODG,GRAND CARAVAN,3.6L  6,6,2C4RDGBG1DR731059,SALVAGE CERTIFICATE,"183,063 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/74042545/salvage-2007-toyota-fj-cruiser-ca-fresno,74042545,"15,315 USD",03/16/2026 11:00 pm GMT+4,2007,TOYT,FJ CRUISER,4.0L  6,6,JTEBU11F870022307,SALVAGE CERTIFICATE,"189,261 A",ACTUAL,FRONT END,500 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/73657675/salvage-2024-hyundai-ioniq-5-limited-ca-fresno,73657675,"32,438 USD",03/16/2026 11:00 pm GMT+4,2024,HYUN,IONIQ 5,, ,KM8KR4DE2RU288391,SALVAGE CERTIFICATE,"16,744 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/72821995/salvage-2017-hyundai-sonata-sport-ca-fresno,72821995,"7,748 USD",03/16/2026 11:00 pm GMT+4,2017,HYUN,SONATA,2.4L  4,4,5NPE34AF8HH549936,SALVAGE CERTIFICATE,"148,635 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/70219245/clean-title-2010-chevrolet-equinox-ltz-ca-fresno,70219245,"3,650 USD",03/16/2026 11:00 pm GMT+4,2010,CHEV,EQUINOX LTZ,3.0L  6,6,2CNFLGEY5A6234048,DEALER ONLY CLEAN TITLE,"129,256 E",EXEMPT,PARTIAL REPAIR,0 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
https://www.copart.com/lot/41796376/clean-title-2013-audi-q5-premium-plus-ca-fresno,41796376,"1,500 USD",03/16/2026 11:00 pm GMT+4,2013,AUDI,Q5,2.0L 4,4,WA1LFAFP8DA086948,DIS/DLR/EXP ONLY CLEAN TITLE,"131,529 A",ACTUAL,MECHANICAL,70 USD,0 USD,0,CA - FRESNO,0,N/A,N/A
