Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99556675/salvage-2005-honda-civic-ex-ca-martinez,99556675,"2,885 USD",03/16/2026 11:00 pm GMT+4,2005,HOND,CIVIC,1.7L  4,4,1HGEM21975L034642,SALVAGE CERTIFICATE,0 E,EXEMPT,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/98909665/salvage-2022-honda-accord-sport-ca-martinez,98909665,"29,906 USD",03/16/2026 11:00 pm GMT+4,2022,HOND,ACCORD,1.5L  4,4,1HGCV1F36NA095284,SALVAGE CERTIFICATE,"17,014 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/98793255/salvage-2004-chevrolet-colorado-ca-martinez,98793255,"6,753 USD",03/16/2026 11:00 pm GMT+4,2004,CHEV,COLORADO,3.5L  5,5,1GCCS136148112567,SALVAGE CERTIFICATE,0 E,EXEMPT,FRONT END,250 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/98496665/salvage-2021-subaru-impreza-ca-martinez,98496665,"12,054 USD",03/16/2026 11:00 pm GMT+4,2021,SUBA,IMPREZA,2.0L  4,4,4S3GTAB66M3710375,SALVAGE CERTIFICATE,"107,895 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/97808425/salvage-2016-hyundai-santa-fe-sport-ca-martinez,97808425,"10,541 USD",03/16/2026 11:00 pm GMT+4,2016,HYUN,SANTA FE SPORT,2.4L  4,4,5XYZT3LB5GG350371,SALVAGE CERTIFICATE,"165,552 A",ACTUAL,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/96195195/salvage-2018-ford-edge-sel-ca-martinez,96195195,"11,976 USD",03/16/2026 11:00 pm GMT+4,2018,FORD,EDGE,3.5L  6,6,2FMPK4J8XJBC13084,SALVAGE CERTIFICATE,"145,472 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/93355085/1992-oth-trailer-ca-martinez,93355085,"16,538 USD",03/16/2026 11:00 pm GMT+4,1992,OTH,TRAILER,,,1RESC6204NC921320,NON-REPAIRABLE VEHICLE CERT,0 E,EXEMPT,ROLLOVER,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/90120685/salvage-2007-toyota-prius-ca-martinez,90120685,"6,142 USD",03/16/2026 11:00 pm GMT+4,2007,TOYT,PRIUS,1.5L  4,4,JTDKB20U273263455,SALVAGE CERTIFICATE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/87312345/salvage-2013-hyundai-elantra-gls-ca-martinez,87312345,"7,095 USD",03/16/2026 11:00 pm GMT+4,2013,HYUN,ELANTRA,1.8L  4,4,5NPDH4AE2DH412831,SALVAGE CERTIFICATE,"111,433 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/82457765/salvage-2007-chevrolet-trailblazer-ss-ca-martinez,82457765,"18,346 USD",03/16/2026 11:00 pm GMT+4,2007,CHEV,TRAILBLAZER SS,6.0L  8,8,1GNET13HX72139689,SALVAGE CERTIFICATE,"137,613 A",ACTUAL,VANDALISM,100 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/79938895/salvage-2011-mazda-cx-9-ca-martinez,79938895,"7,153 USD",03/16/2026 11:00 pm GMT+4,2011,MAZD,CX-9,3.7L 6,6,JM3TB3DV3B0326089,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/79618855/salvage-2017-buick-encore-preferred-ca-martinez,79618855,"9,758 USD",03/16/2026 11:00 pm GMT+4,2017,BUIC,ENCORE,1.4L 4,4,KL4CJASB9HB260695,DIS/DLR/EXP CLEAN W/SALV HIST,"101,042 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/79490985/salvage-2012-honda-pilot-exln-ca-martinez,79490985,"8,228 USD",03/16/2026 11:00 pm GMT+4,2012,HOND,PILOT,3.5L 6,6,5FNYF4H73CB052898,SALVAGE CERTIFICATE,"161,453 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/79482955/salvage-2015-bmw-328-i-ca-martinez,79482955,"7,706 USD",03/16/2026 11:00 pm GMT+4,2015,BMW,328,2.0L 4,4,WBA3A5C56FF606288,SALVAGE CERTIFICATE,"202,641 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/78871155/2018-honda-accord-sport-ca-martinez,78871155,"17,831 USD",03/16/2026 11:00 pm GMT+4,2018,HOND,ACCORD,1.5L 4,4,1HGCV1F33JA184823,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/78762965/clean-title-2012-audi-a4-premium-ca-martinez,78762965,"6,978 USD",03/16/2026 11:00 pm GMT+4,2012,AUDI,A4,2.0L 4,4,WAUBFAFL3CN006765,DIS/DLR/EXP ONLY CLEAN TITLE,"92,086 A",ACTUAL,REAR END,150 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/78551745/salvage-2013-mini-cooper-s-ca-martinez,78551745,"6,388 USD",03/16/2026 11:00 pm GMT+4,2013,MIN,COOPER,1.6L 4,4,WMWSV3C55DT397130,SALVAGE CERTIFICATE,"106,625 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/78172135/clean-title-2013-kia-rio-5-door-lx-ca-martinez,78172135,$1 USD,03/16/2026 11:00 pm GMT+4,2013,KIA,RIO 5-DOOR,1.6L  4,4,KNADM5A33D6225606,DIS/DLR/EXP ONLY CLEAN TITLE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/78110705/salvage-2008-toyota-prius-base-ca-martinez,78110705,"4,239 USD",03/16/2026 11:00 pm GMT+4,2008,TOYT,PRIUS,1.5L 4,4,JTDKB20UX87719468,SALVAGE CERTIFICATE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/78007615/salvage-2018-audi-a6-premium-ca-martinez,78007615,"18,631 USD",03/16/2026 11:00 pm GMT+4,2018,AUDI,A6,2.0L  4,4,WAUF8AFC7JN051555,SALVAGE CERTIFICATE,"57,313 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/77830935/salvage-2021-chevrolet-bolt-ev-lt-ca-martinez,77830935,"12,231 USD",03/16/2026 11:00 pm GMT+4,2021,CHEV,BOLT EV,,,1G1FY6S04M4114433,SALVAGE CERTIFICATE,"77,391 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/77806785/salvage-2024-toyota-corolla-le-ca-martinez,77806785,"16,167 USD",03/16/2026 11:00 pm GMT+4,2024,TOYT,COROLLA,2.0L  4,4,5YFB4MDE7RP119757,SALVAGE CERTIFICATE,"13,955 A",ACTUAL,ALL OVER,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/77798665/salvage-2008-toyota-highlander-base-ca-martinez,77798665,"7,319 USD",03/16/2026 11:00 pm GMT+4,2008,TOYT,HIGHLANDER,3.5L 6,6,JTEDS41A982003548,SALVAGE CERTIFICATE,"143,791 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/77683825/salvage-2018-toyota-camry-l-ca-martinez,77683825,"18,188 USD",03/16/2026 11:00 pm GMT+4,2018,TOYT,CAMRY,2.5L  4,4,4T1B11HK3JU586765,SALVAGE CERTIFICATE,"92,566 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/77150245/salvage-2015-honda-civic-ex-ca-martinez,77150245,"11,041 USD",03/16/2026 11:00 pm GMT+4,2015,HOND,CIVIC,1.8L 4,4,2HGFB2F85FH513294,SALVAGE CERTIFICATE,"140,317 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/77110155/salvage-2017-honda-accord-touring-ca-martinez,77110155,"17,407 USD",03/16/2026 11:00 pm GMT+4,2017,HOND,ACCORD,3.5L  6,6,1HGCR3F97HA029674,SALVAGE CERTIFICATE,"92,020 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/76710345/salvage-2014-honda-civic-lx-ca-martinez,76710345,"8,565 USD",03/16/2026 11:00 pm GMT+4,2014,HOND,CIVIC,1.8L  4,4,19XFB2F54EE252755,SALVAGE CERTIFICATE,"159,719 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/76546785/salvage-2018-kia-sedona-l-ca-martinez,76546785,"17,008 USD",03/16/2026 11:00 pm GMT+4,2018,KIA,SEDONA,3.3L  6,6,KNDMA5C19J6374315,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75780525/salvage-2023-dodge-charger-scat-pack-ca-martinez,75780525,"46,674 USD",03/16/2026 11:00 pm GMT+4,2023,DODG,CHARGER,6.4L  8,8,2C3CDXGJ9PH505523,SALVAGE CERTIFICATE,"28,941 A",ACTUAL,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75669325/salvage-2025-honda-civic-sport-ca-martinez,75669325,"27,838 USD",03/16/2026 11:00 pm GMT+4,2025,HOND,CIVIC,2.0L  4,4,2HGFE4F87SH348443,SALVAGE CERTIFICATE,"3,729 A",ACTUAL,STRIPPED,60 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75475125/salvage-2018-chevrolet-spark-ls-ca-martinez,75475125,"9,384 USD",03/16/2026 11:00 pm GMT+4,2018,CHEV,SPARK,1.4L  4,4,KL8CB6SA2JC473469,SALVAGE CERTIFICATE,"44,901 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75441885/salvage-2018-honda-accord-touring-ca-martinez,75441885,"14,614 USD",03/16/2026 11:00 pm GMT+4,2018,HOND,ACCORD,1.5L  4,4,1HGCV1F91JA191502,SALVAGE CERTIFICATE,"196,754 A",ACTUAL,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75392365/2023-hyundai-elantra-hybrid-limited-ca-martinez,75392365,"19,392 USD",03/16/2026 11:00 pm GMT+4,2023,HYUN,ELANTRA HYBRID,1.6L  4,4,KMHLN4AJ2PU086598,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75270585/salvage-2015-infinity-q50-premium-ca-martinez,75270585,"19,282 USD",03/16/2026 11:00 pm GMT+4,2015,INFI,Q50,3.7L  6,6,JN1BV7AP4FM355708,SALVAGE CERTIFICATE,"36,717 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75233355/salvage-2016-audi-q3-prestige-ca-martinez,75233355,"15,536 USD",03/16/2026 11:00 pm GMT+4,2016,AUDI,Q3,2.0L  4,4,WA1GFCFS8GR014574,SALVAGE CERTIFICATE,"81,979 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/75029775/2022-honda-accord-sport-ca-martinez,75029775,"24,352 USD",03/16/2026 11:00 pm GMT+4,2022,HOND,ACCORD,1.5L  4,4,1HGCV1F39NA012494,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,STRIPPED,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/74432445/salvage-2011-honda-cr-v-se-ca-martinez,74432445,"11,112 USD",03/16/2026 11:00 pm GMT+4,2011,HOND,CR-V,2.4L  4,4,JHLRE3H43BC012326,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/74269835/salvage-2022-subaru-impreza-ca-martinez,74269835,"18,408 USD",03/16/2026 11:00 pm GMT+4,2022,SUBA,IMPREZA,2.0L  4,4,4S3GTAB61N3727442,SALVAGE CERTIFICATE,"35,512 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/74267095/salvage-2007-mercedes-benz-c-230-ca-martinez,74267095,"6,343 USD",03/16/2026 11:00 pm GMT+4,2007,MERZ,C,2.5L  6,6,WDBRF52H17F924426,SALVAGE CERTIFICATE,"104,881 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/73549765/2022-honda-accord-hybrid-sport-ca-martinez,73549765,"21,285 USD",03/16/2026 11:00 pm GMT+4,2022,HOND,ACCORD,2.0L  4,4,1HGCV3F29NA015981,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/73207755/salvage-2019-acura-ilx-premium-a-spec-ca-martinez,73207755,"17,322 USD",03/16/2026 11:00 pm GMT+4,2019,ACUR,ILX,2.4L  4,4,19UDE2F86KA007335,SALVAGE CERTIFICATE,"76,596 A",ACTUAL,VANDALISM,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/73089725/2022-honda-civic-sport-ca-martinez,73089725,"19,400 USD",03/16/2026 11:00 pm GMT+4,2022,HOND,CIVIC,2.0L  4,4,2HGFE2F58NH525340,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/72704385/salvage-2019-gmc-yukon-denali-ca-martinez,72704385,"31,673 USD",03/16/2026 11:00 pm GMT+4,2019,GMC,YUKON,6.2L  8,8,1GKS2CKJ8KR104071,SALVAGE CERTIFICATE,"117,344 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
https://www.copart.com/lot/72550145/salvage-2016-hyundai-sonata-hybrid-ca-martinez,72550145,"5,505 USD",03/16/2026 11:00 pm GMT+4,2016,HYUN,SONATA,2.0L  4,4,KMHE24L15GA012026,SALVAGE CERTIFICATE,"169,065 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - MARTINEZ,0,N/A,N/A
