Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99108765/clean-title-2018-mercedes-benz-cla-250-ca-san-bernardino,99108765,"14,050 USD",03/16/2026 11:00 pm GMT+4,2018,MERZ,CLA,2.0L  4,4,WDDSJ4EB2JN557977,DIS/DLR/EXP ONLY CLEAN TITLE,"129,069 N",NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/98724555/salvage-2022-chevrolet-silverado-ltd-k1500-rst-ca-san-bernardino,98724555,"36,619 USD",03/16/2026 11:00 pm GMT+4,2022,CHEV,SILVERADO LTD,6.2L  8,8,1GCUYEELXNZ146449,SALVAGE CERTIFICATE,"83,105 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/97740735/clean-title-2016-jeep-cherokee-latitude-ca-san-bernardino,97740735,$1 USD,03/16/2026 11:00 pm GMT+4,2016,JEP,CHEROKEE,3.2L  6,6,1C4PJMCS5GW187372,CERTIFICATE OF TITLE,"105,521 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/95701285/clean-title-2017-mercedes-benz-cla-250-ca-san-bernardino,95701285,$1 USD,03/16/2026 11:00 pm GMT+4,2017,MERZ,CLA,2.0L  4,4,WDDSJ4EBXHN489471,DIS/DLR/EXP ONLY CLEAN TITLE,"124,808 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/93977975/salvage-2022-nissan-sentra-sv-ca-san-bernardino,93977975,"18,235 USD",03/16/2026 11:00 pm GMT+4,2022,NISS,SENTRA,2.0L  4,4,3N1AB8CV0NY258152,SALVAGE CERTIFICATE,"55,006 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/93816265/clean-title-2018-toyota-mirai-ca-san-bernardino,93816265,$1 USD,03/16/2026 11:00 pm GMT+4,2018,TOYT,MIRAI,U,U,JTDBVRBD5JA005043,DIS/DLR/EXP ONLY CLEAN TITLE,"73,589 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/93809935/clean-title-2018-hyundai-santa-fe-se-ca-san-bernardino,93809935,$1 USD,03/16/2026 11:00 pm GMT+4,2018,HYUN,SANTA FE,3.3L  6,6,KM8SM4HF2JU269815,DIS/DLR/EXP ONLY CLEAN TITLE,"138,706 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/93809465/salvage-2023-ford-mustang-mach-e-premium-ca-san-bernardino,93809465,$1 USD,03/16/2026 11:00 pm GMT+4,2023,FORD,MUSTANG MACH-E,,,3FMTK3SU3PMB06745,DIS/DLR/EXP ONLY SALVAGE CERT,"35,060 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/93699465/salvage-2023-lexus-rz-450e-ca-san-bernardino,93699465,"32,668 USD",03/16/2026 11:00 pm GMT+4,2023,LEXS,RZ,,,JTJAAAAB3PA005444,SALVAGE CERTIFICATE,"29,422 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/91265545/clean-title-2020-infiniti-q50-pure-ca-san-bernardino,91265545,$1 USD,03/16/2026 11:00 pm GMT+4,2020,INFI,Q50,3.0L  6,6,JN1EV7AP0LM203045,DIS/DLR/EXP ONLY CLEAN TITLE,"160,829 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/90112245/2024-kia-niro-wind-ca-san-bernardino,90112245,"26,000 USD",03/16/2026 11:00 pm GMT+4,2024,KIA,NIRO,0,0,KNDCR3L18R5103269,NON-REPAIRABLE CERTIFICATE,"21,968 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/85949105/clean-title-2020-jeep-renegade-latitude-ca-san-bernardino,85949105,$1 USD,03/16/2026 11:00 pm GMT+4,2020,JEP,RENEGADE,1.3L  4,4,ZACNJAB14LPK91306,CERTIFICATE OF TITLE,"248,927 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
