Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99382095/clean-title-2009-chevrolet-trailblazer-lt-ca-so-sacramento,99382095,$1 USD,03/16/2026 11:00 pm GMT+4,2009,CHEV,TRAILBLAZER,4.2L  6,6,1GNDT33S992132304,DIS/DLR/EXP APP FOR DUP CLEAN,"124,435 E",EXEMPT,NORMAL WEAR,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/98893595/clean-title-2016-mercedes-benz-gl-350-bluetec-ca-so-sacramento,98893595,"11,800 USD",03/16/2026 11:00 pm GMT+4,2016,MERZ,GL,3.0L  6,6,4JGDF2EE0GA691191,DIS/DLR/EXP ONLY CLEAN TITLE,"227,873 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/97808815/clean-title-2025-audi-q6-e-tron-premium-plus-ca-so-sacramento,97808815,"44,450 USD",03/16/2026 11:00 pm GMT+4,2025,AUDI,Q6 E-TRON,,,WA122BGF5SA022222,DIS/DLR/EXP ONLY CLEAN TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/97742305/clean-title-2018-infiniti-q50-pure-ca-so-sacramento,97742305,$1 USD,03/16/2026 11:00 pm GMT+4,2018,INFI,Q50,2.0L  4,4,JN1CV7AP0JM241170,DIS/DLR/EXP ONLY CLEAN TITLE,"59,382 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/97582755/clean-title-2015-mercedes-benz-c-300-4matic-ca-so-sacramento,97582755,"11,200 USD",03/16/2026 11:00 pm GMT+4,2015,MERZ,C,2.0L  4,4,55SWF4KB4FU024261,DIS/DLR/EXP ONLY CLEAN TITLE,"192,337 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/97557995/clean-title-2015-kia-soul-+-ca-so-sacramento,97557995,$1 USD,03/16/2026 11:00 pm GMT+4,2015,KIA,SOUL,2.0L  4,4,KNDJP3A52F7768980,DIS/DLR/EXP ONLY CLEAN TITLE,"161,437 A",ACTUAL,MINOR DENT/SCRATCHES,150 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/96572195/salvage-2015-audi-a3-premium-ca-so-sacramento,96572195,"9,100 USD",03/16/2026 11:00 pm GMT+4,2015,AUDI,A3,1.8L  4,4,WAUACGFF1F1018927,DLR ONLY SALVAGE/REBUILDABLE,"78,794 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/96571625/clean-title-2017-subaru-wrx-limited-ca-so-sacramento,96571625,"13,100 USD",03/16/2026 11:00 pm GMT+4,2017,SUBA,WRX,2.0L  4,4,JF1VA1L68H9841442,DIS/DLR/EXP ONLY CLEAN TITLE,"112,691 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/92743115/clean-title-2023-nissan-altima-s-ca-so-sacramento,92743115,$1 USD,03/16/2026 11:00 pm GMT+4,2023,NISS,ALTIMA,2.5L  4,4,1N4BL4BV8PN384449,DIS/DLR/EXP ONLY CLEAN TITLE,"70,648 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/91731415/clean-title-2020-kia-forte-fe-ca-so-sacramento,91731415,$1 USD,03/16/2026 11:00 pm GMT+4,2020,KIA,FORTE,2.0L  4,4,3KPF24AD1LE242482,DIS/DLR/EXP ONLY CLEAN TITLE,0 N,NOT ACTUAL,BURN - ENGINE,0 USD,0 USD,0,CA - SO SACRAMENTO,0,N/A,N/A
