Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98890855/salvage-2016-tesla-model-x-ca-sun-valley,98890855,"25,978 USD",03/16/2026 11:00 pm GMT+4,2016,TESL,MODEL X,,,5YJXCBE24GF011848,SALVAGE CERTIFICATE,"103,074 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/98721265/clean-title-2019-dodge-charger-rt-ca-sun-valley,98721265,$1 USD,03/16/2026 11:00 pm GMT+4,2019,DODG,CHARGER,5.7L  8,8,2C3CDXCT3KH754108,DIS/DLR/EXP ONLY CLEAN TITLE,"148,796 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/97757685/salvage-2019-hyundai-ioniq-limited-ca-sun-valley,97757685,"16,526 USD",03/16/2026 11:00 pm GMT+4,2019,HYUN,IONIQ,1.6L  4,4,KMHC05LC8KU121205,SALVAGE CERTIFICATE,"49,883 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/96952335/salvage-2020-hyundai-ioniq-blue-ca-sun-valley,96952335,"14,649 USD",03/16/2026 11:00 pm GMT+4,2020,HYUN,IONIQ,1.6L  4,4,KMHC65LC8LU185504,SALVAGE CERTIFICATE,"74,239 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/96331065/clean-title-2017-mercedes-benz-gle-550e-4matic-ca-sun-valley,96331065,"19,100 USD",03/16/2026 11:00 pm GMT+4,2017,MERZ,GLE,3.0L  6,6,4JGDA6DB9HA901043,DIS/DLR/EXP ONLY CLEAN TITLE,"153,044 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/96172435/salvage-2019-chevrolet-colorado-ca-sun-valley,96172435,"18,524 USD",03/16/2026 11:00 pm GMT+4,2019,CHEV,COLORADO,2.5L  4,4,1GCGSBEA3K1112522,SALVAGE CERTIFICATE,"82,962 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/94830645/salvage-2025-tesla-model-3-ca-sun-valley,94830645,"37,086 USD",03/16/2026 11:00 pm GMT+4,2025,TESL,MODEL 3,,,5YJ3E1EA8SF016604,SALVAGE CERTIFICATE,"7,000 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/94701335/salvage-2024-acura-zdx-a-spec-ca-sun-valley,94701335,"33,594 USD",03/16/2026 11:00 pm GMT+4,2024,ACUR,ZDX,0,0,4W5KHMRK5RZ515665,SALVAGE CERTIFICATE,"21,349 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/93518965/salvage-2024-volvo-xc60-plus-ca-sun-valley,93518965,"46,568 USD",03/16/2026 11:00 pm GMT+4,2024,VOLV,XC60,2.0L  4,4,YV4H60DL5R1831598,SALVAGE CERTIFICATE,"32,350 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
https://www.copart.com/lot/91266595/clean-title-2016-kia-sorento-lx-ca-sun-valley,91266595,$1 USD,03/16/2026 11:00 pm GMT+4,2016,KIA,SORENTO,2.4L  4,4,5XYPG4A38GG093574,DIS/DLR/EXP ONLY CLEAN TITLE,"225,963 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - SUN VALLEY,0,N/A,N/A
