Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99803585/salvage-2009-ford-edge-sel-co-denver-south,99803585,"4,706 USD",03/16/2026 10:00 pm GMT+4,2009,FORD,EDGE,3.5L  6,6,2FMDK48C59BB01821,SALVAGE CERTIFICATE OF TITLE,"181,163 E",EXEMPT,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/99803105/salvage-2024-cadillac-lyriq-luxury-co-denver-south,99803105,"41,240 USD",03/16/2026 10:00 pm GMT+4,2024,CADI,LYRIQ,,,1GYKPRRL2RZ122951,PUBLIC - SALVAGE TITLE,"12,201 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/99493645/salvage-2018-dodge-durango-gt-co-denver-south,99493645,"13,714 USD",03/16/2026 10:00 pm GMT+4,2018,DODG,DURANGO,3.6L  6,6,1C4RDJDG3JC282272,PUBLIC - SALVAGE TITLE,"169,225 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/99388095/salvage-2024-bmw-m3-competition-co-denver-south,99388095,"82,079 USD",03/16/2026 10:00 pm GMT+4,2024,BMW,M3,3.0L  6,6,WBS43AY0XRFS20073,PUBLIC - SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,275 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/99378145/salvage-2020-honda-civic-ex-co-denver-south,99378145,"16,974 USD",03/16/2026 10:00 pm GMT+4,2020,HOND,CIVIC,1.5L 4,4,19XFC1F39LE007629,PUBLIC - SALVAGE TITLE,"95,279 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/99168095/salvage-2018-mazda-cx-5-grand-touring-co-denver-south,99168095,"16,686 USD",03/16/2026 10:00 pm GMT+4,2018,MAZD,CX-5,2.5L  4,4,JM3KFADM1J1399143,PUBLIC - SALVAGE TITLE,"75,544 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/99042265/salvage-2022-infiniti-qx80-luxe-co-denver-south,99042265,"37,100 USD",03/16/2026 10:00 pm GMT+4,2022,INFI,QX80,5.6L 8,8,JN8AZ2AE3N9292413,SALVAGE TITLE,"40,987 A",ACTUAL,FRONT END,275 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98922315/salvage-2021-jeep-grand-cherokee-laredo-co-denver-south,98922315,"20,531 USD",03/16/2026 10:00 pm GMT+4,2021,JEP,GRAND CHEROKEE,3.6L 6,6,1C4RJFAG4MC550860,PUBLIC - SALVAGE TITLE,"59,781 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98778765/2018-foresriver-sierra-379-co-denver-south,98778765,$1 USD,03/16/2026 10:00 pm GMT+4,2018,FORE,SIERRA 379,,,4X4FSEP23JJ045903,NON-REPAIRABLE CERT OF TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98436835/salvage-2016-bmw-750-xi-co-denver-south,98436835,"20,983 USD",03/16/2026 10:00 pm GMT+4,2016,BMW,750,4.4L  8,8,WBA7F2C5XGG417897,SALVAGE CERTIFICATE OF TITLE,"87,614 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98398085/salvage-2023-volkswagen-id-4-pro-co-denver-south,98398085,"23,537 USD",03/16/2026 10:00 pm GMT+4,2023,VOLK,ID.4,,,1V2DNPE80PC010108,PUBLIC - SALVAGE TITLE,"9,036 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98323485/salvage-2010-acura-rdx-technology-co-denver-south,98323485,"6,537 USD",03/16/2026 10:00 pm GMT+4,2010,ACUR,RDX,2.3L  4,4,5J8TB1H54AA008158,PUBLIC - SALVAGE TITLE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98258085/salvage-2023-volkswagen-atlas-cross-sport-se-co-denver-south,98258085,"23,994 USD",03/16/2026 10:00 pm GMT+4,2023,VOLK,ATLAS CROSS SPORT,2.0L 4,4,1V2KC2CA9PC205467,PUBLIC - SALVAGE TITLE,"51,060 A",ACTUAL,SIDE,550 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98231935/salvage-2017-volkswagen-jetta-s-co-denver-south,98231935,"4,849 USD",03/16/2026 10:00 pm GMT+4,2017,VOLK,JETTA,1.4L  4,4,3VW2B7AJ3HM375860,PUBLIC - SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98191455/salvage-2017-toyota-rav4-xle-co-denver-south,98191455,"17,724 USD",03/16/2026 10:00 pm GMT+4,2017,TOYT,RAV4,2.5L  4,4,2T3RFREV7HW635660,PUBLIC - SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98184375/salvage-2019-subaru-impreza-co-denver-south,98184375,"12,908 USD",03/16/2026 10:00 pm GMT+4,2019,SUBA,IMPREZA,2.0L  4,4,4S3GKAA68K3608562,SALVAGE CERTIFICATE OF TITLE,"74,100 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98017065/salvage-2017-toyota-tundra-limited-co-denver-south,98017065,"35,435 USD",03/16/2026 10:00 pm GMT+4,2017,TOYT,TUNDRA,5.7L 8,8,5TFHW5F17HX649876,PUBLIC - SALVAGE TITLE,"74,721 A",ACTUAL,REAR END,"3,600 USD",0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/97611445/salvage-2015-ford-edge-sel-co-denver-south,97611445,"10,132 USD",03/16/2026 10:00 pm GMT+4,2015,FORD,EDGE,3.5L  6,6,2FMTK4J87FBB48801,SALVAGE CERTIFICATE OF TITLE,"113,236 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/97546655/clean-title-2001-nuwa-hitchiker-co-denver-south,97546655,"15,160 USD",03/16/2026 10:00 pm GMT+4,2001,NUWA,HITCHIKER,,,1NW32KR051D072857,CERTIFICATE OF TITLE,0 E,EXEMPT,HAIL,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/97243455/salvage-2016-lexus-rc-300-co-denver-south,97243455,"16,994 USD",03/16/2026 10:00 pm GMT+4,2016,LEXS,RC,3.5L  6,6,JTHSM5BCXG5001153,PUBLIC - SALVAGE TITLE,"67,047 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/97193195/clean-title-2019-chevrolet-impala-premier-co-denver-south,97193195,"17,171 USD",03/16/2026 10:00 pm GMT+4,2019,CHEV,IMPALA,3.6L 6,6,2G1105S33K9146192,CERTIFICATE OF TITLE,"91,676 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/97165875/salvage-2018-gmc-sierra-k1500-denali-co-denver-south,97165875,"23,451 USD",03/16/2026 10:00 pm GMT+4,2018,GMC,SIERRA,6.2L 8,8,3GTU2PEJXJG570199,SALVAGE TITLE,"136,269 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96845725/salvage-2016-honda-hr-v-lx-co-denver-south,96845725,"11,204 USD",03/16/2026 10:00 pm GMT+4,2016,HOND,HR-V,1.8L  4,4,3CZRU5H36GM711825,SALVAGE TITLE,"120,483 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96829615/salvage-2018-audi-q5-premium-plus-co-denver-south,96829615,"20,091 USD",03/16/2026 10:00 pm GMT+4,2018,AUDI,Q5,2.0L  4,4,WA1BNAFYXJ2212126,SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96618965/salvage-2006-buick-lucerne-cx-co-denver-south,96618965,"4,152 USD",03/16/2026 10:00 pm GMT+4,2006,BUIC,LUCERNE,3.8L 6,6,1G4HP57256U166904,PUBLIC - SALVAGE TITLE,"150,243 E",EXEMPT,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96595665/salvage-2020-land-rover-range-rover-p525-hse-co-denver-south,96595665,"39,807 USD",03/16/2026 10:00 pm GMT+4,2020,LAND,RANGE ROVER,5.0L 8,8,SALGS2SE9LA401387,SALVAGE TITLE,"51,345 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96507535/salvage-2021-lexus-is-350-f-sport-co-denver-south,96507535,"35,076 USD",03/16/2026 10:00 pm GMT+4,2021,LEXS,IS 350,3.5L 6,6,JTHGZ1B20M5043124,SALVAGE CERTIFICATE,"68,004 A",ACTUAL,SIDE,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96213955/salvage-2015-hyundai-elantra-se-co-denver-south,96213955,"7,551 USD",03/16/2026 10:00 pm GMT+4,2015,HYUN,ELANTRA,1.8L  4,4,KMHDH4AE3FU415385,PUBLIC - SALVAGE TITLE,"97,218 A",ACTUAL,VANDALISM,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96213385/salvage-2023-toyota-4runner-limited-co-denver-south,96213385,"44,865 USD",03/16/2026 10:00 pm GMT+4,2023,TOYT,4RUNNER,4.0L 6,6,JTEKU5JR5P6149949,PUBLIC - SALVAGE TITLE,"50,142 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96139085/salvage-2023-nissan-rogue-s-co-denver-south,96139085,"20,006 USD",03/16/2026 10:00 pm GMT+4,2023,NISS,ROGUE,1.5L  3,3,5N1BT3AB0PC901732,SALVAGE CERTIFICATE OF TITLE,"58,638 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/95926125/salvage-2018-ford-f150-supercrew-co-denver-south,95926125,"24,598 USD",03/16/2026 10:00 pm GMT+4,2018,FORD,F150,3.5L 6,6,1FTEW1EG4JKD72608,PUBLIC - SALVAGE TITLE,"75,255 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/95503855/salvage-2022-gmc-sierra-limited-k1500-slt-co-denver-south,95503855,"35,980 USD",03/16/2026 10:00 pm GMT+4,2022,GMC,SIERRA LIMITED,5.3L 8,8,3GTU9DED4NG132837,PUBLIC - SALVAGE TITLE,"71,408 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/95484165/salvage-2023-audi-q5-e-premium-55-co-denver-south,95484165,"27,242 USD",03/16/2026 10:00 pm GMT+4,2023,AUDI,Q5 E,2.0L 4,4,WA1G2BFY9P2027899,PUBLIC - SALVAGE TITLE,"59,864 A",ACTUAL,FRONT END,400 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/95180225/salvage-2008-ford-fusion-se-co-denver-south,95180225,"2,543 USD",03/16/2026 10:00 pm GMT+4,2008,FORD,FUSION,3.0L 6,6,3FAHP01148R139863,SALVAGE TITLE,"319,741 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/95143875/clean-title-2023-ford-f250-super-duty-co-denver-south,95143875,"63,323 USD",03/16/2026 10:00 pm GMT+4,2023,FORD,F250,6.7L 8,8,1FT8W2BT6PEC49114,CERTIFICATE OF TITLE,"67,982 A",ACTUAL,SIDE,500 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/94920375/salvage-2019-ford-f150-supercrew-co-denver-south,94920375,"26,674 USD",03/16/2026 10:00 pm GMT+4,2019,FORD,F150,2.7L 6,6,1FTEW1EP5KKD26819,PUBLIC - SALVAGE TITLE,"62,183 A",ACTUAL,SIDE,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/94820255/salvage-2012-nissan-xterra-x-co-denver-south,94820255,"5,765 USD",03/16/2026 10:00 pm GMT+4,2012,NISS,XTERRA,4.0L 6,6,5N1AN0NW2CC506284,SALVAGE TITLE,"194,948 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/94390345/salvage-2014-nissan-murano-sl-co-denver-south,94390345,"9,613 USD",03/16/2026 10:00 pm GMT+4,2014,NISS,MURANO,3.5L 6,6,JN8AZ1MWXEW506619,PUBLIC - SALVAGE TITLE,"91,204 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/94320265/salvage-2010-mazda-3-s-co-denver-south,94320265,"5,387 USD",03/16/2026 10:00 pm GMT+4,2010,MAZD,3,2.5L 4,4,JM1BL1H5XA1184056,SALVAGE CERTIFICATE,"161,060 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/93355515/clean-title-2021-kia-sportage-lx-co-denver-south,93355515,"13,911 USD",03/16/2026 10:00 pm GMT+4,2021,KIA,SPORTAGE,2.4L 4,4,KNDPMCAC5M7877884,CERTIFICATE OF TITLE,"88,730 A",ACTUAL,HAIL,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/93246965/salvage-2005-jeep-liberty-sport-co-denver-south,93246965,"3,037 USD",03/16/2026 10:00 pm GMT+4,2005,JEP,LIBERTY,3.7L 6,6,1J4GL48KX5W554261,SALVAGE TITLE,"207,907 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/93200915/salvage-2018-mercedes-benz-c-300-4matic-co-denver-south,93200915,"22,565 USD",03/16/2026 10:00 pm GMT+4,2018,MERZ,C,2.0L 4,4,WDDWF4KB3JR416173,SALVAGE TITLE,"77,904 A",ACTUAL,SIDE,275 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/93014145/clean-title-2017-chrysler-300-s-co-denver-south,93014145,"13,021 USD",03/16/2026 10:00 pm GMT+4,2017,CHRY,300,3.6L  6,6,2C3CCAGG0HH604169,CERTIFICATE OF TITLE,"126,483 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/91658955/salvage-2001-chevrolet-suburban-k1500-co-denver-south,91658955,"5,437 USD",03/16/2026 10:00 pm GMT+4,2001,CHEV,SUBURBAN,5.3L 8,8,3GNFK16T01G117111,SALVAGE TITLE,"206,383 E",EXEMPT,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/90592385/salvage-2020-porsche-macan-co-denver-south,90592385,"40,778 USD",03/16/2026 10:00 pm GMT+4,2020,PORS,MACAN,2.0L  4,4,WP1AA2A50LLB12371,DIS/DLR/EXP ONLY SALVAGE TITLE,"38,470 A",ACTUAL,FRONT END,"1,200 USD",0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/89689955/salvage-2024-hyundai-elantra-sel-co-denver-south,89689955,"12,800 USD",03/16/2026 10:00 pm GMT+4,2024,HYUN,ELANTRA,2.0L 4,4,KMHLM4DG5RU669169,SALVAGE VEHICLE TITLE,"26,355 A",ACTUAL,FRONT END,275 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/87051485/salvage-2022-dodge-challenger-gt-co-denver-south,87051485,"24,227 USD",03/16/2026 10:00 pm GMT+4,2022,DODG,CHALLENGER,3.6L  6,6,2C3CDZKG3NH223771,DIS/DLR/EXP ONLY SALVAGE TITLE,"49,850 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/86849815/salvage-2025-ford-mustang-mach-e-premium-co-denver-south,86849815,"53,204 USD",03/16/2026 10:00 pm GMT+4,2025,FORD,MUSTANG MACH-E,,,3FMTK3SUXSMA09289,PUBLIC - SALVAGE TITLE,"1,033 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/85928235/salvage-2022-tesla-model-s-co-denver-south,85928235,"45,640 USD",03/16/2026 10:00 pm GMT+4,2022,TESL,MODEL S,,,5YJSA1E5XNF486664,PUBLIC - SALVAGE TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/85570354/salvage-2023-toyota-prius-le-co-denver-south,85570354,"34,461 USD",03/16/2026 10:00 pm GMT+4,2023,TOYT,PRIUS,2.0L  4,4,JTDADABU7P3004134,DIS/DLR/EXP ONLY SALVAGE TITLE,"8,166 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/82120385/salvage-2007-ford-f150-supercrew-co-denver-south,82120385,"2,358 USD",03/16/2026 10:00 pm GMT+4,2007,FORD,F150,5.4L 8,8,1FTPW14V27KB04402,CERT OF TITLE-SALVAGE REC THFT,"278,794 E",EXEMPT,VANDALISM,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/80914985/salvage-2024-hyundai-tucson-sel-co-denver-south,80914985,"27,125 USD",03/16/2026 10:00 pm GMT+4,2024,HYUN,TUCSON,2.5L 4,4,5NMJFCDEXRH372873,PUBLIC - SALVAGE TITLE,"3,287 A",ACTUAL,SIDE,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/79485555/clean-title-2015-ram-1500-slt-co-denver-south,79485555,"3,597 USD",03/16/2026 10:00 pm GMT+4,2015,RAM,1500,3.0L 6,6,1C6RR7LMXFS724948,CERTIFICATE OF TITLE,"179,403 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/78911975/salvage-2024-ford-bronco-badlands-co-denver-south,78911975,"54,277 USD",03/16/2026 10:00 pm GMT+4,2024,FORD,BRONCO,2.7L 6,6,1FMEE9BP0RLB14108,SALVAGE TITLE,"5,513 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/78877295/salvage-2005-chevrolet-trailblazer-ls-co-denver-south,78877295,"3,359 USD",03/16/2026 10:00 pm GMT+4,2005,CHEV,TRAILBLAZER,4.2L 6,6,1GNDT13S152177235,PUBLIC - SALVAGE TITLE,"208,760 E",EXEMPT,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/78763615/clean-title-2018-ford-escape-se-co-denver-south,78763615,"6,500 USD",03/16/2026 10:00 pm GMT+4,2018,FORD,ESCAPE,1.5L 4,4,1FMCU9GD6JUA55086,CERTIFICATE OF TITLE,"100,023 A",ACTUAL,SIDE,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/78515845/salvage-2016-ford-focus-se-co-denver-south,78515845,"6,521 USD",03/16/2026 10:00 pm GMT+4,2016,FORD,FOCUS,2.0L 4,4,1FADP3F29GL325882,PUBLIC - SALVAGE TITLE,"103,297 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/78440585/salvage-2014-nissan-altima-2-5-s-co-denver-south,78440585,"3,033 USD",03/16/2026 10:00 pm GMT+4,2014,NISS,ALTIMA,2.5L 4,4,1N4AL3AP7EC124917,CERT OF TITLE SLVG REBUILDABLE,"207,481 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/78299925/salvage-2015-ford-escape-titanium-co-denver-south,78299925,"13,443 USD",03/16/2026 10:00 pm GMT+4,2015,FORD,ESCAPE,2.0L 4,4,1FMCU9J95FUB40349,PUBLIC - SALVAGE TITLE,"34,406 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
