Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/79158045/clean-title-2019-kia-sorento-ex-sport-on-ottawa,79158045,$1 USD,03/18/2026 09:00 pm GMT+4,2019,KIA,SORENTO,3.3L 6,6,5XYPHDA54KG542529,PERMIT NO BRAND - UNFIT (P),"170,695 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,ON - OTTAWA,3.5,N/A,"Maintenance,Safety,Other,Emission"
https://www.copart.com/lot/78170725/clean-title-2021-chrysler-300-touring-on-london,78170725,"9,550 USD",03/18/2026 09:00 pm GMT+4,2021,CHRY,300,3.6L  6,6,2C3CCARG2MH602737,PERMIT NO BRAND - UNFIT (P),"120,722 A",ACTUAL,NORMAL WEAR,150 USD,0 USD,0,ON - LONDON,3.7,N/A,N/A
https://www.copart.com/lot/78058735/clean-title-2020-toyota-corolla-le-ab-calgary,78058735,$1 USD,03/18/2026 09:00 pm GMT+4,2020,TOYT,COROLLA,1.8L  4,4,5YFBPRBE8LP029547,BOS - ACTIVE,"98,980 A",ACTUAL,MINOR DENT/SCRATCHES,"6,700 USD",0 USD,0,AB - CALGARY,4.1,N/A,"Maintenance,Safety"
https://www.copart.com/lot/77653995/clean-title-2019-honda-accord-lx-nb-moncton,77653995,$1 USD,03/18/2026 09:00 pm GMT+4,2019,HOND,ACCORD,1.5L  4,4,1HGCV1F11KA805699,CLEAN TITLE (P),"312,910 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,NB - MONCTON,2.5,N/A,"Maintenance,Safety,Other,Emission"
https://www.copart.com/lot/77615035/clean-title-2021-toyota-rav4-xle-ab-calgary,77615035,$1 USD,03/18/2026 09:00 pm GMT+4,2021,TOYT,RAV4,2.5L  4,4,2T3R1RFV1MC228491,BOS - ACTIVE,"89,581 A",ACTUAL,NORMAL WEAR,"20,250 USD",0 USD,0,AB - CALGARY,4.4,N/A,Other
https://www.copart.com/lot/77385125/clean-title-2024-ford-f250-super-duty-ab-edmonton,77385125,"57,205 USD",03/18/2026 09:00 pm GMT+4,2024,FORD,F250,7.3L  8,8,1FT7W2BN1REE56798,BOS - ACTIVE,"53,903 A",ACTUAL,MINOR DENT/SCRATCHES,"9,200 USD",0 USD,0,AB - EDMONTON,4.5,N/A,Other
https://www.copart.com/lot/76920035/clean-title-2019-nissan-kicks-s-nb-moncton,76920035,"9,650 USD",03/18/2026 09:00 pm GMT+4,2019,NISS,KICKS,1.6L  4,4,3N1CP5CU9KL494131,CERT OF REGISTRATION (P),"80,950 A",ACTUAL,NORMAL WEAR,"4,050 USD",0 USD,0,NB - MONCTON,4.8,N/A,"Maintenance,Safety,Other"
https://www.copart.com/lot/76919745/clean-title-2018-buick-encore-premium-nb-moncton,76919745,"5,199 USD",03/18/2026 09:00 pm GMT+4,2018,BUIC,ENCORE,1.4L  4,4,KL4CJHSBXJB678763,CLEAN TITLE (P),"141,700 A",ACTUAL,MINOR DENT/SCRATCHES,500 USD,0 USD,0,NB - MONCTON,3.6,N/A,Emission
https://www.copart.com/lot/76915715/clean-title-2017-mercedes-benz-glc-300-4matic-ab-calgary,76915715,$1 USD,03/18/2026 09:00 pm GMT+4,2017,MERZ,GLC,2.0L  4,4,WDC0G4KB2HF139163,BOS - ACTIVE,"155,041 N",NOT ACTUAL,NORMAL WEAR,"8,200 USD",0 USD,0,AB - CALGARY,4.4,N/A,"Maintenance,Other"
https://www.copart.com/lot/74350145/clean-title-2010-pontiac-vibe-qc-montreal,74350145,"4,200 USD",03/18/2026 09:00 pm GMT+4,2010,PONT,VIBE,2.4L  4,4,5Y2SL6E00AZ407082,AUCUNE MENTION,"153,665 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,QC - MONTREAL,0,N/A,N/A
