Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99919745/2024-cadillac-xt6-platinum-premium-luxury-fl-ocala,99919745,"39,804 USD",03/17/2026 06:00 pm GMT+4,2024,CADI,XT6,3.6L  6,6,1GYKPFRS5RZ742134,CERTIFICATE OF DESTRUCTION,"43,284 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/99513555/salvage-2023-ram-1500-big-hornlone-star-fl-ocala,99513555,"32,543 USD",03/17/2026 06:00 pm GMT+4,2023,RAM,1500,5.7L  8,8,1C6RREMT7PN552792,CERT OF TITLE SLVG REBUILDABLE,"19,357 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/98851575/salvage-2015-honda-cr-v-exl-fl-ocala,98851575,"10,088 USD",03/17/2026 06:00 pm GMT+4,2015,HOND,CR-V,2.4L 4,4,2HKRM3H7XFH554981,CERT OF TITLE SLVG REBUILDABLE,"125,112 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/95869375/salvage-2018-ram-1500-slt-fl-ocala,95869375,"10,042 USD",03/17/2026 06:00 pm GMT+4,2018,RAM,1500,3.6L 6,6,1C6RR6GG1JS303837,CERT OF TITLE SLVG REBUILDABLE,"181,938 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/94972305/salvage-2015-ford-f150-super-cab-fl-ocala,94972305,"5,788 USD",03/17/2026 06:00 pm GMT+4,2015,FORD,F150,3.5L  6,6,1FTEX1C88FKD87113,CERT OF TITLE SLVG REBUILDABLE,"364,485 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/94829655/clean-title-2016-jeep-patriot-latitude-fl-ocala,94829655,"9,258 USD",03/17/2026 06:00 pm GMT+4,2016,JEP,PATRIOT,2.4L  4,4,1C4NJPFB7GD562694,CERTIFICATE OF TITLE,"71,476 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/94267635/2021-nissan-altima-fl-ocala,94267635,"16,346 USD",03/17/2026 06:00 pm GMT+4,2021,NISS,ALTIMA,2.5L  4,4,1N4BL4CW2MN329904,CERTIFICATE OF DESTRUCTION,"90,605 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/93843725/2020-kia-sorento-lx-fl-ocala,93843725,"10,126 USD",03/17/2026 06:00 pm GMT+4,2020,KIA,SORENTO,2.4L  4,4,5XYPG4A30LG683844,CERTIFICATE OF DESTRUCTION,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79803955/clean-title-2019-chevrolet-silverado-c2500-heavy-duty-lt-fl-ocala,79803955,"32,775 USD",03/17/2026 06:00 pm GMT+4,2019,CHEV,SILVERADO,6.0L 8,8,1GC1CSEG0KF130714,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79677935/salvage-2019-ford-f150-supercrew-fl-ocala,79677935,"21,783 USD",03/17/2026 06:00 pm GMT+4,2019,FORD,F150,2.7L 6,6,1FTEW1CP7KFB25211,CERT OF TITLE SLVG REBUILDABLE,"97,956 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79528185/salvage-2017-volkswagen-jetta-s-fl-ocala,79528185,"8,467 USD",03/17/2026 06:00 pm GMT+4,2017,VOLK,JETTA,1.4L 4,4,3VW167AJ7HM389955,CERT OF TITLE SLVG REBUILDABLE,"51,196 A",ACTUAL,SIDE,300 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79517365/salvage-2014-nissan-altima-2-5-s-fl-ocala,79517365,"4,671 USD",03/17/2026 06:00 pm GMT+4,2014,NISS,ALTIMA,2.5L 4,4,1N4AL3AP5EC413598,CERT OF TITLE SLVG REBUILDABLE,"164,894 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79456585/salvage-2012-toyota-avalon-limited-fl-ocala,79456585,"10,734 USD",03/17/2026 06:00 pm GMT+4,2012,TOYT,AVALON,3.5L 6,6,4T1BK3DB2CU472872,CERT OF TITLE SLVG REBUILDABLE,"141,318 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79443465/salvage-2006-chevrolet-impala-ls-fl-ocala,79443465,"4,273 USD",03/17/2026 06:00 pm GMT+4,2006,CHEV,IMPALA,3.5L 6,6,2G1WB58K269248233,CERT OF TITLE SLVG REBUILDABLE,"155,256 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79381045/salvage-2014-hyundai-sonata-gls-fl-ocala,79381045,"2,069 USD",03/17/2026 06:00 pm GMT+4,2014,HYUN,SONATA,2.4L 4,4,5NPEB4AC3EH890083,CERT OF TITLE SLVG REBUILDABLE,"190,722 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79354715/salvage-2005-nissan-quest-3-5-fl-ocala,79354715,"2,221 USD",03/17/2026 06:00 pm GMT+4,2005,NISS,QUEST,3.5L 6,6,5N1BV28U05N127091,CERT OF TITLE SLVG REBUILDABLE,"133,884 E",EXEMPT,REAR END,0 USD,0 USD,0,FL - OCALA,0,N/A,N/A
https://www.copart.com/lot/79308815/salvage-2006-mitsubishi-lancer-es-fl-ocala,79308815,"3,214 USD",03/17/2026 06:00 pm GMT+4,2006,MITS,LANCER,2.0L 4,4,JA3AJ26E96U027746,CERT OF TITLE SLVG REBUILDABLE,"188,258 E",EXEMPT,FRONT END,275 USD,0 USD,0,FL - OCALA,0,N/A,N/A
