Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99706745/2021-chevrolet-silverado-c1500-custom-fl-orlando-north,99706745,"21,350 USD",03/16/2026 06:00 pm GMT+4,2021,CHEV,SILVERADO,4.3L 6,6,3GCPWBEH2MG171700,CERTIFICATE OF DESTRUCTION,"86,993 A",ACTUAL,ROLLOVER,15 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/99238755/salvage-2015-lexus-is-250-base-fl-orlando-north,99238755,"12,857 USD",03/16/2026 06:00 pm GMT+4,2015,LEXS,IS 250,2.5L  6,6,JTHBF1D28F5043732,CERT OF TITLE SLVG REBUILDABLE,"125,559 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/99094205/salvage-2017-acura-mdx-technology-fl-orlando-north,99094205,"12,949 USD",03/16/2026 06:00 pm GMT+4,2017,ACUR,MDX,3.5L  6,6,5FRYD4H59HB008544,CERT OF TITLE SLVG REBUILDABLE,"146,019 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/98760825/clean-title-2018-mercedes-benz-cla-250-fl-orlando-north,98760825,"11,900 USD",03/16/2026 06:00 pm GMT+4,2018,MERZ,CLA,2.0L  4,4,WDDSJ4EB2JN584872,CERTIFICATE OF TITLE,"111,309 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/98265855/2025-chevrolet-trax-ls-fl-orlando-north,98265855,"22,634 USD",03/16/2026 06:00 pm GMT+4,2025,CHEV,TRAX,1.2L 3,3,KL77LFEP3SC332995,CERTIFICATE OF DESTRUCTION,39 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/97215915/clean-title-2018-freightliner-cascadia-125-semi-truck-fl-orlando-north,97215915,"38,558 USD",03/16/2026 06:00 pm GMT+4,2018,FRHT,CASCADIA 1,14.8L  6,6,1FUJGLDR4JLHX2376,CERTIFICATE OF TITLE,"794,325 N",NOT ACTUAL,MINOR DENT/SCRATCHES,"1,850 USD",0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/97106835/salvage-2023-kia-sorento-s-fl-orlando-north,97106835,"20,805 USD",03/16/2026 06:00 pm GMT+4,2023,KIA,SORENTO,2.5L 4,4,5XYRL4LC0PG175140,CERT OF TITLE SLVG REBUILDABLE,"83,872 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/97002445/salvage-2006-honda-civic-ex-fl-orlando-north,97002445,"2,671 USD",03/16/2026 06:00 pm GMT+4,2006,HOND,CIVIC,1.8L  4,4,1HGFA16836L071518,CERT OF TITLE SLVG REBUILDABLE,"211,285 E",EXEMPT,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/96933165/clean-title-2017-infiniti-q50-premium-fl-orlando-north,96933165,$1 USD,03/16/2026 06:00 pm GMT+4,2017,INFI,Q50,3.0L  6,6,JN1EV7AP5HM732028,CERTIFICATE OF TITLE,"103,725 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/96460095/salvage-2019-subaru-crosstrek-fl-orlando-north,96460095,"10,914 USD",03/16/2026 06:00 pm GMT+4,2019,SUBA,CROSSTREK,2.0L  4,4,JF2GTABC1K8323529,CERT OF TITLE SLVG REBUILDABLE,"168,891 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/95971415/salvage-2023-bmw-x3-xdrive30i-fl-orlando-north,95971415,"31,346 USD",03/16/2026 06:00 pm GMT+4,2023,BMW,X3,2.0L  4,4,5UX53DP04P9P42450,CERT OF TITLE-SALVAGE,"43,314 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/95683435/clean-title-2011-porsche-cayenne-s-fl-orlando-north,95683435,$1 USD,03/16/2026 06:00 pm GMT+4,2011,PORS,CAYENNE,4.8L  8,8,WP1AB2A21BLA43658,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/94597435/salvage-2020-chevrolet-traverse-ls-fl-orlando-north,94597435,"18,032 USD",03/16/2026 06:00 pm GMT+4,2020,CHEV,TRAVERSE,3.6L  6,6,1GNERFKW7LJ144442,CERT OF TITLE SLVG REBUILDABLE,"67,174 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/94137075/salvage-2015-kia-optima-ex-fl-orlando-north,94137075,"3,201 USD",03/16/2026 06:00 pm GMT+4,2015,KIA,OPTIMA,2.4L  4,4,5XXGN4A71FG410106,CERT OF TITLE SLVG REBUILDABLE,"180,218 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
