Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99757415/clean-title-2016-porsche-panamera-2-ga-atlanta-east,99757415,"24,125 USD",03/16/2026 06:00 pm GMT+4,2016,PORS,PANAMERA,3.6L  6,6,WP0AA2A72GL000860,CERTIFICATE OF TITLE,"189,187 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/99421735/salvage-2022-chevrolet-equinox-ls-ga-atlanta-east,99421735,"14,035 USD",03/16/2026 06:00 pm GMT+4,2022,CHEV,EQUINOX,1.5L  4,4,2GNAXFEV3N6152822,CERT OF TITLE-SALVAGE,"105,866 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/97890125/salvage-2001-ford-f150-ga-atlanta-east,97890125,"3,869 USD",03/16/2026 06:00 pm GMT+4,2001,FORD,F150,4.2L  6,6,1FTZX17221NA98212,CERT OF TITLE-SALVAGE,"341,521 E",EXEMPT,REAR END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/96970355/clean-title-2016-subaru-outback-2-5i-premium-ga-atlanta-east,96970355,"8,900 USD",03/16/2026 06:00 pm GMT+4,2016,SUBA,OUTBACK,2.5L  4,4,4S4BSAFC7G3250351,CERTIFICATE OF TITLE,"299,550 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/96695175/salvage-2013-hyundai-sonata-gls-ga-atlanta-east,96695175,"5,776 USD",03/16/2026 06:00 pm GMT+4,2013,HYUN,SONATA,2.4L  4,4,5NPEB4AC9DH639034,CERT OF TITLE-SALVAGE,"135,893 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/96061485/salvage-2016-nissan-rogue-s-ga-atlanta-east,96061485,$1 USD,03/16/2026 06:00 pm GMT+4,2016,NISS,ROGUE,2.5L  4,4,JN8AT2MT6GW007882,CERT OF TITLE-SALVAGE (P),0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/95894505/clean-title-2017-audi-q5-premium-ga-atlanta-east,95894505,"19,214 USD",03/16/2026 06:00 pm GMT+4,2017,AUDI,Q5,2.0L  4,4,WA1C2AFP1HA083813,CERTIFICATE OF TITLE (P),"138,379 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/95720735/salvage-2021-mercedes-benz-gls-450-4matic-ga-atlanta-east,95720735,"29,761 USD",03/16/2026 06:00 pm GMT+4,2021,MERZ,GLS,3.0L  6,6,4JGFF5KE9MA307645,CERT OF TITLE-SALVAGE,"129,794 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/93753735/salvage-2024-ford-bronco-sport-big-bend-ga-atlanta-east,93753735,"24,678 USD",03/16/2026 06:00 pm GMT+4,2024,FORD,BRONCO SPORT,1.5L  3,3,3FMCR9B63RRE70962,CERT OF TITLE-SALVAGE,"20,119 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
https://www.copart.com/lot/93036355/salvage-2012-chrysler-200-lx-ga-atlanta-east,93036355,$1 USD,03/16/2026 06:00 pm GMT+4,2012,CHRY,200,2.4L  4,4,1C3CCBAB4CN145070,CERT OF TITLE-SALVAGE,"247,871 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - ATLANTA EAST,0,N/A,N/A
