Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99859265/salvage-2026-gmc-sierra-k1500-at4-ga-tifton,99859265,"64,675 USD",03/17/2026 06:00 pm GMT+4,2026,GMC,SIERRA,3.0L  6,6,1GTUUEE88TZ133932,CERT OF TITLE-SALVAGE,"8,785 A",ACTUAL,FRONT END,650 USD,0 USD,2,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/99614425/salvage-2013-volkswagen-jetta-se-ga-tifton,99614425,"5,820 USD",03/17/2026 06:00 pm GMT+4,2013,VOLK,JETTA,2.5L  5,5,3VWDX7AJ9DM299002,CERT OF TITLE-BONDED SALVAGE,"90,230 A",ACTUAL,FRONT END,0 USD,0 USD,202,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/99541145/salvage-2015-kia-optima-lx-ga-tifton,99541145,"6,195 USD",03/17/2026 06:00 pm GMT+4,2015,KIA,OPTIMA,2.4L  4,4,5XXGM4A71FG356695,CERT OF TITLE-SALVAGE,"137,535 A",ACTUAL,FRONT END,0 USD,0 USD,201,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/98852755/salvage-2016-toyota-prius-c-ga-tifton,98852755,"6,505 USD",03/17/2026 06:00 pm GMT+4,2016,TOYT,PRIUS C,1.5L  4,4,JTDKDTB37G1590594,CERT OF TITLE-SALVAGE,"172,003 A",ACTUAL,FRONT END,0 USD,0 USD,46,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/98666575/salvage-2018-chevrolet-malibu-ls-ga-tifton,98666575,"9,053 USD",03/17/2026 06:00 pm GMT+4,2018,CHEV,MALIBU,1.5L  4,4,1G1ZB5ST9JF201828,CERT OF TITLE-SALVAGE,"102,910 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/98416655/salvage-2003-chevrolet-malibu-ga-tifton,98416655,"1,771 USD",03/17/2026 06:00 pm GMT+4,2003,CHEV,MALIBU,3.1L  6,6,1G1ND52J03M716786,CERT OF TITLE-SALVAGE,"207,723 E",EXEMPT,REAR END,0 USD,0 USD,16,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/98412605/salvage-2025-toyota-camry-xse-ga-tifton,98412605,"27,673 USD",03/17/2026 06:00 pm GMT+4,2025,TOYT,CAMRY,2.5L  4,4,4T1DAACK5SU609142,CERT OF TITLE-SALVAGE,"4,952 A",ACTUAL,FRONT END,0 USD,0 USD,40,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/97186095/salvage-2018-dodge-grand-caravan-sxt-ga-tifton,97186095,"7,878 USD",03/17/2026 06:00 pm GMT+4,2018,DODG,GRAND CARAVAN,3.6L  6,6,2C4RDGCG7JR299698,CERT OF TITLE-SALVAGE,"137,156 A",ACTUAL,SIDE,0 USD,0 USD,43,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/95442285/salvage-2020-dodge-charger-sxt-ga-tifton,95442285,"13,436 USD",03/17/2026 06:00 pm GMT+4,2020,DODG,CHARGER,3.6L  6,6,2C3CDXBG5LH121910,CERT OF TITLE-SALVAGE,"110,617 A",ACTUAL,REAR END,0 USD,0 USD,13,GA - TIFTON,0,N/A,N/A
https://www.copart.com/lot/93399475/salvage-2020-toyota-camry-xse-ga-tifton,93399475,"15,630 USD",03/17/2026 06:00 pm GMT+4,2020,TOYT,CAMRY,2.5L  4,4,4T1K61AK2LU962306,CERT OF TITLE-SALVAGE,"148,241 A",ACTUAL,FRONT END,0 USD,0 USD,39,GA - TIFTON,0,N/A,N/A
