Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99261385/salvage-2006-honda-ridgeline-rt-hi-honolulu,99261385,"6,974 USD",03/17/2026 02:00 am GMT+4,2006,HOND,RIDGELINE,3.5L  6,6,2HJYK16216H534653,CERTIFICATE OF SALVAGE,"284,868 A",ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/99261305/salvage-2016-toyota-corolla-l-hi-honolulu,99261305,"10,154 USD",03/17/2026 02:00 am GMT+4,2016,TOYT,COROLLA,1.8L  4,4,5YFBURHE2GP501022,CERTIFICATE OF SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/97411795/2010-toyota-yaris-hi-honolulu,97411795,"3,977 USD",03/17/2026 02:00 am GMT+4,2010,TOYT,YARIS,1.5L  4,4,JTDKT4K35A5300975,BILL OF SALE - PARTS ONLY,"231,566 A",ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/97364015/salvage-2004-toyota-highlander-base-hi-honolulu,97364015,"4,040 USD",03/17/2026 02:00 am GMT+4,2004,TOYT,HIGHLANDER,3.3L  6,6,JTEDP21A540038440,CERTIFICATE OF SALVAGE,"257,126 E",EXEMPT,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/96978095/salvage-2001-volvo-v70-hi-honolulu,96978095,"5,796 USD",03/17/2026 02:00 am GMT+4,2001,VOLV,V70,2.4L  5,5,YV1SW61R212086984,CERTIFICATE OF SALVAGE,0 E,EXEMPT,REAR END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/96840735/clean-title-2004-chevrolet-trailblazer-ls-hi-honolulu,96840735,"6,118 USD",03/17/2026 02:00 am GMT+4,2004,CHEV,TRAILBLAZER,4.2L  6,6,1GNDT13S242329599,CERTIFICATE OF TITLE,"63,347 A",ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/95764355/salvage-2021-honda-civic-ex-hi-honolulu,95764355,"22,205 USD",03/17/2026 02:00 am GMT+4,2021,HOND,CIVIC,1.5L  4,4,SHHFK7H69MU219258,CERTIFICATE OF SALVAGE,"61,379 A",ACTUAL,REAR END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/94768455/salvage-1997-honda-accord-lx-hi-honolulu,94768455,"5,693 USD",03/17/2026 02:00 am GMT+4,1997,HOND,ACCORD,2.2L  4,4,1HGCD5639VA211779,CERTIFICATE OF SALVAGE,"120,000 A",ACTUAL,VANDALISM,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/94432355/salvage-2004-chevrolet-silverado-k3500-hi-honolulu,94432355,"15,186 USD",03/17/2026 02:00 am GMT+4,2004,CHEV,SILVERADO,6.6L  8,8,1GCJK33244F264001,CERTIFICATE OF SALVAGE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/94384495/2014-niss-sentra-s-hi-honolulu,94384495,"3,417 USD",03/17/2026 02:00 am GMT+4,2014,NISS,SENTRA,1.8L  4,4,3N1AB7AP6EL694287,BILL OF SALE - PARTS ONLY,"122,021 A",ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/93874425/clean-title-2017-kia-sorento-lx-hi-honolulu,93874425,$1 USD,03/17/2026 02:00 am GMT+4,2017,KIA,SORENTO,2.4L  4,4,5XYPG4A31HG282049,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,VANDALISM,0 USD,0 USD,0,HI - HONOLULU,2.4,N/A,N/A
https://www.copart.com/lot/93678485/salvage-2013-mazda-mazda2-hi-honolulu,93678485,"6,600 USD",03/17/2026 02:00 am GMT+4,2013,MAZD,MAZDA2,1.5L  4,4,JM1DE1KY4D0157242,CERTIFICATE OF SALVAGE,"76,747 X",EXCEEDS MECHANICAL LIMITS,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/93645015/clean-title-2010-toyota-avalon-xl-hi-honolulu,93645015,"8,200 USD",03/17/2026 02:00 am GMT+4,2010,TOYT,AVALON,3.5L  6,6,4T1BK3DB6AU364915,CERT OF TITLE-REPOSSESSION,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,HI - HONOLULU,2.4,N/A,N/A
https://www.copart.com/lot/93144715/salvage-2014-mercedes-benz-e-350-hi-honolulu,93144715,"17,807 USD",03/17/2026 02:00 am GMT+4,2014,MERZ,E,3.5L  6,6,WDDHF5KB5EA827903,CERTIFICATE OF SALVAGE,"64,838 A",ACTUAL,FRONT END,2 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/92510115/salvage-2007-mazda-cx-7-hi-honolulu,92510115,"4,120 USD",03/17/2026 02:00 am GMT+4,2007,MAZD,CX-7,2.3L  4,4,JM3ER293570153754,CERTIFICATE OF SALVAGE,"97,439 A",ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/91743745/2020-nissan-sentra-sv-hi-honolulu,91743745,"10,628 USD",03/17/2026 02:00 am GMT+4,2020,NISS,SENTRA,2.0L  4,4,3N1AB8CV9LY242156,BILL OF SALE - PARTS ONLY,"69,664 A",ACTUAL,FRONT END,0 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
https://www.copart.com/lot/91133375/salvage-2022-ford-f150-supercrew-hi-honolulu,91133375,"44,805 USD",03/17/2026 02:00 am GMT+4,2022,FORD,F150,5.0L  8,8,1FTFW1E50NFA80763,CERTIFICATE OF SALVAGE,"32,580 A",ACTUAL,REAR END,500 USD,0 USD,0,HI - HONOLULU,0,N/A,N/A
