Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99881535/salvage-2015-gmc-sierra-k1500-denali-il-chicago-south,99881535,"20,112 USD",03/18/2026 09:00 pm GMT+4,2015,GMC,SIERRA,5.3L  8,8,3GTU2WEC6FG336323,SALVAGE CERTIFICATE,"131,173 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/99872455/salvage-2021-toyota-rav4-xle-il-chicago-south,99872455,"25,688 USD",03/18/2026 09:00 pm GMT+4,2021,TOYT,RAV4,2.5L  4,4,2T3P1RFV1MW223412,SALVAGE CERTIFICATE,"33,231 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/99822725/2021-mercedes-benz-gla-250-4matic-il-chicago-south,99822725,"21,949 USD",03/18/2026 09:00 pm GMT+4,2021,MERZ,GLA,2.0L  4,4,W1N4N4HB5MJ247023,JUNKING CERT OF A VEHICLE,"60,891 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/99332055/salvage-2017-audi-a4-premium-plus-il-chicago-south,99332055,"15,414 USD",03/18/2026 09:00 pm GMT+4,2017,AUDI,A4,2.0L  4,4,WAUENAF42HN000200,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/97765965/salvage-2015-ford-f150-super-cab-il-chicago-south,97765965,"16,340 USD",03/18/2026 09:00 pm GMT+4,2015,FORD,F150,3.5L  6,6,1FTEX1E82FKE99046,SALVAGE CERTIFICATE,"86,854 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/96260585/salvage-2022-nissan-rogue-sv-il-chicago-south,96260585,"20,630 USD",03/18/2026 09:00 pm GMT+4,2022,NISS,ROGUE,1.5L  3,3,5N1BT3BB4NC706051,SALVAGE CERTIFICATE,"49,558 A",ACTUAL,REAR END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/77770875/salvage-2024-nissan-pathfinder-sl-il-chicago-south,77770875,"30,406 USD",03/18/2026 09:00 pm GMT+4,2024,NISS,PATHFINDER,3.5L  6,6,5N1DR3CC1RC312043,SALVAGE CERTIFICATE,"14,031 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/77704945/salvage-2025-honda-civic-sport-il-chicago-south,77704945,"24,103 USD",03/18/2026 09:00 pm GMT+4,2025,HOND,CIVIC,2.0L  4,4,2HGFE2F56SH534307,SALVAGE CERTIFICATE,"14,543 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/77000575/salvage-2018-honda-accord-touring-il-chicago-south,77000575,"22,023 USD",03/18/2026 09:00 pm GMT+4,2018,HOND,ACCORD,2.0L  4,4,1HGCV2F96JA008844,SALVAGE CERTIFICATE,"33,243 A",ACTUAL,VANDALISM,250 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/76804965/salvage-2018-toyota-rav4-le-il-chicago-south,76804965,"15,640 USD",03/18/2026 09:00 pm GMT+4,2018,TOYT,RAV4,2.5L  4,4,JTMBFREV0JJ203336,SALVAGE CERTIFICATE,"106,976 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/76237125/salvage-2019-ford-f150-raptor-il-chicago-south,76237125,"38,820 USD",03/18/2026 09:00 pm GMT+4,2019,FORD,F150,3.5L  6,6,1FTFW1RG3KFA43911,SALVAGE CERTIFICATE,"59,984 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/75962755/salvage-2018-jeep-grand-cherokee-summit-il-chicago-south,75962755,"16,768 USD",03/18/2026 09:00 pm GMT+4,2018,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJFJG6JC311354,SALVAGE CERTIFICATE,"108,128 A",ACTUAL,VANDALISM,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/75686275/salvage-2021-honda-pilot-touring-il-chicago-south,75686275,"26,846 USD",03/18/2026 09:00 pm GMT+4,2021,HOND,PILOT,3.5L  6,6,5FNYF6H96MB078913,SALVAGE CERTIFICATE,"59,651 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/74342865/salvage-2018-toyota-camry-le-il-chicago-south,74342865,"17,630 USD",03/18/2026 09:00 pm GMT+4,2018,TOYT,CAMRY LE,2.5L  4,4,4T1B11HK5JU064719,SALVAGE CERTIFICATE,"68,286 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/74048365/salvage-2021-chevrolet-equinox-ls-il-chicago-south,74048365,"16,124 USD",03/18/2026 09:00 pm GMT+4,2021,CHEV,EQUINOX,1.5L  4,4,3GNAXHEV1MS119488,SALVAGE CERTIFICATE,"52,718 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/73983575/salvage-2023-hyundai-venue-sel-il-chicago-south,73983575,"16,747 USD",03/18/2026 09:00 pm GMT+4,2023,HYUN,VENUE,1.6L  4,4,KMHRC8A3XPU258367,SALVAGE CERTIFICATE,"17,884 A",ACTUAL,REAR END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/73922265/salvage-2020-chevrolet-camaro-ls-il-chicago-south,73922265,"16,237 USD",03/18/2026 09:00 pm GMT+4,2020,CHEV,CAMARO,2.0L  4,4,1G1FB1RX9L0144685,SALVAGE CERTIFICATE,"82,004 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/73817395/salvage-2024-subaru-crosstrek-premium-il-chicago-south,73817395,"23,565 USD",03/18/2026 09:00 pm GMT+4,2024,SUBA,CROSSTREK,2.0L  4,4,JF2GUADC8R8323919,SALVAGE CERTIFICATE,"17,081 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/73521415/salvage-2023-mercedes-benz-s-580-4matic-il-chicago-south,73521415,"86,893 USD",03/18/2026 09:00 pm GMT+4,2023,MERZ,S,4.0L  8,8,W1K6G7GBXPA179972,SALVAGE CERT-FLOOD,"47,956 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/72990835/salvage-2018-gmc-canyon-slt-il-chicago-south,72990835,"25,464 USD",03/18/2026 09:00 pm GMT+4,2018,GMC,CANYON,3.6L  6,6,1GTG6DEN2J1201306,SALVAGE CERTIFICATE,"48,541 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/72959345/2023-chevrolet-camaro-zl1-il-chicago-south,72959345,"83,083 USD",03/18/2026 09:00 pm GMT+4,2023,CHEV,CAMARO,6.2L  8,8,1G1FJ1R64P0111951,JUNKING CERT OF A VEHICLE,0 N,NOT ACTUAL,VANDALISM,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
https://www.copart.com/lot/72352195/salvage-2022-jeep-compass-limited-il-chicago-south,72352195,"20,544 USD",03/18/2026 09:00 pm GMT+4,2022,JEP,COMPASS,2.4L 4,4,3C4NJDCB2NT185556,SALVAGE CERTIFICATE,"27,819 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO SOUTH,0,N/A,N/A
