Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99493175/salvage-2008-hyundai-entourage-gls-il-peoria,99493175,"3,900 USD",03/16/2026 09:00 pm GMT+4,2008,HYUN,ENTOURAGE,3.8L  6,6,KNDMC233586049360,SALVAGE CERTIFICATE,"157,866 E",EXEMPT,FRONT END,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/99333095/salvage-2023-ford-mustang-mach-e-premium-il-peoria,99333095,"31,404 USD",03/16/2026 09:00 pm GMT+4,2023,FORD,MUSTANG MACH-E,,,3FMTK3SU5PMA64756,SALVAGE CERTIFICATE,"12,026 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/99233675/salvage-2014-ford-fusion-titanium-il-peoria,99233675,"6,859 USD",03/16/2026 09:00 pm GMT+4,2014,FORD,FUSION,2.0L  4,4,3FA6P0K92ER328437,SALVAGE CERTIFICATE OF TITLE,"179,613 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98961495/salvage-2023-volkswagen-atlas-cross-sport-sel-premium-r-line-il-peoria,98961495,"33,206 USD",03/16/2026 09:00 pm GMT+4,2023,VOLK,ATLAS CROSS SPORT,3.6L 6,6,1V2FE2CA3PC224804,SALVAGE CERTIFICATE,"32,229 A",ACTUAL,REAR END,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98818165/salvage-2016-chevrolet-malibu-limited-lt-il-peoria,98818165,"6,325 USD",03/16/2026 09:00 pm GMT+4,2016,CHEV,MALIBU LIMITED,2.5L  4,4,1G11C5SA2GF139478,SALVAGE CERT-FLOOD,"190,657 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98800985/salvage-2015-chevrolet-equinox-lt-il-peoria,98800985,"6,486 USD",03/16/2026 09:00 pm GMT+4,2015,CHEV,EQUINOX,3.6L  6,6,2GNFLCE39F6407120,SALVAGE CERTIFICATE,"164,119 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98796965/salvage-2022-hyundai-sonata-se-il-peoria,98796965,"18,859 USD",03/16/2026 09:00 pm GMT+4,2022,HYUN,SONATA,2.5L 4,4,5NPEG4JA9NH143863,SALVAGE CERTIFICATE,"18,743 A",ACTUAL,FRONT END,100 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98725235/salvage-2020-porsche-macan-s-il-peoria,98725235,"42,052 USD",03/16/2026 09:00 pm GMT+4,2020,PORS,MACAN,3.0L  6,6,WP1AB2A55LLB37909,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,"2,150 USD",0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98423825/salvage-2021-toyota-rav4-le-il-peoria,98423825,"25,126 USD",03/16/2026 09:00 pm GMT+4,2021,TOYT,RAV4,2.5L 4,4,2T3F1RFV4MC170525,SALVAGE CERTIFICATE,"27,434 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
https://www.copart.com/lot/98075115/salvage-2013-ford-edge-sel-il-peoria,98075115,"8,351 USD",03/16/2026 09:00 pm GMT+4,2013,FORD,EDGE,3.5L  6,6,2FMDK4JC6DBC45834,SALVAGE CERTIFICATE,"93,181 A",ACTUAL,REAR END,0 USD,0 USD,0,IL - PEORIA,0,N/A,N/A
