Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99829355/salvage-2019-hyundai-sonata-eco-il-southern-illinois,99829355,"10,639 USD",03/16/2026 09:00 pm GMT+4,2019,HYUN,SONATA ECO,2.4L  4,4,5NPE24AF3KH775005,SALVAGE CERTIFICATE OF TITLE,"75,128 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/99347935/salvage-2018-chevrolet-malibu-lt-il-southern-illinois,99347935,"8,613 USD",03/16/2026 09:00 pm GMT+4,2018,CHEV,MALIBU,1.5L  4,4,1G1ZD5ST4JF292677,SALVAGE CERTIFICATE,"157,525 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/99033235/clean-title-2005-ford-f150-supercrew-il-southern-illinois,99033235,"6,258 USD",03/16/2026 09:00 pm GMT+4,2005,FORD,F150,5.4L  8,8,1FTPW12515FB64891,CERTIFICATE OF TITLE,"191,886 E",EXEMPT,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/98427455/salvage-2018-ford-ecosport-titanium-il-southern-illinois,98427455,"8,761 USD",03/16/2026 09:00 pm GMT+4,2018,FORD,ECOSPORT,2.0L  4,4,MAJ6P1WL5JC192390,SALVAGE CERTIFICATE,"116,575 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/97773355/salvage-2025-kia-sorento-s-il-southern-illinois,97773355,"29,997 USD",03/16/2026 09:00 pm GMT+4,2025,KIA,SORENTO,2.5L  4,4,5XYRL4JC6SG334223,SALVAGE CERTIFICATE,"27,500 A",ACTUAL,REAR END,"7,000 USD",0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/97396885/salvage-2014-toyota-prius-il-southern-illinois,97396885,"6,631 USD",03/16/2026 09:00 pm GMT+4,2014,TOYT,PRIUS,1.8L  4,4,JTDKN3DU8E1741443,SALVAGE CERTIFICATE OF TITLE,"150,471 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/96948125/salvage-2015-kia-forte-lx-il-southern-illinois,96948125,"6,600 USD",03/16/2026 09:00 pm GMT+4,2015,KIA,FORTE,1.8L  4,4,KNAFX4A6XF5417148,SALVAGE CERTIFICATE OF TITLE,"117,204 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/96611165/salvage-2018-chevrolet-city-express-ls-il-southern-illinois,96611165,"14,325 USD",03/16/2026 09:00 pm GMT+4,2018,CHEV,CITY EXPRESS,2.0L  4,4,3N63M0YN4JK696645,SALVAGE CERTIFICATE,"198,434 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/96357115/salvage-2018-ram-1500-slt-il-southern-illinois,96357115,"11,889 USD",03/16/2026 09:00 pm GMT+4,2018,RAM,1500,3.6L  6,6,1C6RR7GG0JS311532,SALVAGE CERTIFICATE,"127,362 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/96329835/salvage-2008-chevrolet-impala-ls-il-southern-illinois,96329835,"3,580 USD",03/16/2026 09:00 pm GMT+4,2008,CHEV,IMPALA,3.5L  6,6,2G1WB55N189145113,SALVAGE CERTIFICATE,"162,620 E",EXEMPT,FRONT END,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
