Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98990725/salvage-2016-toyota-camry-hybrid-il-wheeling,98990725,"9,233 USD",03/16/2026 09:00 pm GMT+4,2016,TOYT,CAMRY,2.5L  4,4,4T1BD1FKXGU185393,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/95698115/clean-title-2011-chevrolet-silverado-c1500-il-wheeling,95698115,"9,425 USD",03/16/2026 09:00 pm GMT+4,2011,CHEV,SILVERADO,4.3L  6,6,1GCRCPEX4BZ290075,CERTIFICATE OF TITLE,"263,570 A",ACTUAL,SIDE,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/95472495/clean-title-2016-chrysler-200-limited-il-wheeling,95472495,$1 USD,03/16/2026 09:00 pm GMT+4,2016,CHRY,200,2.4L  4,4,1C3CCCAB8GN133838,CERTIFICATE OF TITLE,"167,223 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/95467995/salvage-2023-kia-niro-wind-il-wheeling,95467995,"25,492 USD",03/16/2026 09:00 pm GMT+4,2023,KIA,NIRO,0,0,KNDCR3L19P5073860,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/94792045/clean-title-2012-chrysler-200-touring-il-wheeling,94792045,$1 USD,03/16/2026 09:00 pm GMT+4,2012,CHRY,200,2.4L  4,4,1C3CCBBB2CN107111,CERTIFICATE OF TITLE,"182,027 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/90277945/clean-title-2013-lincoln-mkz-il-wheeling,90277945,$1 USD,03/16/2026 09:00 pm GMT+4,2013,LINC,MKZ,2.0L  4,4,3LN6L2J9XDR826060,CERTIFICATE OF TITLE,"137,047 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/79997775/clean-title-2005-honda-cr-v-se-il-wheeling,79997775,"3,500 USD",03/16/2026 09:00 pm GMT+4,2005,HOND,CR-V,2.4L 4,4,JHLRD78975C028491,CERTIFICATE OF TITLE,"246,713 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/79994575/clean-title-2018-honda-accord-lx-il-wheeling,79994575,"9,000 USD",03/16/2026 09:00 pm GMT+4,2018,HOND,ACCORD,1.5L 4,4,1HGCV1F12JA089832,CERTIFICATE OF TITLE,"160,040 N",NOT ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/79640175/clean-title-2012-bmw-750-lxi-il-wheeling,79640175,"3,800 USD",03/16/2026 09:00 pm GMT+4,2012,BMW,750,4.4L 8,8,WBAKC8C50CC437437,CERTIFICATE OF TITLE,"129,834 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
https://www.copart.com/lot/79587375/clean-title-2016-volkswagen-tiguan-s-il-wheeling,79587375,"5,400 USD",03/16/2026 09:00 pm GMT+4,2016,VOLK,TIGUAN,2.0L 4,4,WVGAV7AX3GW507357,CERTIFICATE OF TITLE,"91,222 A",ACTUAL,NORMAL WEAR,325 USD,0 USD,0,IL - WHEELING,0,N/A,N/A
