Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99919735/salvage-2006-jeep-commander-in-dyer,99919735,"4,632 USD",03/16/2026 09:00 pm GMT+4,2006,JEP,COMMANDER,3.7L  6,6,1J8HG48K66C103838,CERT OF TITLE-SALVAGE TITLE,"147,333 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99655675/clean-title-2017-subaru-forester-2-5i-limited-in-dyer,99655675,"14,522 USD",03/16/2026 09:00 pm GMT+4,2017,SUBA,FORESTER,2.5L  4,4,JF2SJAJC2HH517156,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99654625/salvage-2020-ford-fusion-se-in-dyer,99654625,"16,215 USD",03/16/2026 09:00 pm GMT+4,2020,FORD,FUSION,1.5L  4,4,3FA6P0HD7LR124113,CERT OF TITLE-SALVAGE TITLE,"38,622 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99603365/clean-title-2019-kia-sportage-lx-in-dyer,99603365,"10,400 USD",03/16/2026 09:00 pm GMT+4,2019,KIA,SPORTAGE,2.4L  4,4,KNDPM3AC1K7598753,CERTIFICATE OF TITLE,"201,177 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99553035/salvage-2022-toyota-corolla-le-in-dyer,99553035,"18,891 USD",03/16/2026 09:00 pm GMT+4,2022,TOYT,COROLLA,1.8L  4,4,5YFEPMAEXNP323326,CERT OF TITLE-SALVAGE TITLE,"25,062 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99280605/clean-title-2015-tesla-model-s-85d-in-dyer,99280605,"13,400 USD",03/16/2026 09:00 pm GMT+4,2015,TESL,MODEL S,,,5YJSA1H23FFP73153,CERTIFICATE OF TITLE,"166,696 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99088535/clean-title-2018-ford-edge-titanium-in-dyer,99088535,"10,658 USD",03/16/2026 09:00 pm GMT+4,2018,FORD,EDGE,2.0L  4,4,2FMPK4K91JBB37116,CERTIFICATE OF TITLE,"136,255 A",ACTUAL,SIDE,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/99077925/clean-title-2015-chevrolet-trax-1lt-in-dyer,99077925,"4,644 USD",03/16/2026 09:00 pm GMT+4,2015,CHEV,TRAX,1.4L  4,4,KL7CJRSB4FB063478,CERTIFICATE OF TITLE,"194,228 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/98887905/clean-title-2015-freightliner-cascadia-125-semi-truck-in-dyer,98887905,"31,258 USD",03/16/2026 09:00 pm GMT+4,2015,FRHT,CASCADIA 1,14.8L  6,6,3AKJGLD5XFSGM1848,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/98757955/clean-title-2016-chevrolet-equinox-ls-in-dyer,98757955,"7,046 USD",03/16/2026 09:00 pm GMT+4,2016,CHEV,EQUINOX,2.4L  4,4,2GNFLEEK8G6183097,CERTIFICATE OF TITLE,"121,910 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/98662595/salvage-2015-nissan-altima-2-5-in-dyer,98662595,"10,488 USD",03/16/2026 09:00 pm GMT+4,2015,NISS,ALTIMA,2.5L  4,4,1N4AL3AP9FC114648,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/98661875/clean-title-2015-volkswagen-e-golf-sel-premium-in-dyer,98661875,$1 USD,03/16/2026 09:00 pm GMT+4,2015,VOLK,E-GOLF,,,WVWPP7AU5FW907482,CERTIFICATE OF TITLE,"46,756 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/98552385/2012-chevrolet-malibu-1lt-in-dyer,98552385,"4,767 USD",03/16/2026 09:00 pm GMT+4,2012,CHEV,MALIBU,2.4L  4,4,1G1ZC5E06CF339053,BILL OF SALE - PARTS ONLY,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/98001265/clean-title-2020-international-mv607-box-truck-in-dyer,98001265,"37,688 USD",03/16/2026 09:00 pm GMT+4,2020,INTL,MV607,6.7L  6,6,1HTEUMML2LH851652,CERTIFICATE OF TITLE,"161,493 N",NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
https://www.copart.com/lot/97971045/salvage-2018-ford-flex-sel-in-dyer,97971045,"9,905 USD",03/16/2026 09:00 pm GMT+4,2018,FORD,FLEX,3.5L  6,6,2FMHK6C84JBA04078,CERT OF TITLE-SALVAGE TITLE,"142,685 A",ACTUAL,SIDE,0 USD,0 USD,0,IN - DYER,0,N/A,N/A
