Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99897515/salvage-2016-chrysler-300-limited-ks-kansas-city,99897515,"12,843 USD",03/17/2026 09:00 pm GMT+4,2016,CHRY,300,3.6L  6,6,2C3CCARG5GH262133,SALVAGE CERTIFICATE OF TITLE,"103,147 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/99839395/salvage-2017-ford-edge-titanium-ks-kansas-city,99839395,"11,480 USD",03/17/2026 09:00 pm GMT+4,2017,FORD,EDGE,2.0L  4,4,2FMPK4K92HBB82558,SALVAGE CERTIFICATE OF TITLE,"153,459 A",ACTUAL,SIDE,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/99341755/salvage-2021-kia-seltos-lx-ks-kansas-city,99341755,"11,511 USD",03/17/2026 09:00 pm GMT+4,2021,KIA,SELTOS,2.0L  4,4,KNDEPCAA4M7140348,CERT OF TITLE-SALVAGE,"198,733 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/98815775/salvage-2017-gmc-acadia-denali-ks-kansas-city,98815775,"13,910 USD",03/17/2026 09:00 pm GMT+4,2017,GMC,ACADIA,3.6L  6,6,1GKKNPLSXHZ268419,CERT OF TITLE-SALVAGE,"127,818 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/98703015/salvage-2014-acura-ilx-20-premium-ks-kansas-city,98703015,"12,269 USD",03/17/2026 09:00 pm GMT+4,2014,ACUR,ILX,2.0L  4,4,19VDE1F52EE012878,SALVAGE CERTIFICATE OF TITLE,"113,304 A",ACTUAL,VANDALISM,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/98438175/salvage-2015-ford-f150-supercrew-ks-kansas-city,98438175,"15,032 USD",03/17/2026 09:00 pm GMT+4,2015,FORD,F150,2.7L  6,6,1FTEW1EP8FKD67306,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/97387455/salvage-2015-jeep-grand-cherokee-laredo-ks-kansas-city,97387455,"10,593 USD",03/17/2026 09:00 pm GMT+4,2015,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJFAG3FC189897,SALVAGE CERTIFICATE OF TITLE,"146,943 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/96276235/salvage-2015-mini-cooper-ks-kansas-city,96276235,"10,414 USD",03/17/2026 09:00 pm GMT+4,2015,MIN,COOPER,1.5L  3,3,WMWXM5C50F3A60519,SALVAGE TITLE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/96254675/salvage-2016-chevrolet-silverado-k1500-lt-ks-kansas-city,96254675,"17,135 USD",03/17/2026 09:00 pm GMT+4,2016,CHEV,SILVERADO,5.3L  8,8,1GCVKREC0GZ256426,SALVAGE CERTIFICATE OF TITLE,"136,036 A",ACTUAL,SIDE,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/95443835/salvage-2020-hyundai-elantra-sel-ks-kansas-city,95443835,"12,013 USD",03/17/2026 09:00 pm GMT+4,2020,HYUN,ELANTRA,2.0L  4,4,KMHD84LF2LU927303,CERT OF TITLE-SALVAGE TITLE,"107,716 A",ACTUAL,FRONT END,125 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/92283505/salvage-2015-toyota-prius-c-ks-kansas-city,92283505,"6,798 USD",03/17/2026 09:00 pm GMT+4,2015,TOYT,PRIUS C,1.5L  4,4,JTDKDTB33F1580191,CERT OF TITLE-SALVAGE,"173,444 A",ACTUAL,SIDE,100 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/92040365/salvage-2014-kia-soul-+-ks-kansas-city,92040365,"7,598 USD",03/17/2026 09:00 pm GMT+4,2014,KIA,SOUL,2.0L  4,4,KNDJP3A58E7005246,SALVAGE CERTIFICATE OF TITLE,"119,623 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/77187845/clean-title-2014-bmw-i3-rex-ks-kansas-city,77187845,"9,100 USD",03/17/2026 09:00 pm GMT+4,2014,BMW,I3,0.7L  2,2,WBY1Z4C52EV277170,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/77090765/salvage-2018-toyota-camry-l-ks-kansas-city,77090765,"12,390 USD",03/17/2026 09:00 pm GMT+4,2018,TOYT,CAMRY,2.5L  4,4,JTNB11HK9J3009597,CERT OF TITLE-SALVAGE,"214,720 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/76775865/salvage-2020-kia-forte-fe-ks-kansas-city,76775865,"11,828 USD",03/17/2026 09:00 pm GMT+4,2020,KIA,FORTE,2.0L  4,4,3KPF24AD0LE187782,CERT OF TITLE-SALVAGE,"95,856 A",ACTUAL,VANDALISM,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/76195525/salvage-2003-ford-f350-srw-super-duty-ks-kansas-city,76195525,"10,654 USD",03/17/2026 09:00 pm GMT+4,2003,FORD,F350,6.0L  8,8,1FTSX31P23ED11907,SALVAGE CERTIFICATE OF TITLE,"201,818 E",EXEMPT,STRIPPED,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/75700285/salvage-2006-cadillac-dts-ks-kansas-city,75700285,"3,503 USD",03/17/2026 09:00 pm GMT+4,2006,CADI,DTS,4.6L  8,8,1G6KD57Y86U150609,CERT OF TITLE-SALVAGE,"214,781 E",EXEMPT,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/75543135/salvage-2013-ford-fusion-titanium-phev-ks-kansas-city,75543135,"7,956 USD",03/17/2026 09:00 pm GMT+4,2013,FORD,FUSION,2.0L  4,4,3FA6P0SUXDR260097,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/74867275/salvage-2014-lexus-gs-350-ks-kansas-city,74867275,"10,756 USD",03/17/2026 09:00 pm GMT+4,2014,LEXS,GS 350,3.5L  6,6,JTHCE1BLXE5022804,SALVAGE CERTIFICATE OF TITLE,"145,967 A",ACTUAL,VANDALISM,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/74714125/salvage-2017-ford-f150-supercrew-ks-kansas-city,74714125,"21,004 USD",03/17/2026 09:00 pm GMT+4,2017,FORD,F150,3.5L  6,6,1FTEW1EG8HKE19116,CERT OF TITLE-SALVAGE,"106,840 A",ACTUAL,UNDERCARRIAGE,250 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/74483495/salvage-2014-kia-forte-ex-ks-kansas-city,74483495,"5,073 USD",03/17/2026 09:00 pm GMT+4,2014,KIA,FORTE,2.0L  4,4,KNAFX6A87E5202614,CERT OF TITLE-SALVAGE,"108,577 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/74411125/salvage-2014-toyota-rav4-limited-ks-kansas-city,74411125,"10,707 USD",03/17/2026 09:00 pm GMT+4,2014,TOYT,RAV4,2.5L  4,4,2T3DFREV8EW192750,CERT OF TITLE-SALVAGE TITLE,"213,737 A",ACTUAL,SIDE,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/73000895/salvage-2018-infinity-q50-3-0t-sport-ks-kansas-city,73000895,"18,702 USD",03/17/2026 09:00 pm GMT+4,2018,INFI,Q50,3.0L  6,6,JN1EV7AR8JM431650,SALVAGE CERTIFICATE OF TITLE,"78,257 A",ACTUAL,VANDALISM,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/72983965/salvage-2015-mitsubishi-outlander-sport-es-ks-kansas-city,72983965,"9,615 USD",03/17/2026 09:00 pm GMT+4,2015,MITS,OUTLANDER SPORT,2.0L  4,4,4A4AR3AU9FE048405,SALVAGE CERTIFICATE OF TITLE,"58,600 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
https://www.copart.com/lot/62130945/salvage-2018-kia-rio-lx-ks-kansas-city,62130945,"10,478 USD",03/17/2026 09:00 pm GMT+4,2018,KIA,RIO,1.6L  4,4,3KPA25AB1JE050488,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,BIOHAZARD/CHEMICAL,0 USD,0 USD,0,KS - KANSAS CITY,0,N/A,N/A
