Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99510185/salvage-2021-chevrolet-malibu-lt-ky-lexington-west,99510185,"12,873 USD",03/18/2026 06:00 pm GMT+4,2021,CHEV,MALIBU,1.5L  4,4,1G1ZD5ST1MF014453,CERT OF TITLE-SALVAGE,"115,635 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/98877765/salvage-2006-toyota-camry-le-ky-lexington-west,98877765,"4,451 USD",03/18/2026 06:00 pm GMT+4,2006,TOYT,CAMRY,2.4L  4,4,4T1BE32K36U728189,CERT OF TITLE-SALVAGE,"170,371 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/97316985/salvage-2017-nissan-versa-note-s-ky-lexington-west,97316985,"7,947 USD",03/18/2026 06:00 pm GMT+4,2017,NISS,VERSA NOTE,1.6L  4,4,3N1CE2CP3HL364109,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/95949755/salvage-2024-kia-seltos-x-line-ky-lexington-west,95949755,"20,966 USD",03/18/2026 06:00 pm GMT+4,2024,KIA,SELTOS,1.6L  4,4,KNDEUCA75R7556901,CERT OF TITLE-SALVAGE,"66,132 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/94937625/salvage-2018-audi-q5-premium-plus-ky-lexington-west,94937625,"16,471 USD",03/18/2026 06:00 pm GMT+4,2018,AUDI,Q5,2.0L  4,4,WA1BNAFY3J2000992,CERT OF TITLE-SALVAGE,"114,838 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/94655115/salvage-2002-ford-mustang-gt-ky-lexington-west,94655115,"5,587 USD",03/18/2026 06:00 pm GMT+4,2002,FORD,MUSTANG,4.6L  8,8,1FAFP42X62F108216,CERT OF TITLE-SALVAGE,"183,609 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/93069695/salvage-2013-toyota-venza-le-ky-lexington-west,93069695,"13,021 USD",03/18/2026 06:00 pm GMT+4,2013,TOYT,VENZA,3.5L  6,6,4T3BK3BB3DU081015,CERT OF TITLE-SALVAGE,"132,509 A",ACTUAL,FRONT END,175 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/92593835/salvage-2025-kia-sportage-sx-prestige-ky-lexington-west,92593835,"32,006 USD",03/18/2026 06:00 pm GMT+4,2025,KIA,SPORTAGE,2.5L  4,4,5XYK53DF6SG320446,CERT OF TITLE-SALVAGE,"5,983 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/91380915/salvage-2024-jayco-camper-ky-lexington-west,91380915,"25,753 USD",03/18/2026 06:00 pm GMT+4,2024,JYCO,OTHER,,,1UJBC0BN1R17V0085,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,HAIL,100 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/84970315/salvage-2019-hyundai-sonata-hybrid-ky-lexington-west,84970315,"11,828 USD",03/18/2026 06:00 pm GMT+4,2019,HYUN,SONATA,2.0L  4,4,KMHE34L3XKA092575,CERT OF TITLE-SALVAGE,"164,085 A",ACTUAL,REAR END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/78585395/salvage-2006-honda-odyssey-exl-ky-lexington-west,78585395,"2,365 USD",03/18/2026 06:00 pm GMT+4,2006,HOND,ODYSSEY,3.5L 6,6,5FNRL38746B097327,CERT OF TITLE-SALVAGE,"117,869 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/77760535/salvage-2012-cadillac-srx-performance-collection-ky-lexington-west,77760535,"8,433 USD",03/18/2026 06:00 pm GMT+4,2012,CADI,SRX,3.6L  6,6,3GYFNBE37CS547493,CERT OF TITLE-SALVAGE,"101,785 A",ACTUAL,SIDE,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/77740385/salvage-2025-hyundai-tucson-blue-ky-lexington-west,77740385,"27,793 USD",03/18/2026 06:00 pm GMT+4,2025,HYUN,TUCSON,1.6L  4,4,KM8JBDD15SU261138,CERT OF TITLE-SALVAGE,"3,913 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/77561345/salvage-2013-kia-forte-ex-ky-lexington-west,77561345,"4,804 USD",03/18/2026 06:00 pm GMT+4,2013,KIA,FORTE,2.0L  4,4,KNAFU5A24D5649060,CERT OF TITLE-SALVAGE,"140,237 A",ACTUAL,REAR END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/76695695/salvage-2011-hyundai-sonata-se-ky-lexington-west,76695695,"4,973 USD",03/18/2026 06:00 pm GMT+4,2011,HYUN,SONATA,2.0L  4,4,5NPEC4AB8BH212333,CERT OF TITLE-SALVAGE,"200,314 A",ACTUAL,REAR END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/76345325/salvage-2007-jeep-grand-cherokee-limited-ky-lexington-west,76345325,"6,065 USD",03/18/2026 06:00 pm GMT+4,2007,JEP,GRAND CHEROKEE,5.7L  8,8,1J8HR582X7C537729,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/75969775/salvage-2011-nissan-murano-s-ky-lexington-west,75969775,"5,637 USD",03/18/2026 06:00 pm GMT+4,2011,NISS,MURANO,3.5L  6,6,JN8AZ1MW0BW163511,CERT OF TITLE-SALVAGE,"188,886 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/75342915/salvage-2015-mazda-3-touring-ky-lexington-west,75342915,"9,011 USD",03/18/2026 06:00 pm GMT+4,2015,MAZD,3,2.5L 4,4,JM1BM1L31F1233736,CERT OF TITLE-SALVAGE,"130,116 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
https://www.copart.com/lot/74873035/salvage-2008-toyota-tacoma-double-cab-ky-lexington-west,74873035,"13,438 USD",03/18/2026 06:00 pm GMT+4,2008,TOYT,TACOMA,4.0L  6,6,5TELU42N38Z483528,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,ROLLOVER,175 USD,0 USD,0,KY - LEXINGTON WEST,0,N/A,N/A
