Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99617175/salvage-2018-toyota-rav4-hv-limited-me-windham,99617175,"21,878 USD",03/18/2026 06:00 pm GMT+4,2018,TOYT,RAV4 HV,2.5L  4,4,JTMDJREV0JD172417,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/99565895/salvage-2019-chevrolet-silverado-k1500-lt-me-windham,99565895,"31,484 USD",03/18/2026 06:00 pm GMT+4,2019,CHEV,SILVERADO,5.3L  8,8,1GCUYDED5KZ396714,CERT OF TITLE-SALVAGE COLLISIO,"67,429 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/99445375/salvage-2014-honda-cr-v-exl-me-windham,99445375,"8,871 USD",03/18/2026 06:00 pm GMT+4,2014,HOND,CR-V,2.4L  4,4,5J6RM4H79EL014760,CERT OF TITLE-SALVAGE COLLISIO,"201,334 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/99377115/salvage-2020-toyota-4runner-sr5sr5-premium-me-windham,99377115,"33,463 USD",03/18/2026 06:00 pm GMT+4,2020,TOYT,4RUNNER,4.0L  6,6,JTEBU5JR3L5803511,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/99080755/salvage-2022-ford-f350-super-duty-me-windham,99080755,"46,374 USD",03/18/2026 06:00 pm GMT+4,2022,FORD,F350,6.2L  8,8,1FT7X3B61NEF71083,SALVAGE FIRE DAMAGE,0 N,NOT ACTUAL,BURN - INTERIOR,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/98904515/salvage-2025-honda-pilot-exl-me-windham,98904515,"42,236 USD",03/18/2026 06:00 pm GMT+4,2025,HOND,PILOT,3.5L  6,6,5FNYG1H4XSB090550,CERT OF TITLE-SALVAGE COLLISIO,"5,265 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/98584565/clean-title-1985-lincoln-townhouse-town-car-me-windham,98584565,"7,595 USD",03/18/2026 06:00 pm GMT+4,1985,LINC,TOWN CAR,5.0L  8,8,1LNBP96F6FY717254,BILL OF SALE,"35,152 E",EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/98534775/salvage-2018-volvo-xc60-t6-inscription-me-windham,98534775,"17,856 USD",03/18/2026 06:00 pm GMT+4,2018,VOLV,XC60,2.0L  4,4,YV4A22RL9J1032199,CERT OF TITLE-SALVAGE COLLISIO,"121,967 A",ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/98475665/salvage-2023-nissan-rogue-sv-me-windham,98475665,"24,284 USD",03/18/2026 06:00 pm GMT+4,2023,NISS,ROGUE,1.5L  3,3,5N1BT3BB0PC893789,CERT OF TITLE-SALVAGE COLLISIO,"25,563 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/98165415/clean-title-1997-gmc-sierra-k1500-me-windham,98165415,"4,661 USD",03/18/2026 06:00 pm GMT+4,1997,GMC,SIERRA,5.7L  8,8,1GTEK14R6VZ516610,BILL OF SALE,"82,320 E",EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/97818835/salvage-2018-toyota-tundra-double-cab-sr-me-windham,97818835,"32,689 USD",03/18/2026 06:00 pm GMT+4,2018,TOYT,TUNDRA,5.7L  8,8,5TFUY5F12JX739421,CERT OF TITLE-SALVAGE COLLISIO,"79,594 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/96882815/salvage-2019-kia-sorento-l-me-windham,96882815,"9,768 USD",03/18/2026 06:00 pm GMT+4,2019,KIA,SORENTO,2.4L  4,4,5XYPG4A30KG480306,CERT OF TITLE-SALVAGE COLLISIO,"212,267 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/96516015/salvage-2025-ram-1500-rebel-me-windham,96516015,"52,917 USD",03/18/2026 06:00 pm GMT+4,2025,RAM,1500,3.0L  6,6,1C6SRFLP3SN665191,CERT OF TITLE-SALVAGE COLLISIO,"20,657 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/96172185/salvage-2003-gmc-sierra-k2500-heavy-duty-me-windham,96172185,"7,066 USD",03/18/2026 06:00 pm GMT+4,2003,GMC,SIERRA,6.6L  8,8,1GTHK29193E220376,CERT OF TITLE-SALVAGE COLLISIO,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/95117855/salvage-2011-dodge-ram-2500-me-windham,95117855,"15,586 USD",03/18/2026 06:00 pm GMT+4,2011,DODG,RAM 2500,5.7L  8,8,3D7TT2CT4BG532622,CERT OF TITLE-SALVAGE COLLISIO,"157,388 A",ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/94918815/salvage-2018-hyundai-tucson-se-me-windham,94918815,"12,758 USD",03/18/2026 06:00 pm GMT+4,2018,HYUN,TUCSON,2.0L  4,4,KM8J2CA40JU765717,CERT OF TITLE-SALVAGE COLLISIO,"93,011 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/94355245/clean-title-1995-jeep-wrangler-yj-se-me-windham,94355245,"8,157 USD",03/18/2026 06:00 pm GMT+4,1995,JEP,WRANGLER / YJ,4.0L  6,6,1J4FY29S9SP248612,BILL OF SALE,"208,189 E",EXEMPT,ROLLOVER,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/91112435/salvage-2023-ford-escape-st-line-me-windham,91112435,"24,234 USD",03/18/2026 06:00 pm GMT+4,2023,FORD,ESCAPE,1.5L  3,3,1FMCU9MN2PUA97955,CERT OF TITLE-SALVAGE COLLISIO,"55,473 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/90717905/salvage-2021-kia-soul-lx-me-windham,90717905,"12,049 USD",03/18/2026 06:00 pm GMT+4,2021,KIA,SOUL,2.0L  4,4,KNDJ23AU0M7752568,CERT OF TITLE-SALVAGE COLLISIO,"112,347 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/77894275/salvage-2017-toyota-rav4-le-me-windham,77894275,"15,103 USD",03/18/2026 06:00 pm GMT+4,2017,TOYT,RAV4,2.5L  4,4,JTMBFREV2HJ117620,CERT OF TITLE-SALVAGE COLLISIO,"105,770 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/77861375/clean-title-1997-honda-civic-dx-me-windham,77861375,"1,637 USD",03/18/2026 06:00 pm GMT+4,1997,HOND,CIVIC,1.6L  4,4,1HGEJ6225VL036178,BILL OF SALE,"236,435 E",EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/77368155/salvage-2014-kia-optima-ex-me-windham,77368155,"7,285 USD",03/18/2026 06:00 pm GMT+4,2014,KIA,OPTIMA,2.4L  4,4,5XXGN4A75EG296139,CERT OF TITLE-SALVAGE COLLISIO,"194,149 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/77101685/salvage-2018-toyota-corolla-l-me-windham,77101685,"15,294 USD",03/18/2026 06:00 pm GMT+4,2018,TOYT,COROLLA,1.8L  4,4,2T1BURHE0JC053872,CERT OF TITLE-SALVAGE COLLISIO,"71,518 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/76824135/salvage-2017-kia-sportage-ex-me-windham,76824135,"10,240 USD",03/18/2026 06:00 pm GMT+4,2017,KIA,SPORTAGE,2.4L  4,4,KNDPNCAC8H7267884,CERT OF TITLE-SALVAGE COLLISIO,"96,997 A",ACTUAL,VANDALISM,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/76598785/salvage-2016-volvo-xc90-t6-me-windham,76598785,"12,247 USD",03/18/2026 06:00 pm GMT+4,2016,VOLV,XC90,2.0L  4,4,YV4A22PL0G1012435,CERT OF TITLE-SALVAGE COLLISIO,"121,651 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/76562495/salvage-2012-toyota-rav4-me-windham,76562495,"10,136 USD",03/18/2026 06:00 pm GMT+4,2012,TOYT,RAV4,2.5L  4,4,2T3BF4DV9CW227028,CERT OF TITLE-SALVAGE COLLISIO,"103,073 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/76429555/clean-title-2000-toyota-tundra-sr5-me-windham,76429555,"4,584 USD",03/18/2026 06:00 pm GMT+4,2000,TOYT,TUNDRA,4.7L  8,8,5TBBT4412YS085662,BILL OF SALE,"249,449 E",EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/76240335/clean-title-1993-toyota-hiace-supe-me-windham,76240335,"12,670 USD",03/18/2026 06:00 pm GMT+4,1993,TOYT,HIACE SUPE,,,KZH1060005201,BILL OF SALE,0 E,EXEMPT,SIDE,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/75996125/salvage-2013-toyota-rav4-le-me-windham,75996125,"8,248 USD",03/18/2026 06:00 pm GMT+4,2013,TOYT,RAV4,2.5L  4,4,2T3BFREV8DW105631,CERT OF TITLE-SALVAGE COLLISIO,"238,912 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
