Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99900605/clean-title-2022-gmc-sierra-limited-k1500-elevation-mi-detroit,99900605,"33,849 USD",03/17/2026 06:00 pm GMT+4,2022,GMC,SIERRA LIMITED,5.3L 8,8,3GTU9CED4NG104739,CERTIFICATE OF TITLE,"60,801 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/96603465/clean-title-2021-chevrolet-trailblazer-rs-mi-detroit,96603465,"19,486 USD",03/17/2026 06:00 pm GMT+4,2021,CHEV,TRAILBLAZER,1.3L 3,3,KL79MTSL4MB066093,CERTIFICATE OF TITLE,"48,329 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/94941525/clean-title-2019-nissan-titan-xd-sv-mi-detroit,94941525,"31,530 USD",03/17/2026 06:00 pm GMT+4,2019,NISS,TITAN XD,5.0L 8,8,1N6BA1F49KN526958,CERTIFICATE OF TITLE,"33,359 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/94498605/clean-title-2024-yamaha-unknown-mi-detroit,94498605,"16,550 USD",03/17/2026 06:00 pm GMT+4,2024,YAMA,UNKNOWN,,,YAMA1334C424,WATERCRAFT CERT OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,"3,300 USD",0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/94447865/clean-title-2022-jeep-wrangler-unlimited-sahara-4xe-mi-detroit,94447865,"30,203 USD",03/17/2026 06:00 pm GMT+4,2022,JEP,WRANGLER UNLIMITED,2.0L 4,4,1C4JJXP65NW177801,CERTIFICATE OF TITLE,"32,356 A",ACTUAL,FRONT END,400 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/79451145/clean-title-2008-mercedes-benz-r-350-mi-detroit,79451145,"5,861 USD",03/17/2026 06:00 pm GMT+4,2008,MERZ,R,3.5L 6,6,4JGCB65E28A067750,CERTIFICATE OF TITLE (P),"150,986 E",EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/79450865/clean-title-2018-volkswagen-atlas-sel-mi-detroit,79450865,"16,089 USD",03/17/2026 06:00 pm GMT+4,2018,VOLK,ATLAS,3.6L 6,6,1V2ER2CA4JC537240,CERTIFICATE OF TITLE (P),"108,221 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/75174125/clean-title-2020-jeep-compass-limited-mi-detroit,75174125,"18,536 USD",03/17/2026 06:00 pm GMT+4,2020,JEP,COMPASS,2.4L 4,4,3C4NJDCB4LT233653,CERTIFICATE OF TITLE,"29,269 A",ACTUAL,REAR END,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/74471625/salvage-2017-toyota-4runner-sr5sr5-premium-mi-detroit,74471625,"23,362 USD",03/17/2026 06:00 pm GMT+4,2017,TOYT,4RUNNER,4.0L  6,6,JTEBU5JR1H5432498,CERT OF TITLE-SALVAGE VEHICLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/74243975/clean-title-2020-ford-escape-sel-mi-detroit,74243975,"17,855 USD",03/17/2026 06:00 pm GMT+4,2020,FORD,ESCAPE,1.5L 3,3,1FMCU9H67LUC29024,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,BURN - ENGINE,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/74046455/clean-title-2008-ford-f350-srw-super-duty-mi-detroit,74046455,"21,314 USD",03/17/2026 06:00 pm GMT+4,2008,FORD,F350,6.4L 8,8,1FTWX31R78EA88970,CERTIFICATE OF TITLE,0 E,EXEMPT,SIDE,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/73443915/clean-title-2016-land-rover-range-rover-supercharged-mi-detroit,73443915,"17,369 USD",03/17/2026 06:00 pm GMT+4,2016,LAND,RANGE ROVER,5.0L  8,8,SALGS2EFXGA286759,CERTIFICATE OF TITLE (P),"186,303 A",ACTUAL,MINOR DENT/SCRATCHES,350 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/73231985/clean-title-2016-ford-f150-supercrew-mi-detroit,73231985,"23,955 USD",03/17/2026 06:00 pm GMT+4,2016,FORD,F150,3.5L 6,6,1FTEW1EG6GFD22231,CERTIFICATE OF TITLE,"108,515 A",ACTUAL,FRONT END,500 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/72522045/clean-title-2007-gmc-canyon-mi-detroit,72522045,$1 USD,03/17/2026 06:00 pm GMT+4,2007,GMC,CANYON,3.7L  5,5,1GTDT13E878132084,CERTIFICATE OF TITLE,0 E,EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
