Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99900715/clean-title-2013-bmw-535-xi-mi-flint,99900715,"7,750 USD",03/18/2026 06:00 pm GMT+4,2013,BMW,535,3.0L 6,6,WBAFU7C5XDDU69199,CERTIFICATE OF TITLE,"173,707 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/99841805/2022-nissan-rogue-sport-sl-mi-flint,99841805,"19,886 USD",03/18/2026 06:00 pm GMT+4,2022,NISS,ROGUE SPORT,2.0L  4,4,JN1BJ1CW3NW492963,SCRAP CERTIFICATE OF TITLE,"28,579 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/99803845/clean-title-2023-hyundai-kona-se-mi-flint,99803845,"15,500 USD",03/18/2026 06:00 pm GMT+4,2023,HYUN,KONA,2.0L  4,4,KM8K2CAB7PU041583,DEALER ONLY CLEAN TITLE,"113,280 A",ACTUAL,SIDE,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/99690025/salvage-2022-ford-escape-sel-mi-flint,99690025,"14,021 USD",03/18/2026 06:00 pm GMT+4,2022,FORD,ESCAPE,2.0L  4,4,1FMCU9H91NUA43816,CERT OF TITLE-SALVAGE VEHICLE,"125,298 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/99437395/2025-volkswagen-jetta-sport-mi-flint,99437395,"20,292 USD",03/18/2026 06:00 pm GMT+4,2025,VOLK,JETTA,1.5L  4,4,3VWBX7BU1SM103454,SCRAP CERTIFICATE OF TITLE,"4,575 A",ACTUAL,SIDE,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/99381285/clean-title-2021-chevrolet-traverse-lt-mi-flint,99381285,"20,763 USD",03/18/2026 06:00 pm GMT+4,2021,CHEV,TRAVERSE,3.6L 6,6,1GNEVGKWXMJ147709,CERTIFICATE OF TITLE,"77,324 A",ACTUAL,SIDE,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98859725/clean-title-2010-lexus-rx-350-base-mi-flint,98859725,"6,717 USD",03/18/2026 06:00 pm GMT+4,2010,LEXS,RX 350,3.5L 6,6,2T2BK1BA2AC022020,CERTIFICATE OF TITLE,"187,187 E",EXEMPT,SIDE,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98847005/clean-title-2019-bmw-530-xi-mi-flint,98847005,"17,285 USD",03/18/2026 06:00 pm GMT+4,2019,BMW,530,2.0L  4,4,WBAJA7C58KWC77576,CERTIFICATE OF TITLE,"96,156 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98759155/2025-hyundai-tucson-se-mi-flint,98759155,"24,997 USD",03/18/2026 06:00 pm GMT+4,2025,HYUN,TUCSON,2.5L  4,4,5NMJACDE3SH506398,SCRAP CERTIFICATE OF TITLE,"10,479 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98749875/clean-title-2014-chevrolet-malibu-1lt-mi-flint,98749875,"6,577 USD",03/18/2026 06:00 pm GMT+4,2014,CHEV,MALIBU,2.5L 4,4,1G11C5SL1EF115705,CERTIFICATE OF TITLE,"110,847 A",ACTUAL,SIDE,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98150425/salvage-2024-nissan-sentra-s-mi-flint,98150425,"17,505 USD",03/18/2026 06:00 pm GMT+4,2024,NISS,SENTRA,2.0L  4,4,3N1AB8BV8RY235001,CERT OF TITLE-SALVAGE VEHICLE,"15,014 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98146085/clean-title-2012-ford-fusion-sel-mi-flint,98146085,"3,615 USD",03/18/2026 06:00 pm GMT+4,2012,FORD,FUSION,2.5L 4,4,3FAHP0JAXCR106214,CERTIFICATE OF TITLE,"141,858 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98064215/clean-title-2014-subaru-forester-2-5i-premium-mi-flint,98064215,"9,203 USD",03/18/2026 06:00 pm GMT+4,2014,SUBA,FORESTER,2.5L 4,4,JF2SJAEC0EH402657,CERTIFICATE OF TITLE,"125,470 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/97052265/clean-title-2016-chevrolet-colorado-lt-mi-flint,97052265,"8,994 USD",03/18/2026 06:00 pm GMT+4,2016,CHEV,COLORADO,3.6L 6,6,1GCGTCE3XG1153919,CERTIFICATE OF TITLE,"239,187 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/96805085/clean-title-2015-subaru-outback-2-5i-premium-mi-flint,96805085,"10,104 USD",03/18/2026 06:00 pm GMT+4,2015,SUBA,OUTBACK,2.5L 4,4,4S4BSBCC6F3209511,CERTIFICATE OF TITLE,"111,332 A",ACTUAL,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
