Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99789235/salvage-2021-dodge-durango-sxt-mn-minneapolis-north,99789235,"20,035 USD",03/17/2026 09:00 pm GMT+4,2021,DODG,DURANGO,3.6L  6,6,1C4RDJAG5MC853172,CERT OF TITLE-SALVAGE,"72,946 A",ACTUAL,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/99357225/salvage-2023-subaru-solterra-premium-mn-minneapolis-north,99357225,"27,670 USD",03/17/2026 09:00 pm GMT+4,2023,SUBA,SOLTERRA,, ,JTMABABA4PA029015,CERT OF TITLE-SALVAGE,"4,097 A",ACTUAL,FRONT END,250 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/99130705/salvage-2023-kia-sportage-x-line-mn-minneapolis-north,99130705,"22,275 USD",03/17/2026 09:00 pm GMT+4,2023,KIA,SPORTAGE,2.5L  4,4,5XYK6CAF1PG026073,CERT OF TITLE-SALVAGE,"54,595 A",ACTUAL,SIDE,300 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/99092925/salvage-2022-toyota-rav4-limited-mn-minneapolis-north,99092925,"26,141 USD",03/17/2026 09:00 pm GMT+4,2022,TOYT,RAV4,2.5L  4,4,2T3N1RFVXNW258118,CERT OF TITLE-SALVAGE,"51,285 A",ACTUAL,SIDE,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/98961265/salvage-2014-toyota-rav4-xle-mn-minneapolis-north,98961265,"15,765 USD",03/17/2026 09:00 pm GMT+4,2014,TOYT,RAV4,2.5L  4,4,JTMRFREV4ED090221,CERT OF TITLE-SALVAGE,"61,913 A",ACTUAL,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/98666485/salvage-2020-ford-f150-supercrew-mn-minneapolis-north,98666485,"25,695 USD",03/17/2026 09:00 pm GMT+4,2020,FORD,F150,3.5L  6,6,1FTFW1E46LKE63182,CERT OF TITLE-SALVAGE,"102,199 A",ACTUAL,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/98152655/salvage-2017-chevrolet-silverado-k1500-lt-mn-minneapolis-north,98152655,"18,931 USD",03/17/2026 09:00 pm GMT+4,2017,CHEV,SILVERADO,5.3L 8,8,1GCUKRECXHF111506,CERT OF TITLE-SALVAGE,"117,278 A",ACTUAL,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/97774125/salvage-2023-tesla-model-y-mn-minneapolis-north,97774125,"29,372 USD",03/17/2026 09:00 pm GMT+4,2023,TESL,MODEL Y,, ,7SAYGDEE6PF806790,CERT OF TITLE-SALVAGE,"33,563 A",ACTUAL,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/97498835/salvage-2021-honda-civic-sport-mn-minneapolis-north,97498835,"15,236 USD",03/17/2026 09:00 pm GMT+4,2021,HOND,CIVIC,2.0L  4,4,2HGFC2F89MH528052,CERT OF TITLE-SALVAGE,"55,528 A",ACTUAL,REAR END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
https://www.copart.com/lot/97436185/salvage-2025-jeep-grand-cherokee-l-limited-mn-minneapolis-north,97436185,"36,559 USD",03/17/2026 09:00 pm GMT+4,2025,JEP,GRAND CHEROKEE,3.6L 6,6,1C4RJKBG4S8632756,CERT OF TITLE-SALVAGE,"16,332 A",ACTUAL,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS NORTH,0,N/A,N/A
