Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99796965/salvage-2012-chevrolet-silverado-c1500-mo-columbia,99796965,"8,924 USD",03/17/2026 09:00 pm GMT+4,2012,CHEV,SILVERADO,4.3L  6,6,1GCNCPEX3CZ271324,SALVAGE CERTIFICATE OF TITLE,"94,275 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/99476135/salvage-2010-toyota-venza-mo-columbia,99476135,"8,841 USD",03/17/2026 09:00 pm GMT+4,2010,TOYT,VENZA,3.5L  6,6,4T3ZK3BB2AU023102,SALVAGE CERTIFICATE OF TITLE,"158,860 E",EXEMPT,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/99227625/salvage-2016-nissan-pathfinder-s-mo-columbia,99227625,"6,544 USD",03/17/2026 09:00 pm GMT+4,2016,NISS,PATHFINDER,3.5L  6,6,5N1AR2MM3GC659228,SALVAGE CERTIFICATE OF TITLE,"213,630 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/98267495/salvage-2023-ford-escape-st-line-mo-columbia,98267495,"23,150 USD",03/17/2026 09:00 pm GMT+4,2023,FORD,ESCAPE,1.5L  3,3,1FMCU9MN2PUB13376,SALVAGE CERTIFICATE OF TITLE,"38,191 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/97374955/salvage-2023-lincoln-aviator-reserve-mo-columbia,97374955,"47,572 USD",03/17/2026 09:00 pm GMT+4,2023,LINC,AVIATOR,3.0L  6,6,5LM5J7XC0PGL11918,SALVAGE CERTIFICATE OF TITLE,"40,027 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/96736435/salvage-2021-volkswagen-jetta-s-mo-columbia,96736435,"16,583 USD",03/17/2026 09:00 pm GMT+4,2021,VOLK,JETTA,1.4L  4,4,3VWC57BUXMM073285,SALVAGE CERTIFICATE OF TITLE,"68,821 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/95583615/salvage-2013-international-5500i-mo-columbia,95583615,"50,667 USD",03/17/2026 09:00 pm GMT+4,2013,INTL,5500I,11.0L  6,6,1HTXLSHTXDJ416723,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/95575665/salvage-2021-honda-civic-ex-mo-columbia,95575665,"13,727 USD",03/17/2026 09:00 pm GMT+4,2021,HOND,CIVIC,1.5L  4,4,2HGFC1F36MH704053,SALVAGE CERTIFICATE OF TITLE,"139,028 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/95493985/salvage-2012-dodge-ram-2500-st-mo-columbia,95493985,"11,927 USD",03/17/2026 09:00 pm GMT+4,2012,DODG,RAM 2500,5.7L  8,8,3C6TD5CT9CG221804,SALVAGE CERTIFICATE OF TITLE,"157,333 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
https://www.copart.com/lot/93450495/clean-title-2017-chevrolet-impala-lt-mo-columbia,93450495,"7,854 USD",03/17/2026 09:00 pm GMT+4,2017,CHEV,IMPALA,3.6L  6,6,2G1105S34H9184782,CERTIFICATE OF TITLE,"241,727 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - COLUMBIA,0,N/A,N/A
