Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99764785/salvage-2011-honda-accord-se-mo-sikeston,99764785,"5,086 USD",03/16/2026 09:00 pm GMT+4,2011,HOND,ACCORD,2.4L  4,4,1HGCP2F6XBA049494,SALVAGE CERTIFICATE OF TITLE,"315,239 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99687125/salvage-2012-dodge-journey-se-mo-sikeston,99687125,"3,120 USD",03/16/2026 09:00 pm GMT+4,2012,DODG,JOURNEY,2.4L  4,4,3C4PDCAB4CT390550,SALVAGE CERTIFICATE OF TITLE,"160,265 A",ACTUAL,FRONT END,0 USD,0 USD,43,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99576955/salvage-2024-nissan-sentra-sr-mo-sikeston,99576955,"22,790 USD",03/16/2026 09:00 pm GMT+4,2024,NISS,SENTRA,2.0L  4,4,3N1AB8DV8RY291520,SALVAGE CERTIFICATE OF TITLE,"16,168 A",ACTUAL,ALL OVER,0 USD,0 USD,2,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99493345/salvage-2022-ford-bronco-sport-big-bend-mo-sikeston,99493345,"27,022 USD",03/16/2026 09:00 pm GMT+4,2022,FORD,BRONCO SPORT,1.5L  3,3,3FMCR9B66NRE19918,SALVAGE CERTIFICATE OF TITLE,"24,281 A",ACTUAL,FRONT END,225 USD,0 USD,1119,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99423925/salvage-2021-dodg-ram-mo-sikeston,99423925,"36,840 USD",03/16/2026 09:00 pm GMT+4,2021,DODG,RAM,6.7L  6,6,3C63RRGL1MG537461,SALVAGE CERTIFICATE OF TITLE,"139,269 A",ACTUAL,FRONT END,0 USD,0 USD,8,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99319475/salvage-2016-toyota-highlander-limited-mo-sikeston,99319475,"17,507 USD",03/16/2026 09:00 pm GMT+4,2016,TOYT,HIGHLANDER,3.5L  6,6,5TDDKRFH6GS275912,SALVAGE CERTIFICATE OF TITLE,"130,255 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99150105/2015-dodge-charger-rt-mo-sikeston,99150105,"12,389 USD",03/16/2026 09:00 pm GMT+4,2015,DODG,CHARGER,5.7L  8,8,2C3CDXCT0FH785225,BILL OF SALE - DESTRUCTION,"167,577 ",,FRONT END,0 USD,0 USD,1109,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/99067025/salvage-2016-ford-escape-titanium-mo-sikeston,99067025,$1 USD,03/16/2026 09:00 pm GMT+4,2016,FORD,ESCAPE,2.0L  4,4,1FMCU0J90GUA44190,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/98831035/2008-ford-f350-super-duty-mo-sikeston,98831035,"14,923 USD",03/16/2026 09:00 pm GMT+4,2008,FORD,F350,6.4L  8,8,1FTWW33R48EB54505,JUNKING CERTIFICATE,0 E,EXEMPT,BURN,0 USD,0 USD,822,MO - SIKESTON,0,N/A,N/A
https://www.copart.com/lot/98642995/salvage-2008-chevrolet-colorado-lt-mo-sikeston,98642995,"5,777 USD",03/16/2026 09:00 pm GMT+4,2008,CHEV,COLORADO,3.7L  5,5,1GCDT43E788225858,SALVAGE CERTIFICATE OF TITLE,"247,451 E",EXEMPT,FRONT END,0 USD,0 USD,1113,MO - SIKESTON,0,N/A,N/A
