Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99932335/salvage-2019-nissan-altima-sr-mo-st-louis,99932335,"17,293 USD",03/17/2026 09:00 pm GMT+4,2019,NISS,ALTIMA,2.5L  4,4,1N4BL4CV0KC247606,SALVAGE CERTIFICATE OF TITLE,"74,461 A",ACTUAL,HAIL,150 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/99277405/salvage-2014-porsche-cayenne-mo-st-louis,99277405,"15,797 USD",03/17/2026 09:00 pm GMT+4,2014,PORS,CAYENNE,3.6L  6,6,WP1AA2A24ELA05574,SALVAGE CERTIFICATE OF TITLE,"142,370 A",ACTUAL,FRONT END,150 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98910355/salvage-2012-kia-sorento-ex-mo-st-louis,98910355,"6,260 USD",03/17/2026 09:00 pm GMT+4,2012,KIA,SORENTO,2.4L  4,4,5XYKU3A66CG212224,SALVAGE CERTIFICATE OF TITLE,"133,331 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98886115/salvage-2018-chevrolet-equinox-premier-mo-st-louis,98886115,"12,168 USD",03/17/2026 09:00 pm GMT+4,2018,CHEV,EQUINOX,1.5L  4,4,2GNAXMEV5J6187652,SALVAGE CERTIFICATE OF TITLE,"98,691 A",ACTUAL,SIDE,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98822675/salvage-2018-nissan-sentra-s-mo-st-louis,98822675,"7,683 USD",03/17/2026 09:00 pm GMT+4,2018,NISS,SENTRA,1.8L  4,4,3N1AB7AP1JY253373,SALVAGE CERTIFICATE OF TITLE,"146,273 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98694335/salvage-2024-hyundai-kona-sel-mo-st-louis,98694335,"22,593 USD",03/17/2026 09:00 pm GMT+4,2024,HYUN,KONA,2.0L  4,4,KM8HBCAB6RU120675,SALVAGE CERTIFICATE OF TITLE,"24,598 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98286685/clean-title-2013-toyota-tacoma-double-cab-prerunner-mo-st-louis,98286685,"15,461 USD",03/17/2026 09:00 pm GMT+4,2013,TOYT,TACOMA,4.0L  6,6,5TFJU4GN6DX045068,CERTIFICATE OF TITLE,"179,097 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98239755/salvage-2016-audi-q5-premium-plus-mo-st-louis,98239755,"11,918 USD",03/17/2026 09:00 pm GMT+4,2016,AUDI,Q5,2.0L  4,4,WA1L2AFPXGA060531,SALVAGE CERTIFICATE OF TITLE,"106,964 A",ACTUAL,FRONT END,150 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/98183175/salvage-2017-gmc-sierra-k1500-mo-st-louis,98183175,"21,899 USD",03/17/2026 09:00 pm GMT+4,2017,GMC,SIERRA,5.3L  8,8,1GTV2LEC9HZ378314,SALVAGE CERTIFICATE OF TITLE,"110,486 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97936555/salvage-2019-mercedes-benz-gla-250-4matic-mo-st-louis,97936555,"17,403 USD",03/17/2026 09:00 pm GMT+4,2019,MERZ,GLA,2.0L  4,4,WDCTG4GB6KJ549698,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,REAR END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97783375/salvage-2023-tesla-model-3-mo-st-louis,97783375,"55,600 USD",03/17/2026 09:00 pm GMT+4,2023,TESL,MODEL 3,, ,7SAXCBE54PF415987,SALVAGE CERTIFICATE OF TITLE,"26,669 A",ACTUAL,SIDE,"4,050 USD",0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97779405/salvage-2011-acura-mdx-mo-st-louis,97779405,"6,012 USD",03/17/2026 09:00 pm GMT+4,2011,ACUR,MDX,3.7L  6,6,2HNYD2H27BH511822,SALVAGE CERTIFICATE OF TITLE,"220,834 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97776225/salvage-2013-chevrolet-equinox-lt-mo-st-louis,97776225,"5,262 USD",03/17/2026 09:00 pm GMT+4,2013,CHEV,EQUINOX,2.4L  4,4,2GNFLNEK2D6183494,SALVAGE CERTIFICATE OF TITLE,"168,216 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97766645/salvage-2012-volkswagen-jetta-tdi-mo-st-louis,97766645,"5,721 USD",03/17/2026 09:00 pm GMT+4,2012,VOLK,JETTA,2.0L  4,4,3VWLL7AJ9CM321117,SALVAGE CERTIFICATE OF TITLE,"113,147 A",ACTUAL,REAR END,150 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97496895/salvage-2021-mazda-cx-30-select-mo-st-louis,97496895,"19,347 USD",03/17/2026 09:00 pm GMT+4,2021,MAZD,CX-30,2.5L  4,4,3MVDMBBL0MM221026,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97407745/salvage-2024-hyundai-tucson-n-line-mo-st-louis,97407745,"26,349 USD",03/17/2026 09:00 pm GMT+4,2024,HYUN,TUCSON,1.6L  4,4,KM8JFCD16RU176057,SALVAGE CERTIFICATE OF TITLE,"41,981 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/97009235/salvage-2015-buick-regal-mo-st-louis,97009235,"7,221 USD",03/17/2026 09:00 pm GMT+4,2015,BUIC,REGAL,2.4L  4,4,2G4GV5EK4F9162943,SALVAGE CERTIFICATE OF TITLE,"143,047 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
https://www.copart.com/lot/96897285/salvage-2016-chevrolet-malibu-lt-mo-st-louis,96897285,"11,831 USD",03/17/2026 09:00 pm GMT+4,2016,CHEV,MALIBU,1.5L  4,4,1G1ZE5STXGF274545,SALVAGE CERTIFICATE OF TITLE,"132,793 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - ST. LOUIS,0,N/A,N/A
