Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99562155/salvage-2022-nissan-rogue-sport-s-mt-billings,99562155,"12,099 USD",03/16/2026 10:00 pm GMT+4,2022,NISS,ROGUE SPORT,2.0L  4,4,JN1BJ1AV4NW583055,SALVAGE CERTIFICATE OF TITLE,"99,538 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/99492765/salvage-2013-honda-accord-lx-s-mt-billings,99492765,"8,173 USD",03/16/2026 10:00 pm GMT+4,2013,HOND,ACCORD,2.4L  4,4,1HGCT1B37DA008969,SALVAGE CERTIFICATE OF A VEHIC,"111,737 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/99038665/salvage-2014-ford-f150-supercrew-mt-billings,99038665,"9,681 USD",03/16/2026 10:00 pm GMT+4,2014,FORD,F150,5.0L  8,8,1FTFW1EF3EKF21219,SALVAGE CERTIFICATE OF A VEHIC,"183,448 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98968705/salvage-2016-toyota-tundra-crewmax-limited-mt-billings,98968705,"30,133 USD",03/16/2026 10:00 pm GMT+4,2016,TOYT,TUNDRA,5.7L  8,8,5TFHY5F14GX560355,SALVAGE CERTIFICATE OF A VEHIC,"109,515 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98845445/salvage-2015-chevrolet-impala-ltz-mt-billings,98845445,"7,311 USD",03/16/2026 10:00 pm GMT+4,2015,CHEV,IMPALA,3.6L  6,6,2G1165S3XF9138644,SALVAGE CERTIFICATE OF A VEHIC,"107,958 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98676215/salvage-2024-toyota-rav4-xse-mt-billings,98676215,"37,138 USD",03/16/2026 10:00 pm GMT+4,2024,TOYT,RAV4,2.5L  4,4,JTME6RFV3RD551492,SALVAGE CERTIFICATE OF A VEHIC,"18,835 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98424195/salvage-2023-gmc-terrain-at4-mt-billings,98424195,"27,589 USD",03/16/2026 10:00 pm GMT+4,2023,GMC,TERRAIN,1.5L  4,4,3GKALYEG5PL177788,SALVAGE CERTIFICATE OF A VEHIC,"26,370 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98133845/salvage-2021-lexus-es-300h-luxury-mt-billings,98133845,"28,848 USD",03/16/2026 10:00 pm GMT+4,2021,LEXS,ES,2.5L  4,4,58AEA1C14MU010210,SALVAGE CERTIFICATE OF TITLE,"50,759 A",ACTUAL,FRONT END,"4,300 USD",0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98070535/clean-title-2009-chevrolet-impala-1lt-mt-billings,98070535,"5,528 USD",03/16/2026 10:00 pm GMT+4,2009,CHEV,IMPALA,3.5L  6,6,2G1WT57K891277575,CERTIFICATE OF TITLE,"134,504 E",EXEMPT,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/98059505/salvage-2015-subaru-forester-2-5i-limited-mt-billings,98059505,"10,049 USD",03/16/2026 10:00 pm GMT+4,2015,SUBA,FORESTER,2.5L  4,4,JF2SJARC8FH405429,SALVAGE CERTIFICATE OF A VEHIC,"134,576 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/97332755/clean-title-2008-chevrolet-silverado-k1500-mt-billings,97332755,"11,530 USD",03/16/2026 10:00 pm GMT+4,2008,CHEV,SILVERADO,5.3L  8,8,3GCEK133X8G303645,CERTIFICATE OF TITLE,"150,009 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/97321695/salvage-2021-indian-motorcycle-co-challenger-dark-horse-mt-billings,97321695,"21,449 USD",03/16/2026 10:00 pm GMT+4,2021,INDI,CHALLENGER,2,2,56KLCDRR4M3402356,SALVAGE CERTIFICATE OF A VEHIC,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/97136205/salvage-2011-ford-f150-supercrew-mt-billings,97136205,"10,335 USD",03/16/2026 10:00 pm GMT+4,2011,FORD,F150,3.5L  6,6,1FTFW1ET4BFB27240,SALVAGE CERTIFICATE OF A VEHIC,"185,488 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/96938975/clean-title-2006-volkswagen-new-beetle-convertible-option-package-2-mt-billings,96938975,"8,944 USD",03/16/2026 10:00 pm GMT+4,2006,VOLK,NEW BEETLE,2.5L  5,5,3VWSF31Y06M326980,CERTIFICATE OF TITLE,"45,403 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/96760255/salvage-2014-ford-f150-supercrew-mt-billings,96760255,"19,028 USD",03/16/2026 10:00 pm GMT+4,2014,FORD,F150,3.5L  6,6,1FTFW1ET5EKE60588,SALVAGE CERTIFICATE OF A VEHIC,"134,517 A",ACTUAL,FRONT END,200 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/96343935/salvage-2014-dodge-durango-rt-mt-billings,96343935,"11,194 USD",03/16/2026 10:00 pm GMT+4,2014,DODG,DURANGO,5.7L  8,8,1C4SDJCT7EC374703,SALVAGE CERTIFICATE OF A VEHIC,"161,539 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/95675175/clean-title-2009-toyota-corolla-matrix-mt-billings,95675175,"5,670 USD",03/16/2026 10:00 pm GMT+4,2009,TOYT,COROLLA MATRIX,1.8L  4,4,2T1KU40E89C049532,CERTIFICATE OF TITLE,"143,857 E",EXEMPT,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/95160235/salvage-2014-ford-fusion-se-mt-billings,95160235,"6,261 USD",03/16/2026 10:00 pm GMT+4,2014,FORD,FUSION,2.5L  4,4,3FA6P0H75ER333489,SALVAGE CERTIFICATE OF A VEHIC,"152,301 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/94812305/clean-title-2007-toyota-highlander-hybrid-mt-billings,94812305,"4,385 USD",03/16/2026 10:00 pm GMT+4,2007,TOYT,HIGHLANDER,3.3L  6,6,JTEHW21A870048274,CERTIFICATE OF TITLE,"204,174 E",EXEMPT,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/94686865/salvage-2019-chevrolet-equinox-lt-mt-billings,94686865,"9,213 USD",03/16/2026 10:00 pm GMT+4,2019,CHEV,EQUINOX,1.5L  4,4,2GNAXUEV2K6159406,SALVAGE CERTIFICATE OF A VEHIC,"187,421 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/93968575/salvage-2022-jeep-renegade-latitude-mt-billings,93968575,"13,689 USD",03/16/2026 10:00 pm GMT+4,2022,JEP,RENEGADE,1.3L  4,4,ZACNJDB11NPN50371,SALVAGE CERTIFICATE OF TITLE,"89,039 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/93762885/salvage-2019-subaru-legacy-3-6r-limited-mt-billings,93762885,"15,570 USD",03/16/2026 10:00 pm GMT+4,2019,SUBA,LEGACY,3.6L  6,6,4S3BNEN61K3012888,SALVAGE CERTIFICATE OF TITLE,"35,836 A",ACTUAL,FRONT END,175 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/93398525/salvage-2022-honda-civic-sport-mt-billings,93398525,"24,342 USD",03/16/2026 10:00 pm GMT+4,2022,HOND,CIVIC,2.0L  4,4,19XFL2H87NE012975,SALVAGE CERTIFICATE OF A VEHIC,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/93285785/salvage-2016-ram-1500-longhorn-mt-billings,93285785,"14,361 USD",03/16/2026 10:00 pm GMT+4,2016,RAM,1500,5.7L  8,8,1C6RR7PT0GS126158,SALVAGE CERTIFICATE OF A VEHIC,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/93254325/salvage-2019-nissan-rogue-s-mt-billings,93254325,"16,216 USD",03/16/2026 10:00 pm GMT+4,2019,NISS,ROGUE,2.5L  4,4,5N1AT2MVXKC719010,SALVAGE CERTIFICATE OF A VEHIC,"58,553 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/90322535/clean-title-2010-dodge-nitro-heat-mt-billings,90322535,"5,491 USD",03/16/2026 10:00 pm GMT+4,2010,DODG,NITRO,3.7L  6,6,1D4PU4GK5AW174889,CERTIFICATE OF TITLE,"155,110 E",EXEMPT,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/90305025/salvage-2018-ford-escape-se-mt-billings,90305025,"9,482 USD",03/16/2026 10:00 pm GMT+4,2018,FORD,ESCAPE,1.5L  4,4,1FMCU0GD6JUC62427,SALVAGE CERTIFICATE OF A VEHIC,"126,378 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/89870055/salvage-2016-toyota-sienna-xle-mt-billings,89870055,"16,644 USD",03/16/2026 10:00 pm GMT+4,2016,TOYT,SIENNA,3.5L  6,6,5TDYK3DC1GS733829,SALVAGE CERTIFICATE OF A VEHIC,"123,068 A",ACTUAL,SIDE,175 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/88692875/salvage-2015-hyundai-santa-fe-sport-mt-billings,88692875,"7,673 USD",03/16/2026 10:00 pm GMT+4,2015,HYUN,SANTA FE SPORT,2.4L  4,4,5XYZTDLB9FG260547,SALVAGE CERTIFICATE OF A VEHIC,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/85907465/salvage-2021-nissan-versa-sv-mt-billings,85907465,"11,604 USD",03/16/2026 10:00 pm GMT+4,2021,NISS,VERSA SV,1.6L  4,4,3N1CN8EV6ML870378,SALVAGE CERTIFICATE OF A VEHIC,"68,161 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/84478395/salvage-2020-ford-escape-se-mt-billings,84478395,"15,035 USD",03/16/2026 10:00 pm GMT+4,2020,FORD,ESCAPE,1.5L  3,3,1FMCU9G62LUC40594,SALVAGE CERTIFICATE OF A VEHIC,"95,674 A",ACTUAL,HAIL,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/84433275/clean-title-2014-ic-corporation-3000-ce-mt-billings,84433275,"28,665 USD",03/16/2026 10:00 pm GMT+4,2014,ICRP,3000,6.4L  8,8,4DRBUSKN4EB307213,CERTIFICATE OF TITLE,"154,201 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/84011365/salvage-2014-ford-flex-sel-mt-billings,84011365,"5,029 USD",03/16/2026 10:00 pm GMT+4,2014,FORD,FLEX SEL,3.5L  6,6,2FMHK6C80EBD17117,SALVAGE CERTIFICATE OF A VEHIC,"221,987 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/81983615/salvage-2019-ram-3500-longhorn-mt-billings,81983615,"45,127 USD",03/16/2026 10:00 pm GMT+4,2019,RAM,3500,6.7L  6,6,3C63R3KL5KG658897,SALVAGE CERTIFICATE OF A VEHIC,"114,355 A",ACTUAL,FRONT END,175 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/79808845/clean-title-2005-jeep-grand-cherokee-laredo-mt-billings,79808845,$1 USD,03/16/2026 10:00 pm GMT+4,2005,JEP,GRAND CHEROKEE,3.7L 6,6,1J4GR48K05C716852,CERTIFICATE OF TITLE,"244,349 X",EXCEEDS MECHANICAL LIMITS,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/79274755/clean-title-2012-subaru-impreza-wrx-mt-billings,79274755,"1,500 USD",03/16/2026 10:00 pm GMT+4,2012,SUBA,IMPREZA,,,JF1GR7E64CG237330,CERTIFICATE OF TITLE,"72,199 A",ACTUAL,MECHANICAL,"2,550 USD",0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/79117655/clean-title-2016-freightliner-m2-box-truck-mt-billings,79117655,$1 USD,03/16/2026 10:00 pm GMT+4,2016,FRHT,M2,,,3ALACWDU7GDHE4162,CERTIFICATE OF TITLE,"124,204 A",ACTUAL,MINOR DENT/SCRATCHES,"1,550 USD",0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/78905534/salvage-2019-hyundai-elantra-se-mt-billings,78905534,"11,610 USD",03/16/2026 10:00 pm GMT+4,2019,HYUN,ELANTRA,2.0L  4,4,5NPD74LF1KH482603,SALVAGE CERTIFICATE OF A VEHIC,"89,079 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/77537055/salvage-2015-ford-edge-sel-mt-billings,77537055,"4,861 USD",03/16/2026 10:00 pm GMT+4,2015,FORD,EDGE,2.0L  4,4,2FMTK3J9XFBB14077,SALVAGE CERTIFICATE OF TITLE,"182,407 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/77228195/salvage-2015-hyundai-accent-gls-mt-billings,77228195,"3,617 USD",03/16/2026 10:00 pm GMT+4,2015,HYUN,ACCENT,1.6L 4,4,KMHCT4AE9FU898603,SALVAGE CERTIFICATE OF TITLE,"138,632 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/76403165/clean-title-2005-dodge-ram-1500-st-mt-billings,76403165,$1 USD,03/16/2026 10:00 pm GMT+4,2005,DODG,RAM 1500,5.7L  8,8,1D7HU18D35S239807,CERTIFICATE OF TITLE,"144,367 E",EXEMPT,HAIL,175 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/76134505/salvage-2015-dodge-durango-limited-mt-billings,76134505,"8,857 USD",03/16/2026 10:00 pm GMT+4,2015,DODG,DURANGO,3.6L 6,6,1C4RDJDG9FC772285,SALVAGE CERTIFICATE OF TITLE,"206,005 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/75770955/salvage-2015-chevrolet-equinox-ls-mt-billings,75770955,"7,704 USD",03/16/2026 10:00 pm GMT+4,2015,CHEV,EQUINOX,2.4L  4,4,1GNALAEK6FZ142943,SALVAGE CERTIFICATE OF TITLE,"111,265 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/75493125/salvage-2023-toyota-tacoma-access-cab-mt-billings,75493125,"32,060 USD",03/16/2026 10:00 pm GMT+4,2023,TOYT,TACOMA,3.5L  6,6,3TYSZ5AN1PT135795,SALVAGE CERTIFICATE OF TITLE,"32,239 A",ACTUAL,REAR END,175 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/75414205/salvage-2022-nissan-sentra-sv-mt-billings,75414205,"14,877 USD",03/16/2026 10:00 pm GMT+4,2022,NISS,SENTRA,2.0L  4,4,3N1AB8CV9NY306666,SALVAGE CERTIFICATE OF TITLE,"45,700 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/75091985/salvage-2016-ford-explorer-xlt-mt-billings,75091985,"16,956 USD",03/16/2026 10:00 pm GMT+4,2016,FORD,EXPLORER,2.3L  4,4,1FM5K8DHXGGD13567,SALVAGE CERTIFICATE OF TITLE,"172,231 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/75008435/clean-title-2010-chevrolet-tahoe-k1500-ltz-mt-billings,75008435,"6,895 USD",03/16/2026 10:00 pm GMT+4,2010,CHEV,TAHOE,5.3L  8,8,1GNUKCE07AR209844,CERTIFICATE OF TITLE,"229,818 E",EXEMPT,SIDE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/74438375/salvage-2020-chevrolet-traverse-lt-mt-billings,74438375,"23,256 USD",03/16/2026 10:00 pm GMT+4,2020,CHEV,TRAVERSE,3.6L  6,6,1GNEVHKW8LJ234075,SALVAGE CERTIFICATE OF TITLE,"70,313 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/73718755/clean-title-2022-ford-f150-mt-billings,73718755,"46,275 USD",03/16/2026 10:00 pm GMT+4,2022,FORD,F150,3.5L  6,6,1FTNF1E87NKD29248,CERTIFICATE OF TITLE,"19,867 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/73693485/salvage-2021-jeep-compass-trailhawk-mt-billings,73693485,"11,547 USD",03/16/2026 10:00 pm GMT+4,2021,JEP,COMPASS,2.4L  4,4,3C4NJDDB8MT598224,SALVAGE CERTIFICATE OF TITLE,"173,124 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/73028015/salvage-2016-jeep-patriot-sport-mt-billings,73028015,"5,215 USD",03/16/2026 10:00 pm GMT+4,2016,JEP,PATRIOT,2.4L  4,4,1C4NJRAB0GD690908,SALVAGE CERTIFICATE OF TITLE,"153,394 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/72394145/clean-title-2010-toyota-corolla-base-mt-billings,72394145,"6,689 USD",03/16/2026 10:00 pm GMT+4,2010,TOYT,COROLLA,1.8L  4,4,JTDBU4EE8AJ070334,CERTIFICATE OF TITLE,"147,693 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/71420675/salvage-2023-mazda-cx-5-preferred-mt-billings,71420675,"23,849 USD",03/16/2026 10:00 pm GMT+4,2023,MAZD,CX-5 PREFERRED,2.5L  4,4,JM3KFBCM1P0185825,SALVAGE CERTIFICATE OF TITLE,"37,805 A",ACTUAL,HAIL,"2,000 USD",0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/68479415/clean-title-2014-chrysler-300-mt-billings,68479415,"6,641 USD",03/16/2026 10:00 pm GMT+4,2014,CHRY,300,3.6L  6,6,2C3CCARG7EH381458,CERTIFICATE OF TITLE,"174,764 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/68357235/salvage-2017-volkswagen-passat-se-mt-billings,68357235,"9,805 USD",03/16/2026 10:00 pm GMT+4,2017,VOLK,PASSAT,1.8L  4,4,1VWBT7A37HC032548,SALVAGE CERTIFICATE OF A VEHIC,"108,229 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/67933785/salvage-2021-subaru-ascent-premium-mt-billings,67933785,"21,090 USD",03/16/2026 10:00 pm GMT+4,2021,SUBA,ASCENT,2.4L 4,4,4S4WMAFD7M3461565,SALVAGE CERTIFICATE OF TITLE,"67,409 A",ACTUAL,HAIL,300 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/63604415/salvage-2012-dodge-ram-3500-st-mt-billings,63604415,"22,086 USD",03/16/2026 10:00 pm GMT+4,2012,DODG,RAM 3500,6.7L  6,6,3C63D3GL8CG188776,SALVAGE CERTIFICATE OF A VEHIC,"166,625 A",ACTUAL,HAIL,225 USD,0 USD,0,MT - BILLINGS,0,N/A,N/A
https://www.copart.com/lot/51794605/clean-title-2012-jeep-wrangler-unlimited-sahara-mt-billings,51794605,$1 USD,03/16/2026 10:00 pm GMT+4,2012,JEP,WRANGLER UNLIMITED,3.6L  6,6,1C4HJWEG1CL140067,CERTIFICATE OF TITLE,"249,415 A",ACTUAL,MINOR DENT/SCRATCHES,"2,200 USD",0 USD,0,MT - BILLINGS,0,N/A,N/A
