Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99483125/salvage-2015-toyota-rav4-le-mt-helena,99483125,"15,018 USD",03/17/2026 10:00 pm GMT+4,2015,TOYT,RAV4,2.5L  4,4,2T3BFREV4FW247557,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/97663645/salvage-2017-gmc-acadia-denali-mt-helena,97663645,"12,440 USD",03/17/2026 10:00 pm GMT+4,2017,GMC,ACADIA,3.6L  6,6,1GKKNXLS4HZ159566,SALVAGE CERTIFICATE OF TITLE,"188,917 A",ACTUAL,SIDE,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/96743075/clean-title-2015-chevrolet-equinox-ls-mt-helena,96743075,$1 USD,03/17/2026 10:00 pm GMT+4,2015,CHEV,EQUINOX,2.4L  4,4,2GNFLEEK1F6159271,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/94672015/clean-title-2009-ford-f150-supercrew-mt-helena,94672015,"5,225 USD",03/17/2026 10:00 pm GMT+4,2009,FORD,F150,5.4L  8,8,1FTPW14V49KC54711,CERTIFICATE OF TITLE,"261,549 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/93274965/salvage-2021-ram-1500-big-hornlone-star-mt-helena,93274965,"32,067 USD",03/17/2026 10:00 pm GMT+4,2021,RAM,1500,5.7L  8,8,1C6SRFFT4MN718153,SALVAGE CERTIFICATE OF A VEHIC,"58,553 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/91741915/salvage-2023-vanguard-trailer-mt-helena,91741915,"29,673 USD",03/17/2026 10:00 pm GMT+4,2023,VYVC,TRAILER,,,5V8VC5325PM311706,SALVAGE CERTIFICATE OF A VEHIC,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/89494055/salvage-2019-chevrolet-silverado-k2500-heavy-duty-mt-helena,89494055,"28,488 USD",03/17/2026 10:00 pm GMT+4,2019,CHEV,SILVERADO,6.0L  8,8,2GC2KREG6K1158217,SALVAGE CERTIFICATE OF TITLE,"84,621 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/81121675/salvage-2022-ram-2500-tradesman-mt-helena,81121675,"44,214 USD",03/17/2026 10:00 pm GMT+4,2022,RAM,2500,6.7L  6,6,3C6UR5CL0NG271967,SALVAGE CERTIFICATE OF TITLE,"32,187 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/78361965/salvage-2016-toyota-tacoma-access-cab-mt-helena,78361965,"14,883 USD",03/17/2026 10:00 pm GMT+4,2016,TOYT,TACOMA,3.5L  6,6,5TFSZ5AN7GX001430,SALVAGE CERTIFICATE OF TITLE,"186,817 A",ACTUAL,REAR END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/78275295/clean-title-2013-lexus-rx-350-base-mt-helena,78275295,"9,410 USD",03/17/2026 10:00 pm GMT+4,2013,LEXS,RX,3.5L  6,6,2T2BK1BA8DC180303,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/74696155/clean-title-2015-land-rover-range-rover-supercharged-mt-helena,74696155,"14,600 USD",03/17/2026 10:00 pm GMT+4,2015,LAND,RANGE ROVER,5.0L  8,8,SALGS2TF1FA242473,CERTIFICATE OF TITLE,"86,348 A",ACTUAL,NORMAL WEAR,"2,050 USD",0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/74499785/salvage-2013-cadillac-xts-mt-helena,74499785,"7,470 USD",03/17/2026 10:00 pm GMT+4,2013,CADI,XTS,3.6L  6,6,2G61P5S37D9177485,CERT OF TITLE -REBUILT SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/72688525/salvage-2014-subaru-legacy-2-5i-premium-mt-helena,72688525,"7,417 USD",03/17/2026 10:00 pm GMT+4,2014,SUBA,LEGACY,2.5L  4,4,4S3BMBC63E3035744,SALVAGE CERTIFICATE OF TITLE,"141,939 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
