Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99574855/salvage-2015-kia-optima-lx-nc-china-grove,99574855,"7,547 USD",03/16/2026 06:00 pm GMT+4,2015,KIA,OPTIMA,2.4L  4,4,5XXGM4A76FG395749,SALVAGE CERTIFICATE OF TITLE,"104,974 A",ACTUAL,FRONT END,0 USD,0 USD,15,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/99420915/salvage-2018-jeep-grand-cherokee-laredo-nc-china-grove,99420915,"17,663 USD",03/16/2026 06:00 pm GMT+4,2018,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJEAG8JC125955,SALVAGE CERTIFICATE OF TITLE,"65,508 A",ACTUAL,REAR END,0 USD,0 USD,31,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/99090055/clean-title-2025-portable-2-clamp-frame-puller-frame-straightener-+-air-jack-+-pull-back-hydraulic-ram-nc-china-grove,99090055,$1 USD,03/16/2026 06:00 pm GMT+4,2025,OTEH,OTHER,,,3811194,DLR ONLY BILL OF SALE,1 A,ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98870705/clean-title-1997-chevrolet-gmt-400-c2500-nc-china-grove,98870705,"6,226 USD",03/16/2026 06:00 pm GMT+4,1997,CHEV,GMT-400,6.5L  8,8,1GBGC24F8VZ119308,DEALER ONLY CLEAN TITLE,"252,160 A",ACTUAL,STRIPPED,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98857505/clean-title-2025-mini-skid-steer-with-tracks-nc-china-grove,98857505,$1 USD,03/16/2026 06:00 pm GMT+4,2025,OTEH,OTHER,,,3810442,DLR ONLY BILL OF SALE,1 A,ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98852665/clean-title-2025-portable-scissor-car-lift-mid-rise-mechanic-lift-nc-china-grove,98852665,$1 USD,03/16/2026 06:00 pm GMT+4,2025,OTEH,OTHER,,,38911418,DLR ONLY BILL OF SALE,1 A,ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98848445/clean-title-2025-2-towerpost-frame-machine-+-pusher-nc-china-grove,98848445,$1 USD,03/16/2026 06:00 pm GMT+4,2025,OTEH,OTHER,,,3811107,DLR ONLY BILL OF SALE,1 A,ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98846355/clean-title-2025-2-towerpost-frame-machine-+-pusher-nc-china-grove,98846355,$1 USD,03/16/2026 06:00 pm GMT+4,2025,OTEH,OTHER,,,38912077,DLR ONLY BILL OF SALE,1 A,ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98799345/salvage-2019-kia-sorento-sx-nc-china-grove,98799345,"13,336 USD",03/16/2026 06:00 pm GMT+4,2019,KIA,SORENTO,3.3L  6,6,5XYPK4A52KG546614,SALVAGE CERTIFICATE OF TITLE,"93,323 A",ACTUAL,FRONT END,0 USD,0 USD,0,NC - CHINA GROVE,0,N/A,N/A
https://www.copart.com/lot/98682475/salvage-2022-toyota-corolla-hybrid-le-nc-china-grove,98682475,"18,670 USD",03/16/2026 06:00 pm GMT+4,2022,TOYT,COROLLA HYBRID,1.8L  4,4,JTDEAMDE6NJ055960,SALVAGE CERTIFICATE OF TITLE,"45,839 A",ACTUAL,REAR END,0 USD,0 USD,1106,NC - CHINA GROVE,0,N/A,N/A
