Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98441185/salvage-2010-toyota-camry-base-nd-bismarck,98441185,"4,514 USD",03/16/2026 11:00 pm GMT+4,2010,TOYT,CAMRY,2.5L  4,4,4T4BF3EK4AR056909,CERT OF TITLE - SALVAGE VEHICL,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/97221655/salvage-2014-jeep-patriot-latitude-nd-bismarck,97221655,"5,696 USD",03/16/2026 11:00 pm GMT+4,2014,JEP,PATRIOT,2.4L  4,4,1C4NJRFB3ED762898,CERT OF TITLE-PRIOR SALVAGE,"134,839 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/96510795/salvage-2018-nissan-maxima-3-5s-nd-bismarck,96510795,"18,989 USD",03/16/2026 11:00 pm GMT+4,2018,NISS,MAXIMA,3.5L  6,6,1N4AA6AP6JC402658,CERT OF TITLE-SALVAGE,"61,860 A",ACTUAL,FRONT END,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/95447775/salvage-2017-chevrolet-colorado-lt-nd-bismarck,95447775,"19,983 USD",03/16/2026 11:00 pm GMT+4,2017,CHEV,COLORADO,3.6L  6,6,1GCGTCEN9H1315056,CERT OF TITLE-SALVAGE,"53,083 A",ACTUAL,FRONT END,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/95275475/salvage-2020-chrysler-pacifica-touring-l-nd-bismarck,95275475,"15,856 USD",03/16/2026 11:00 pm GMT+4,2020,CHRY,PACIFICA,3.6L  6,6,2C4RC1BG6LR216783,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/92950465/clean-title-2016-kenworth-t680-semi-truck-nd-bismarck,92950465,"40,879 USD",03/16/2026 11:00 pm GMT+4,2016,KW,T680,15.0L  6,6,1XKYA48X8GJ496344,CERTIFICATE OF TITLE,"590,469 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/91722965/salvage-2012-subaru-forester-touring-nd-bismarck,91722965,"11,517 USD",03/16/2026 11:00 pm GMT+4,2012,SUBA,FORESTER,2.5L  4,4,JF2SHBGC5CH437805,CERT OF TITLE - SALVAGE VEHICL,"57,638 A",ACTUAL,FRONT END,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/91486785/clean-title-2018-forest-riv-tracer-nd-bismarck,91486785,$1 USD,03/16/2026 11:00 pm GMT+4,2018,FOER,TRACER,,,5ZT2TRNB5JB513117,CERTIFICATE OF TITLE FOR A VEH,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/79529615/salvage-2003-bmw-x5-nd-bismarck,79529615,"3,480 USD",03/16/2026 11:00 pm GMT+4,2003,BMW,X5,,,5UXFA53543LW26406,SALVAGE PREVIOUSLY BRANDED,"91,013 E",EXEMPT,MECHANICAL,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/79488425/clean-title-2014-bmw-x1-xdrive35i-nd-bismarck,79488425,"3,800 USD",03/16/2026 11:00 pm GMT+4,2014,BMW,X1,3.0L 6,6,WBAVM5C53EVV93228,CERT OF TITLE,"111,968 A",ACTUAL,MINOR DENT/SCRATCHES,90 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/78919975/salvage-1995-cadillac-seville-sls-nd-bismarck,78919975,$1 USD,03/16/2026 11:00 pm GMT+4,1995,CADI,SEVILLE,4.6L 8,8,1G6KS52Y1SU831881,SALVAGE PREVIOUSLY BRANDED,"171,470 E",EXEMPT,FRONT END,90 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/78385225/clean-title-2015-jeep-grand-cherokee-laredo-nd-bismarck,78385225,"4,300 USD",03/16/2026 11:00 pm GMT+4,2015,JEP,GRAND CHEROKEE,3.6L 6,6,1C4RJFAG6FC864917,CERTIFICATE OF TITLE FOR A VEH,"217,477 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
https://www.copart.com/lot/77208615/salvage-2018-nissan-altima-2-5-nd-bismarck,77208615,"12,500 USD",03/16/2026 11:00 pm GMT+4,2018,NISS,ALTIMA,2.5L  4,4,1N4AL3AP4JC143760,CERT OF TITLE-SALVAGE,"95,086 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,ND - BISMARCK,0,N/A,N/A
