Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99768105/salvage-2019-alfa-romeo-giulia-quadrifoglio-nj-trenton,99768105,"42,966 USD",03/16/2026 06:00 pm GMT+4,2019,ALFA,GIULIA,2.9L  6,6,ZARFAMEV6K7607345,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/99405865/salvage-2004-honda-accord-lx-nj-trenton,99405865,"3,326 USD",03/16/2026 06:00 pm GMT+4,2004,HOND,ACCORD,2.4L  4,4,1HGCM564X4A161031,CERT OF TITLE-SALVAGE,"173,347 A",ACTUAL,FRONT END,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/99078505/salvage-2023-volkswagen-jetta-sport-nj-trenton,99078505,"13,991 USD",03/16/2026 06:00 pm GMT+4,2023,VOLK,JETTA,1.5L  4,4,3VWBM7BU2PM024858,CERT OF TITLE-SALVAGE,"58,817 A",ACTUAL,FRONT END,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/98964495/salvage-2018-jeep-renegade-limited-nj-trenton,98964495,"15,363 USD",03/16/2026 06:00 pm GMT+4,2018,JEP,RENEGADE,2.4L  4,4,ZACCJBDB2JPH36130,CERT OF TITLE-SALVAGE,"44,234 A",ACTUAL,FRONT END,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/98643065/salvage-2025-tesla-model-3-nj-trenton,98643065,"47,000 USD",03/16/2026 06:00 pm GMT+4,2025,TESL,MODEL 3,,,5YJ3E1ET0SF062994,CERT OF TITLE-SALVAGE,"3,857 A",ACTUAL,REAR END,250 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/98231575/salvage-2024-tesla-model-y-nj-trenton,98231575,"34,452 USD",03/16/2026 06:00 pm GMT+4,2024,TESL,MODEL Y,, ,7SAYGDEEXRA324999,CERT OF TITLE-SALVAGE,"17,189 A",ACTUAL,FRONT END,575 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/97423445/salvage-2004-chevrolet-silverado-c1500-nj-trenton,97423445,"5,854 USD",03/16/2026 06:00 pm GMT+4,2004,CHEV,SILVERADO,4.8L  8,8,1GCEC19V94E371359,CERT OF TITLE-SALVAGE,"182,215 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/96501655/salvage-2021-toyota-rav4-xle-nj-trenton,96501655,"27,099 USD",03/16/2026 06:00 pm GMT+4,2021,TOYT,RAV4,2.5L  4,4,2T3R6RFV1MW016660,SALVAGE CERTIFICATE OF TITLE,"51,891 A",ACTUAL,FRONT END,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/96149195/salvage-2019-hyundai-santa-fe-sel-nj-trenton,96149195,"12,763 USD",03/16/2026 06:00 pm GMT+4,2019,HYUN,SANTA FE,2.4L  4,4,5NMS3CAD3KH004226,CERT OF TITLE-SALVAGE,"115,749 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/96143005/salvage-2017-ford-fusion-se-nj-trenton,96143005,"10,834 USD",03/16/2026 06:00 pm GMT+4,2017,FORD,FUSION,2.5L  4,4,3FA6P0H72HR225464,SALVAGE CERTIFICATE OF TITLE,"57,058 A",ACTUAL,SIDE,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/95002505/salvage-2014-subaru-impreza-nj-trenton,95002505,"4,677 USD",03/16/2026 06:00 pm GMT+4,2014,SUBA,IMPREZA,2.0L  4,4,JF1GPAA65EG306134,CERT OF TITLE-SALVAGE,"130,791 A",ACTUAL,FRONT END,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/94467475/clean-title-2013-dodge-journey-sxt-nj-trenton,94467475,"9,700 USD",03/16/2026 06:00 pm GMT+4,2013,DODG,JOURNEY,3.6L  6,6,3C4PDDBG6DT622549,CERT OF TITLE-REBUILT,"184,092 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
