Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98211585/clean-title-2017-infiniti-qx60-nv-las-vegas-west,98211585,$1 USD,03/16/2026 11:00 pm GMT+4,2017,INFI,QX60,3.5L  6,6,5N1DL0MN4HC515314,CERTIFICATE OF TITLE,"141,082 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/96974165/clean-title-1970-cadillac-deville-nv-las-vegas-west,96974165,"11,200 USD",03/16/2026 11:00 pm GMT+4,1970,CADI,DEVILLE,,,B0257347,CERTIFICATE OF TITLE,"86,123 E",EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/96329155/salvage-2018-ford-f150-raptor-nv-las-vegas-west,96329155,"41,781 USD",03/16/2026 11:00 pm GMT+4,2018,FORD,F150,3.5L  6,6,1FTEX1RG3JFA18434,SALVAGE TITLE,"50,398 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/94797555/clean-title-2017-jaguar-f-pace-premium-nv-las-vegas-west,94797555,"11,025 USD",03/16/2026 11:00 pm GMT+4,2017,JAGU,F-PACE,3.0L  6,6,SADCJ2BV2HA895645,CERTIFICATE OF TITLE,"96,667 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/93787245/salvage-2012-mazda-6-i-nv-las-vegas-west,93787245,$1 USD,03/16/2026 11:00 pm GMT+4,2012,MAZD,6,2.5L  4,4,1YVHZ8DH7C5M39706,SALVAGE CERTIFICATE,"137,717 A",ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/93224225/salvage-2018-toyota-corolla-im-nv-las-vegas-west,93224225,"11,702 USD",03/16/2026 11:00 pm GMT+4,2018,TOYT,COROLLA IM,1.8L  4,4,JTNKARJE0JJ561052,SALVAGE CERTIFICATE,"94,694 A",ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/90673335/2022-volvo-vnl-semi-truck-nv-las-vegas-west,90673335,"62,026 USD",03/16/2026 11:00 pm GMT+4,2022,VOLV,VN VNL,12.8L  6,6,4V4NC9EJ4NN298554,NON-REPAIRABLE VEHICLE CERT,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/90542575/clean-title-2016-jaguar-xf-prestige-nv-las-vegas-west,90542575,$1 USD,03/16/2026 11:00 pm GMT+4,2016,JAGU,XF,3.0L  6,6,SAJBE4BV8GCY13557,CERTIFICATE OF TITLE,"98,272 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/89502845/clean-title-2017-jaguar-xe-premium-nv-las-vegas-west,89502845,$1 USD,03/16/2026 11:00 pm GMT+4,2017,JAGU,XE,3.0L  6,6,SAJAJ4BV8HCP14987,CERTIFICATE OF TITLE,"94,055 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/86275005/salvage-2020-dodge-charger-gt-nv-las-vegas-west,86275005,"13,680 USD",03/16/2026 11:00 pm GMT+4,2020,DODG,CHARGER,3.6L  6,6,2C3CDXHG4LH122781,SALVAGE TITLE,"140,364 A",ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/82781595/salvage-2015-toyota-tacoma-double-cab-prerunner-nv-las-vegas-west,82781595,"14,835 USD",03/16/2026 11:00 pm GMT+4,2015,TOYT,TACOMA,4.0L  6,6,3TMJU4GN7FM188474,SALVAGE TITLE,"174,316 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/80893045/clean-title-2016-audi-q3-premium-plus-nv-las-vegas-west,80893045,$1 USD,03/16/2026 11:00 pm GMT+4,2016,AUDI,Q3,2.0L  4,4,WA1EFCFS0GR010011,CERTIFICATE OF TITLE,"151,312 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/79843015/clean-title-2011-mercedes-benz-e-550-nv-las-vegas-west,79843015,"1,371 USD",03/16/2026 11:00 pm GMT+4,2011,MERZ,E,5.5L 8,8,WDDHF7CB3BA399478,CERT OF TITLE-REBUILT TOTAL LO,"121,614 A",ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/79658315/clean-title-2007-toyota-camry-nv-las-vegas-west,79658315,"5,258 USD",03/16/2026 11:00 pm GMT+4,2007,TOYT,CAMRY,3.5L 6,6,JTNBK46KX73023180,CERTIFICATE OF TITLE,"121,904 E",EXEMPT,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/79455625/clean-title-2004-honda-cr-v-lx-nv-las-vegas-west,79455625,"3,958 USD",03/16/2026 11:00 pm GMT+4,2004,HOND,CR-V,2.4L 4,4,JHLRD78414C041711,CERTIFICATE OF TITLE,"263,955 E",EXEMPT,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/79128675/clean-title-2012-mercedes-benz-c-250-nv-las-vegas-west,79128675,$1 USD,03/16/2026 11:00 pm GMT+4,2012,MERZ,C,1.8L 4,4,WDDGF4HB2CA615843,CERTIFICATE OF TITLE,"137,202 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/79126145/clean-title-2016-kia-sorento-lx-nv-las-vegas-west,79126145,"8,258 USD",03/16/2026 11:00 pm GMT+4,2016,KIA,SORENTO,2.4L 4,4,5XYPG4A38GG066830,CERTIFICATE OF TITLE,"91,351 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/78450145/salvage-2018-mazda-6-touring-nv-las-vegas-west,78450145,"12,072 USD",03/16/2026 11:00 pm GMT+4,2018,MAZD,6,2.5L 4,4,JM1GL1VM4J1333045,DEALER ONLY SALVAGE TITLE,"90,113 A",ACTUAL,SIDE,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/78268925/clean-title-2014-ford-flex-limited-nv-las-vegas-west,78268925,$1 USD,03/16/2026 11:00 pm GMT+4,2014,FORD,FLEX,3.5L  6,6,2FMGK5D87EBD22870,CERTIFICATE OF TITLE,"275,296 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/78135385/salvage-2007-nissan-altima-2-5-nv-las-vegas-west,78135385,"4,869 USD",03/16/2026 11:00 pm GMT+4,2007,NISS,ALTIMA,2.5L  4,4,1N4AL21EX7N407442,SALVAGE TITLE,"132,713 E",EXEMPT,REAR END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77851875/clean-title-2021-nissan-altima-s-nv-las-vegas-west,77851875,"16,200 USD",03/16/2026 11:00 pm GMT+4,2021,NISS,ALTIMA,2.5L  4,4,1N4BL4BV6MN367547,CERTIFICATE OF TITLE,"94,382 A",ACTUAL,REAR END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77837235/clean-title-2005-lexus-rx-330-nv-las-vegas-west,77837235,"1,093 USD",03/16/2026 11:00 pm GMT+4,2005,LEXS,RX,3.3L  6,6,JTJGA31U050051775,CERTIFICATE OF TITLE,"232,588 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77832435/clean-title-2003-mercedes-benz-sl-500r-nv-las-vegas-west,77832435,"2,400 USD",03/16/2026 11:00 pm GMT+4,2003,MERZ,SL,5.0L  8,8,WDBSK75FX3F006929,CERTIFICATE OF TITLE,"110,557 E",EXEMPT,MINOR DENT/SCRATCHES,150 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77763205/clean-title-2017-maserati-ghibli-nv-las-vegas-west,77763205,$1 USD,03/16/2026 11:00 pm GMT+4,2017,MASE,GHIBLI,3.0L  6,6,ZAM57XSA0H1238142,CERTIFICATE OF TITLE (P),"96,132 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77757895/clean-title-2018-chrysler-pacifica-limited-nv-las-vegas-west,77757895,"14,300 USD",03/16/2026 11:00 pm GMT+4,2018,CHRY,PACIFICA,3.6L  6,6,2C4RC1GG9JR246012,CERTIFICATE OF TITLE (P),"143,480 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77756595/clean-title-2019-bmw-x3-sdrive30i-nv-las-vegas-west,77756595,"15,875 USD",03/16/2026 11:00 pm GMT+4,2019,BMW,X3,2.0L  4,4,5UXTR7C59KLE97586,CERTIFICATE OF TITLE (P),"148,575 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77677695/clean-title-2008-toyota-camry-ce-nv-las-vegas-west,77677695,$1 USD,03/16/2026 11:00 pm GMT+4,2008,TOYT,CAMRY,2.4L  4,4,4T1BE46K88U239841,CERTIFICATE OF TITLE,"204,200 E",EXEMPT,MECHANICAL,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77571325/clean-title-2016-volvo-xc90-t6-nv-las-vegas-west,77571325,"13,275 USD",03/16/2026 11:00 pm GMT+4,2016,VOLV,XC90,2.0L  4,4,YV4A22PL3G1024353,CERTIFICATE OF TITLE (P),"137,692 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77568365/clean-title-2017-mercedes-benz-gls-450-4matic-nv-las-vegas-west,77568365,"20,125 USD",03/16/2026 11:00 pm GMT+4,2017,MERZ,GLS,3.0L  6,6,4JGDF6EE4HA942951,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/77407625/salvage-2009-nissan-versa-1-8-s-nv-las-vegas-west,77407625,"1,772 USD",03/16/2026 11:00 pm GMT+4,2009,NISS,VERSA,1.8L  4,4,3N1BC11E59L445045,SALVAGE TITLE,"238,138 E",EXEMPT,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/76997015/salvage-2014-nissan-sentra-s-nv-las-vegas-west,76997015,"3,646 USD",03/16/2026 11:00 pm GMT+4,2014,NISS,SENTRA,1.8L  4,4,3N1AB7APXEL693403,SALVAGE TITLE,"175,081 A",ACTUAL,REAR END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
https://www.copart.com/lot/76981975/salvage-2014-chevrolet-equinox-ltz-nv-las-vegas-west,76981975,"7,731 USD",03/16/2026 11:00 pm GMT+4,2014,CHEV,EQUINOX,3.6L  6,6,2GNFLHE3XE6161805,SALVAGE TITLE,"141,962 A",ACTUAL,FRONT END,0 USD,0 USD,0,NV - LAS VEGAS WEST,0,N/A,N/A
