Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99939855/salvage-2025-jeep-compass-latitude-oh-cleveland-west,99939855,$1 USD,03/16/2026 06:00 pm GMT+4,2025,JEP,COMPASS,2.0L  4,4,3C4NJDBN7ST617713,CERT OF TITLE SLVG REBUILDABLE,"7,796 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/98917985/clean-title-2017-lincoln-mkc-reserve-oh-cleveland-west,98917985,$1 USD,03/16/2026 06:00 pm GMT+4,2017,LINC,MKC,2.0L  4,4,5LMCJ3C95HUL16691,CERT OF TITLE-SALVAGE REBUILT,"100,130 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/97527595/clean-title-2016-acura-tlx-advance-oh-cleveland-west,97527595,$1 USD,03/16/2026 06:00 pm GMT+4,2016,ACUR,TLX,3.5L  6,6,19UUB2F74GA002416,CERT OF TITLE-REPOSSESSION,"187,510 A",ACTUAL,FRONT END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/96914215/salvage-2017-gmc-savana-g2500-oh-cleveland-west,96914215,"6,926 USD",03/16/2026 06:00 pm GMT+4,2017,GMC,SAVANA,4.8L  8,8,1GTW7AFF9H1145387,DEALER ONLY SALVAGE TITLE,"336,027 A",ACTUAL,FRONT END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/95693475/clean-title-2023-kia-seltos-lx-oh-cleveland-west,95693475,$1 USD,03/16/2026 06:00 pm GMT+4,2023,KIA,SELTOS,2.0L  4,4,KNDEPCAAXP7392013,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/92324965/2023-chevrolet-trailblazer-lt-oh-cleveland-west,92324965,"19,935 USD",03/16/2026 06:00 pm GMT+4,2023,CHEV,TRAILBLAZER,1.3L  3,3,KL79MRSL1PB154607,SCRAP CERTIFICATE OF TITLE,"39,988 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/86231655/salvage-2006-ford-econoline-e250-van-oh-cleveland-west,86231655,"5,840 USD",03/16/2026 06:00 pm GMT+4,2006,FORD,ECONOLINE,4.6L  8,8,1FTNS24W66HA50356,DEALER ONLY SALVAGE TITLE,"304,721 A",ACTUAL,FRONT END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/79642185/clean-title-2008-ford-explorer-sport-trac-xlt-oh-cleveland-west,79642185,$1 USD,03/16/2026 06:00 pm GMT+4,2008,FORD,EXPLORER SPORT TRAC,4.6L 8,8,1FMEU31878UA56078,CERTIFICATE OF TITLE,"173,708 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/79229905/salvage-2012-nissan-rogue-s-oh-cleveland-west,79229905,"6,888 USD",03/16/2026 06:00 pm GMT+4,2012,NISS,ROGUE,2.5L 4,4,JN8AS5MV3CW703583,CERT OF TITLE-SALVAGE,"58,982 A",ACTUAL,REAR END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
https://www.copart.com/lot/78616335/salvage-2016-kia-forte-lx-oh-cleveland-west,78616335,"3,893 USD",03/16/2026 06:00 pm GMT+4,2016,KIA,FORTE,1.8L  4,4,KNAFK4A60G5478251,CERT OF TITLE-SALVAGE,"132,443 A",ACTUAL,FRONT END,0 USD,0 USD,0,OH - CLEVELAND WEST,0,N/A,N/A
