Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99927465/salvage-1995-nissan-pathfinder-le-or-eugene,99927465,"5,093 USD",03/17/2026 11:00 pm GMT+4,1995,NISS,PATHFINDER,3.0L  6,6,JN8HD17Y6SW095743,SALVAGE TITLE CERTIFICATE,"162,669 E",EXEMPT,FRONT END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/99625035/salvage-2024-subaru-outback-premium-or-eugene,99625035,"26,251 USD",03/17/2026 11:00 pm GMT+4,2024,SUBA,OUTBACK,2.5L  4,4,4S4BTAFC3R3289017,SALVAGE TITLE CERTIFICATE,"25,966 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/99603875/salvage-2010-chevrolet-malibu-2lt-or-eugene,99603875,"3,158 USD",03/17/2026 11:00 pm GMT+4,2010,CHEV,MALIBU,2.4L  4,4,1G1ZD5EB9AF155091,SALVAGE TITLE CERTIFICATE,"244,340 E",EXEMPT,SIDE,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/99572065/salvage-2022-kia-seltos-ex-or-eugene,99572065,"21,542 USD",03/17/2026 11:00 pm GMT+4,2022,KIA,SELTOS,2.0L  4,4,KNDERCAA7N7298520,SALVAGE TITLE CERTIFICATE,"17,049 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/99544275/salvage-2010-volkswagen-jetta-se-or-eugene,99544275,"3,808 USD",03/17/2026 11:00 pm GMT+4,2010,VOLK,JETTA,2.5L  5,5,3VWPZ7AJ8AM706360,SALVAGE TITLE CERTIFICATE,"149,151 E",EXEMPT,FRONT END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/99356295/salvage-2017-audi-q3-prestige-or-eugene,99356295,"16,582 USD",03/17/2026 11:00 pm GMT+4,2017,AUDI,Q3,2.0L  4,4,WA1GCCFS7HR015497,SALVAGE TITLE CERTIFICATE,"62,413 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/99355235/salvage-2015-toyota-tundra-double-cab-sr-or-eugene,99355235,"22,059 USD",03/17/2026 11:00 pm GMT+4,2015,TOYT,TUNDRA,4.6L  8,8,5TFUM5F15FX059516,SALVAGE TITLE CERTIFICATE,"70,756 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/98409465/salvage-2016-subaru-forester-2-5i-premium-or-eugene,98409465,"9,832 USD",03/17/2026 11:00 pm GMT+4,2016,SUBA,FORESTER,2.5L  4,4,JF2SJADC4GH560262,SALVAGE TITLE CERTIFICATE,"166,084 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/98173265/salvage-2018-nissan-versa-s-or-eugene,98173265,"5,959 USD",03/17/2026 11:00 pm GMT+4,2018,NISS,VERSA,1.6L  4,4,3N1CN7AP5JL855769,SALVAGE TITLE CERTIFICATE,"101,802 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
https://www.copart.com/lot/98092455/salvage-2019-nissan-versa-s-or-eugene,98092455,"10,105 USD",03/17/2026 11:00 pm GMT+4,2019,NISS,VERSA,1.6L  4,4,3N1CN7AP4KL871334,SALVAGE TITLE CERTIFICATE,"77,060 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,OR - EUGENE,0,N/A,N/A
