Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98851255/salvage-2021-toyota-rav4-trd-off-road-or-portland-north,98851255,"29,854 USD",03/16/2026 11:00 pm GMT+4,2021,TOYT,RAV4,2.5L  4,4,2T3S1RFV8MW243764,SALVAGE TITLE CERTIFICATE,"37,069 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/98725485/salvage-2025-subaru-crosstrek-premium-or-portland-north,98725485,"28,393 USD",03/16/2026 11:00 pm GMT+4,2025,SUBA,CROSSTREK,2.5L  4,4,JF2GUHDC9S8333146,SALVAGE TITLE CERTIFICATE,"1,600 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/98653855/salvage-2025-kia-k5-gt-line-or-portland-north,98653855,"29,651 USD",03/16/2026 11:00 pm GMT+4,2025,KIA,K5,2.5L  4,4,KNAG64J78S5374469,SALVAGE TITLE CERTIFICATE,"7,198 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/96346875/salvage-2022-bmw-x2-xdrive28i-or-portland-north,96346875,"19,480 USD",03/16/2026 11:00 pm GMT+4,2022,BMW,X2,2.0L  4,4,WBXYJ1C02N5U12032,SALVAGE TITLE CERTIFICATE,"76,263 A",ACTUAL,SIDE,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/92746145/clean-title-2013-mercedes-benz-ml-350-bluetec-or-portland-north,92746145,$1 USD,03/16/2026 11:00 pm GMT+4,2013,MERZ,ML,3.0L  6,6,4JGDA2EB9DA160510,CERTIFICATE OF TITLE,"166,551 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/92121825/salvage-2016-chevrolet-equinox-ls-or-portland-north,92121825,"9,627 USD",03/16/2026 11:00 pm GMT+4,2016,CHEV,EQUINOX,2.4L  4,4,2GNFLEEK3G6274861,CERT OF TITLE - SALVAGE,"131,294 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/90250945/clean-title-2019-audi-e-tron-prestige-or-portland-north,90250945,"21,550 USD",03/16/2026 11:00 pm GMT+4,2019,AUDI,E-TRON,,,WA1VAAGE4KB011224,CERTIFICATE OF TITLE,"51,607 A",ACTUAL,SIDE,200 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/79630135/clean-title-2000-nissan-frontier-xe-v6-or-portland-north,79630135,"4,458 USD",03/16/2026 11:00 pm GMT+4,2000,NISS,FRONTIER,3.3L 6,6,1N6ED26Y1YC369766,CERTIFICATE OF TITLE,"163,369 E",EXEMPT,FRONT END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/79076815/salvage-2013-toyota-rav4-limited-or-portland-north,79076815,"8,332 USD",03/16/2026 11:00 pm GMT+4,2013,TOYT,RAV4,2.5L 4,4,2T3DFREV0DW124070,SALVAGE TITLE CERTIFICATE,"182,948 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
https://www.copart.com/lot/79034055/salvage-2014-honda-cr-v-ex-or-portland-north,79034055,"8,980 USD",03/16/2026 11:00 pm GMT+4,2014,HOND,CR-V,2.4L 4,4,5J6RM4H57EL050347,SALVAGE TITLE CERTIFICATE,"146,826 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND NORTH,0,N/A,N/A
