Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99909005/salvage-2019-honda-cr-v-exl-or-portland-south,99909005,"16,715 USD",03/16/2026 11:00 pm GMT+4,2019,HOND,CR-V,1.5L  4,4,5J6RW2H89KL024742,SALVAGE TITLE CERTIFICATE,"147,760 A",ACTUAL,SIDE,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/99906265/salvage-2015-hyundai-elantra-se-or-portland-south,99906265,"4,508 USD",03/16/2026 11:00 pm GMT+4,2015,HYUN,ELANTRA,1.8L  4,4,KMHDH4AE9FU331510,SALVAGE TITLE CERTIFICATE,"113,442 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/99738545/salvage-2007-honda-cr-v-exl-or-portland-south,99738545,"9,282 USD",03/16/2026 11:00 pm GMT+4,2007,HOND,CR-V,2.4L  4,4,JHLRE48757C118770,SALVAGE TITLE CERTIFICATE,"107,038 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/99346505/salvage-1989-chevrolet-gmt-400-c1500-or-portland-south,99346505,"5,777 USD",03/16/2026 11:00 pm GMT+4,1989,CHEV,GMT-400,5.0L  8,8,2GCEC14H8K1175400,SALVAGE TITLE CERTIFICATE,"211,585 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/99309555/salvage-2021-nissan-leaf-sv-or-portland-south,99309555,"12,705 USD",03/16/2026 11:00 pm GMT+4,2021,NISS,LEAF,U,U,1N4AZ1CV8MC550015,SALVAGE TITLE CERTIFICATE,"53,872 A",ACTUAL,SIDE,125 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98913435/salvage-2020-audi-q3-prestige-s-line-or-portland-south,98913435,"24,716 USD",03/16/2026 11:00 pm GMT+4,2020,AUDI,Q3,2.0L  4,4,WA1FECF30L1087793,SALVAGE TITLE CERTIFICATE,"52,387 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98846335/salvage-2024-land-rover-defender-110-s-or-portland-south,98846335,"53,926 USD",03/16/2026 11:00 pm GMT+4,2024,LAND,DEFENDER,2.0L 4,4,SALEJ7EX9R2339805,SALVAGE TITLE CERTIFICATE,"22,248 A",ACTUAL,WATER/FLOOD,125 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98814185/salvage-2017-volkswagen-tiguan-wolfsburg-or-portland-south,98814185,"8,400 USD",03/16/2026 11:00 pm GMT+4,2017,VOLK,TIGUAN,2.0L  4,4,WVGRV7AX4HW506450,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98764415/salvage-2019-ford-expedition-limited-or-portland-south,98764415,"34,000 USD",03/16/2026 11:00 pm GMT+4,2019,FORD,EXPEDITION,3.5L  6,6,1FMJU2AT3KEA04400,SALVAGE TITLE CERTIFICATE,"83,602 A",ACTUAL,FRONT END,125 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98662805/salvage-2002-toyota-corolla-ce-or-portland-south,98662805,"3,412 USD",03/16/2026 11:00 pm GMT+4,2002,TOYT,COROLLA,1.8L  4,4,1NXBR12E02Z622778,SALVAGE TITLE CERTIFICATE,"210,994 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98535965/salvage-2012-chevrolet-silverado-k1500-lt-or-portland-south,98535965,"6,483 USD",03/16/2026 11:00 pm GMT+4,2012,CHEV,SILVERADO,5.3L  8,8,3GCPKSE75CG240820,SALVAGE TITLE CERTIFICATE,"301,692 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98325115/salvage-2018-toyota-corolla-l-or-portland-south,98325115,"12,900 USD",03/16/2026 11:00 pm GMT+4,2018,TOYT,COROLLA,1.8L  4,4,2T1BURHE8JC089843,SALVAGE TITLE CERTIFICATE,"110,742 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/98072265/salvage-2018-volkswagen-atlas-s-or-portland-south,98072265,"10,466 USD",03/16/2026 11:00 pm GMT+4,2018,VOLK,ATLAS,3.6L  6,6,1V2GR2CA6JC557062,SALVAGE TITLE CERTIFICATE,"111,120 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/97541885/salvage-2013-ford-f150-supercrew-or-portland-south,97541885,"8,470 USD",03/16/2026 11:00 pm GMT+4,2013,FORD,F150,3.5L  6,6,1FTFW1ETXDKE22904,SALVAGE TITLE CERTIFICATE,"205,795 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/96768665/salvage-2013-toyota-prius-c-or-portland-south,96768665,"3,117 USD",03/16/2026 11:00 pm GMT+4,2013,TOYT,PRIUS C,1.5L  4,4,JTDKDTB35D1536089,SALVAGE TITLE CERTIFICATE,"323,251 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/96617325/salvage-2023-hyundai-ioniq-5-se-or-portland-south,96617325,"23,063 USD",03/16/2026 11:00 pm GMT+4,2023,HYUN,IONIQ 5,,,KM8KMDAF5PU214360,SALVAGE TITLE CERTIFICATE,"26,233 A",ACTUAL,SIDE,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/96614795/salvage-2022-ford-f150-supercrew-or-portland-south,96614795,"40,798 USD",03/16/2026 11:00 pm GMT+4,2022,FORD,F150,3.5L  6,6,1FTFW1E83NFB29044,SALVAGE TITLE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/96118655/salvage-2012-ford-focus-se-or-portland-south,96118655,"5,582 USD",03/16/2026 11:00 pm GMT+4,2012,FORD,FOCUS,2.0L  4,4,1FAHP3F20CL348043,SALVAGE TITLE CERTIFICATE,"75,510 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/96006135/salvage-2019-dodge-charger-gt-or-portland-south,96006135,"13,299 USD",03/16/2026 11:00 pm GMT+4,2019,DODG,CHARGER,3.6L  6,6,2C3CDXHGXKH546707,SALVAGE TITLE CERTIFICATE,"182,571 A",ACTUAL,STRIPPED,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/95944005/clean-title-2000-nissan-frontier-king-cab-xe-or-portland-south,95944005,"5,258 USD",03/16/2026 11:00 pm GMT+4,2000,NISS,FRONTIER,3.3L  6,6,1N6ED26T5YC319747,CERTIFICATE OF TITLE,0 E,EXEMPT,MECHANICAL,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/95111655/salvage-2023-gmc-acadia-slt-or-portland-south,95111655,"21,988 USD",03/16/2026 11:00 pm GMT+4,2023,GMC,ACADIA,2.0L  4,4,1GKKNUL42PZ125026,SALVAGE TITLE CERTIFICATE,"82,148 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/93332835/salvage-2016-jeep-grand-cherokee-laredo-or-portland-south,93332835,"11,901 USD",03/16/2026 11:00 pm GMT+4,2016,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJFAG0GC349865,SALVAGE TITLE CERTIFICATE,"120,478 A",ACTUAL,REAR END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/90558295/salvage-2005-lexus-es-330-or-portland-south,90558295,"4,688 USD",03/16/2026 11:00 pm GMT+4,2005,LEXS,ES,3.3L  6,6,JTHBA30GX55132986,SALVAGE TITLE CERTIFICATE,"169,139 A",ACTUAL,FRONT END,0 USD,0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
