Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99846865/salvage-2017-honda-civic-ex-pa-philadelphia-east-sublot,99846865,"12,583 USD",03/16/2026 06:00 pm GMT+4,2017,HOND,CIVIC,2.0L 4,4,2HGFC2F7XHH574499,CERT OF TITLE-SALVAGE,"109,176 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/99843885/salvage-2023-ford-maverick-xl-pa-philadelphia-east-sublot,99843885,"19,534 USD",03/16/2026 06:00 pm GMT+4,2023,FORD,MAVERICK,2.5L  4,4,3FTTW8E38PRA37059,CERTIFICATE OF SALVAGE,"70,355 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/98611855/salvage-2016-kia-soul-+-pa-philadelphia-east-sublot,98611855,"7,375 USD",03/16/2026 06:00 pm GMT+4,2016,KIA,SOUL,2.0L  4,4,KNDJP3A55G7864829,CERTIFICATE OF SALVAGE,"103,196 N",NOT ACTUAL,VANDALISM,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/98479495/salvage-2022-nissan-kicks-s-pa-philadelphia-east-sublot,98479495,"16,158 USD",03/16/2026 06:00 pm GMT+4,2022,NISS,KICKS,1.6L  4,4,3N1CP5BV9NL490837,CERT OF TITLE-SALVAGE,"23,921 A",ACTUAL,FRONT END,700 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/97771145/salvage-2024-toyota-corolla-cross-le-pa-philadelphia-east-sublot,97771145,"27,084 USD",03/16/2026 06:00 pm GMT+4,2024,TOYT,COROLLA CROSS,2.0L  4,4,7MUBAABG2RV103314,CERTIFICATE OF SALVAGE,"11,804 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/95805375/salvage-2009-volvo-c30-t5-pa-philadelphia-east-sublot,95805375,"4,061 USD",03/16/2026 06:00 pm GMT+4,2009,VOLV,C30,2.5L  5,5,YV1MK672692130544,CERTIFICATE OF SALVAGE,"130,353 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/95356615/salvage-2016-bmw-x3-xdrive28i-pa-philadelphia-east-sublot,95356615,"13,065 USD",03/16/2026 06:00 pm GMT+4,2016,BMW,X3,2.0L  4,4,5UXWX9C56G0D79115,CERTIFICATE OF SALVAGE,"87,003 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/93785655/salvage-2012-nissan-rogue-s-pa-philadelphia-east-sublot,93785655,"4,755 USD",03/16/2026 06:00 pm GMT+4,2012,NISS,ROGUE,2.5L  4,4,JN8AS5MV9CW389678,CERT OF SALV-R=RECONSTRUCTED,"113,092 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/80607905/salvage-2014-subaru-forester-2-0xt-premium-pa-philadelphia-east-sublot,80607905,"12,280 USD",03/16/2026 06:00 pm GMT+4,2014,SUBA,FORESTER,2.0L  4,4,JF2SJGDC4EH411091,CERTIFICATE OF SALVAGE,"95,306 A",ACTUAL,REAR END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79989355/salvage-2023-dodge-charger-sxt-pa-philadelphia-east-sublot,79989355,"23,559 USD",03/16/2026 06:00 pm GMT+4,2023,DODG,CHARGER,3.6L 6,6,2C3CDXBG2PH690901,CERTIFICATE OF SALVAGE,"38,533 A",ACTUAL,MINOR DENT/SCRATCHES,"3,550 USD",0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79770435/clean-title-2011-honda-pilot-exl-pa-philadelphia-east-sublot,79770435,$1 USD,03/16/2026 06:00 pm GMT+4,2011,HOND,PILOT,3.5L 6,6,5FNYF4H63BB031040,CERT OF TITLE,"278,767 A",ACTUAL,FRONT END,15 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79704085/salvage-2015-nissan-rogue-select-s-pa-philadelphia-east-sublot,79704085,"4,680 USD",03/16/2026 06:00 pm GMT+4,2015,NISS,ROGUE SELECT,2.5L 4,4,JN8AS5MV4FW767894,CERTIFICATE OF SALVAGE,"80,752 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79701805/salvage-2014-honda-civic-lx-pa-philadelphia-east-sublot,79701805,"8,943 USD",03/16/2026 06:00 pm GMT+4,2014,HOND,CIVIC,1.8L 4,4,2HGFG3B57EH522645,CERTIFICATE OF SALVAGE,"78,547 A",ACTUAL,SIDE,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79599985/salvage-2015-honda-accord-lx-pa-philadelphia-east-sublot,79599985,"6,655 USD",03/16/2026 06:00 pm GMT+4,2015,HOND,ACCORD,2.4L 4,4,1HGCR2F34FA131422,CERTIFICATE OF SALVAGE,"160,874 A",ACTUAL,REAR END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79571165/clean-title-2012-audi-q7-premium-plus-pa-philadelphia-east-sublot,79571165,$1 USD,03/16/2026 06:00 pm GMT+4,2012,AUDI,Q7,3.0L 6,6,WA1LGAFE0CD003277,RECONSTRUCTED CLEAN,"155,032 A",ACTUAL,SIDE,500 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79499775/clean-title-2011-bmw-x5-xdrive35i-pa-philadelphia-east-sublot,79499775,"10,927 USD",03/16/2026 06:00 pm GMT+4,2011,BMW,X5,3.0L 6,6,5UXZV4C54BL415670,CERT OF TITLE,"164,318 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79348055/salvage-2007-chevrolet-suburban-k1500-pa-philadelphia-east-sublot,79348055,"4,440 USD",03/16/2026 06:00 pm GMT+4,2007,CHEV,SUBURBAN,5.3L 8,8,3GNFK16337G306540,CERTIFICATE OF SALVAGE,"207,462 A",ACTUAL,REAR END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79207135/clean-title-2014-toyota-rav4-xle-pa-philadelphia-east-sublot,79207135,"11,458 USD",03/16/2026 06:00 pm GMT+4,2014,TOYT,RAV4,2.5L 4,4,2T3RFREVXEW127243,RECONSTRUCTED CLEAN,"107,729 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/79084665/salvage-2010-bmw-335-i-pa-philadelphia-east-sublot,79084665,$1 USD,03/16/2026 06:00 pm GMT+4,2010,BMW,335,3.0L 6,6,WBAPM7G52ANL94647,CERTIFICATE OF SALVAGE,"146,061 A",ACTUAL,NORMAL WEAR,300 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/78743455/salvage-2007-lexus-ls-460-base-pa-philadelphia-east-sublot,78743455,"10,769 USD",03/16/2026 06:00 pm GMT+4,2007,LEXS,LS 460,4.6L 8,8,JTHBL46F175045723,CERTIFICATE OF SALVAGE,0 E,EXEMPT,FRONT END,15 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/78643275/salvage-2011-lexus-gs-350-base-pa-philadelphia-east-sublot,78643275,"13,663 USD",03/16/2026 06:00 pm GMT+4,2011,LEXS,GS 350,3.5L 6,6,JTHCE1KS9B0029579,CERTIFICATE OF SALVAGE,"94,716 A",ACTUAL,REAR END,15 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/78609065/salvage-2019-honda-cr-v-ex-pa-philadelphia-east-sublot,78609065,"19,777 USD",03/16/2026 06:00 pm GMT+4,2019,HOND,CR-V,1.5L 4,4,7FARW2H56KE029044,CERTIFICATE OF SALVAGE,"60,561 A",ACTUAL,REAR END,0 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
https://www.copart.com/lot/78525455/salvage-2023-honda-cr-v-sport-touring-pa-philadelphia-east-sublot,78525455,"28,394 USD",03/16/2026 06:00 pm GMT+4,2023,HOND,CR-V,2.0L 4,4,5J6RS6H91PL000566,CERTIFICATE OF SALVAGE,0 N,NOT ACTUAL,VANDALISM,15 USD,0 USD,0,PA - PHILADELPHIA EAST-SUBLOT,0,N/A,N/A
