Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99870845/salvage-2007-mazda-mx-5-miata-sc-north-charleston,99870845,"10,368 USD",03/16/2026 06:00 pm GMT+4,2007,MAZD,MX-5 MIATA,2.0L  4,4,JM1NC25F070137519,CERT OF TITLE-SALVAGE,"149,156 E",EXEMPT,FRONT END,200 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99864335/salvage-2015-nissan-versa-s-sc-north-charleston,99864335,"7,400 USD",03/16/2026 06:00 pm GMT+4,2015,NISS,VERSA,1.6L  4,4,3N1CN7AP1FL843867,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99862875/salvage-2014-jeep-wrangler-unlimited-sahara-sc-north-charleston,99862875,"15,992 USD",03/16/2026 06:00 pm GMT+4,2014,JEP,WRANGLER UNLIMITED,3.6L  6,6,1C4BJWEG8EL254107,CERT OF TITLE-SALVAGE,"111,525 A",ACTUAL,REAR END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99855155/salvage-2017-nissan-rogue-s-sc-north-charleston,99855155,"11,576 USD",03/16/2026 06:00 pm GMT+4,2017,NISS,ROGUE,2.5L  4,4,KNMAT2MV2HP583297,CERT OF TITLE-SALVAGE,"104,323 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99794845/clean-title-2021-mercedes-benz-c-300-sc-north-charleston,99794845,"29,547 USD",03/16/2026 06:00 pm GMT+4,2021,MERZ,C,2.0L  4,4,W1KWF8DB5MR605545,CERTIFICATE OF TITLE,"27,557 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99788625/2018-isuzu-npr-hd-sc-north-charleston,99788625,"17,905 USD",03/16/2026 06:00 pm GMT+4,2018,ISU,NPR HD,6.0L  8,8,54DC4W1B6JS811405,NON-REB & REM SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99724655/salvage-2018-toyota-avalon-xle-sc-north-charleston,99724655,"21,679 USD",03/16/2026 06:00 pm GMT+4,2018,TOYT,AVALON,3.5L  6,6,4T1BK1EB5JU277221,CERT OF TITLE-SALVAGE,"86,113 A",ACTUAL,FRONT END,200 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99700945/salvage-2010-honda-odyssey-exl-sc-north-charleston,99700945,"8,225 USD",03/16/2026 06:00 pm GMT+4,2010,HOND,ODYSSEY,3.5L  6,6,5FNRL3H63AB050385,CERT OF TITLE-SALVAGE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99667015/salvage-2018-toyota-4runner-sr5-sc-north-charleston,99667015,"27,329 USD",03/16/2026 06:00 pm GMT+4,2018,TOYT,4RUNNER,4.0L  6,6,JTEZU5JR4J5172327,CERT OF TITLE-SALVAGE,"102,381 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99621145/salvage-2012-dodge-challenger-sxt-sc-north-charleston,99621145,"5,731 USD",03/16/2026 06:00 pm GMT+4,2012,DODG,CHALLENGER,3.6L  6,6,2C3CDYAG2CH225021,CERT OF TITLE-SALVAGE,"161,203 A",ACTUAL,REAR END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99615425/salvage-2022-hyundai-ioniq-blue-sc-north-charleston,99615425,"15,447 USD",03/16/2026 06:00 pm GMT+4,2022,HYUN,IONIQ,1.6L  4,4,KMHC65LC9NU277983,CERT OF TITLE-SALVAGE,"86,836 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99552735/salvage-2012-ford-explorer-xlt-sc-north-charleston,99552735,"7,127 USD",03/16/2026 06:00 pm GMT+4,2012,FORD,EXPLORER,3.5L  6,6,1FMHK8D83CGA61510,CERT OF TITLE-SALVAGE,"198,589 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99515095/salvage-2020-ram-1500-laramie-sc-north-charleston,99515095,"29,643 USD",03/16/2026 06:00 pm GMT+4,2020,RAM,1500,5.7L  8,8,1C6RREJT6LN209387,CERT OF TITLE-SALVAGE,"108,965 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99418665/salvage-2017-ford-escape-se-sc-north-charleston,99418665,"6,871 USD",03/16/2026 06:00 pm GMT+4,2017,FORD,ESCAPE,1.5L  4,4,1FMCU0GD9HUC72007,CERT OF TITLE-SALVAGE,"83,248 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99372685/salvage-2016-ford-fusion-se-sc-north-charleston,99372685,"9,248 USD",03/16/2026 06:00 pm GMT+4,2016,FORD,FUSION,2.5L  4,4,3FA6P0H78GR349575,CERT OF TITLE-SALVAGE,"93,444 A",ACTUAL,SIDE,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99357935/salvage-2015-nissan-frontier-s-sc-north-charleston,99357935,"10,835 USD",03/16/2026 06:00 pm GMT+4,2015,NISS,FRONTIER,4.0L  6,6,1N6AD0ER9FN757696,CERT OF TITLE-SALVAGE,"177,775 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99331555/salvage-2016-kia-optima-hybrid-sc-north-charleston,99331555,"8,443 USD",03/16/2026 06:00 pm GMT+4,2016,KIA,OPTIMA,2.4L  4,4,KNAGN4ADXG5092558,CERT OF TITLE-SALVAGE,"141,769 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99253505/salvage-2018-nissan-rogue-s-sc-north-charleston,99253505,"12,924 USD",03/16/2026 06:00 pm GMT+4,2018,NISS,ROGUE,2.5L  4,4,KNMAT2MV3JP510848,CERT OF TITLE-SALVAGE,"122,918 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99235245/salvage-2025-chevrolet-trax-activ-sc-north-charleston,99235245,"23,901 USD",03/16/2026 06:00 pm GMT+4,2025,CHEV,TRAX,1.2L  3,3,KL77LKEP0SC052900,CERT OF TITLE-SALVAGE,"23,445 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/99169155/clean-title-2019-kia-sportage-lx-sc-north-charleston,99169155,"11,017 USD",03/16/2026 06:00 pm GMT+4,2019,KIA,SPORTAGE,2.4L  4,4,KNDPM3AC5K7626747,CERTIFICATE OF TITLE,"150,216 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98935705/salvage-2022-hyundai-elantra-sel-sc-north-charleston,98935705,"17,429 USD",03/16/2026 06:00 pm GMT+4,2022,HYUN,ELANTRA,2.0L  4,4,5NPLM4AG8NH078105,CERT OF TITLE-SALVAGE,"36,124 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98933265/salvage-2020-honda-accord-sport-sc-north-charleston,98933265,"18,290 USD",03/16/2026 06:00 pm GMT+4,2020,HOND,ACCORD,1.5L  4,4,1HGCV1F33LA149735,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,500 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98921035/salvage-2019-chevrolet-tahoe-k1500-lt-sc-north-charleston,98921035,"26,970 USD",03/16/2026 06:00 pm GMT+4,2019,CHEV,TAHOE,5.3L  8,8,1GNSKBKC7KR245812,CERT OF TITLE-SALVAGE,"100,227 A",ACTUAL,SIDE,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98832745/clean-title-2020-tesla-model-y-sc-north-charleston,98832745,"28,343 USD",03/16/2026 06:00 pm GMT+4,2020,TESL,MODEL Y,,,5YJYGDEF5LF025565,CERTIFICATE OF TITLE,"79,445 A",ACTUAL,REAR END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98812865/salvage-2015-ram-1500-slt-sc-north-charleston,98812865,"13,543 USD",03/16/2026 06:00 pm GMT+4,2015,RAM,1500,3.6L  6,6,1C6RR7LG1FS637353,CERT OF TITLE-SALVAGE,"128,416 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98787675/salvage-2020-toyota-corolla-se-sc-north-charleston,98787675,"16,150 USD",03/16/2026 06:00 pm GMT+4,2020,TOYT,COROLLA,2.0L  4,4,5YFS4RCE1LP007963,CERT OF TITLE-SALVAGE,"94,319 A",ACTUAL,REAR END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98781795/salvage-2017-chevrolet-cruze-ls-sc-north-charleston,98781795,"9,092 USD",03/16/2026 06:00 pm GMT+4,2017,CHEV,CRUZE,1.4L  4,4,3G1BC5SM7HS522067,CERT OF TITLE-SALVAGE,"105,297 A",ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98780415/salvage-2015-kia-optima-ex-sc-north-charleston,98780415,"6,277 USD",03/16/2026 06:00 pm GMT+4,2015,KIA,OPTIMA,2.4L  4,4,5XXGN4A72FG514359,CERT OF TITLE-SALVAGE,"138,121 A",ACTUAL,SIDE,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
https://www.copart.com/lot/98693835/salvage-2020-alfa-romeo-giulia-sc-north-charleston,98693835,"17,622 USD",03/16/2026 06:00 pm GMT+4,2020,ALFA,GIULIA,2.0L  4,4,ZARFAMAN3L7635790,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,SC - NORTH CHARLESTON,0,N/A,N/A
