Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99675035/salvage-2018-land-rover-range-rover-sport-se-tx-longview,99675035,"23,248 USD",03/16/2026 09:00 pm GMT+4,2018,LAND,RANGE ROVER SPORT,3.0L  6,6,SALWG2RV0JA414089,SALVAGE VEHICLE TITLE,"76,171 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/99439215/salvage-2016-chevrolet-tahoe-c1500-ls-tx-longview,99439215,"10,532 USD",03/16/2026 09:00 pm GMT+4,2016,CHEV,TAHOE,5.3L  8,8,1GNSCAKC3GR388688,SALVAGE VEHICLE TITLE,"192,769 A",ACTUAL,FRONT END,200 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/99381055/salvage-2025-ford-explorer-platinum-tx-longview,99381055,"48,690 USD",03/16/2026 09:00 pm GMT+4,2025,FORD,EXPLORER,3.0L  6,6,1FMWK8HC1SGC71088,SALVAGE VEHICLE TITLE,"3,690 A",ACTUAL,SIDE,350 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/99110845/salvage-2021-nissan-sentra-sv-tx-longview,99110845,"14,587 USD",03/16/2026 09:00 pm GMT+4,2021,NISS,SENTRA,2.0L  4,4,3N1AB8CV1MY201070,SALVAGE VEHICLE TITLE,"53,665 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98905085/salvage-2018-honda-cr-v-exl-tx-longview,98905085,"19,108 USD",03/16/2026 09:00 pm GMT+4,2018,HOND,CR-V,1.5L  4,4,7FARW1H82JE041856,SALVAGE VEHICLE TITLE,"65,330 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98881755/salvage-2019-buick-encore-preferred-tx-longview,98881755,"10,757 USD",03/16/2026 09:00 pm GMT+4,2019,BUIC,ENCORE,1.4L  4,4,KL4CJASB9KB777860,SALVAGE VEHICLE TITLE,"70,669 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98588975/salvage-2024-ford-ranger-xlt-tx-longview,98588975,"32,348 USD",03/16/2026 09:00 pm GMT+4,2024,FORD,RANGER,2.3L  4,4,1FTER4HH5RLE75085,SALVAGE VEHICLE TITLE,"22,140 A",ACTUAL,REAR END,30 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98441065/salvage-2018-ford-f150-supercrew-tx-longview,98441065,"31,675 USD",03/16/2026 09:00 pm GMT+4,2018,FORD,F150,5.0L  8,8,1FTEW1E51JFC86244,SALVAGE VEHICLE TITLE,"92,276 A",ACTUAL,FRONT END,325 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98355705/clean-title-2013-bmw-x3-xdrive28i-tx-longview,98355705,"10,900 USD",03/16/2026 09:00 pm GMT+4,2013,BMW,X3,2.0L  4,4,5UXWX9C5XD0D08513,CERTIFICATE OF TITLE,"68,220 A",ACTUAL,NORMAL WEAR,675 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98051115/salvage-1994-mitsubishi-mighty-max-tx-longview,98051115,"3,724 USD",03/16/2026 09:00 pm GMT+4,1994,MITS,MIGHTY MAX,3.0L  6,6,JA7LT21H5RP012120,SALVAGE VEHICLE TITLE,"163,418 E",EXEMPT,FRONT END,200 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/98042365/salvage-2024-chevrolet-silverado-k2500-high-country-tx-longview,98042365,"65,669 USD",03/16/2026 09:00 pm GMT+4,2024,CHEV,SILVERADO,6.6L  8,8,2GC4YREY1R1129380,SALVAGE VEHICLE TITLE,"62,783 A",ACTUAL,UNDERCARRIAGE,100 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/97781885/2023-ford-f250-super-duty-tx-longview,97781885,"45,755 USD",03/16/2026 09:00 pm GMT+4,2023,FORD,F250,6.7L  8,8,1FT8W2BT5PEC96831,NONREPAIRABLE TITLE,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/97490535/salvage-2016-buick-encore-convenience-tx-longview,97490535,"5,130 USD",03/16/2026 09:00 pm GMT+4,2016,BUIC,ENCORE,1.4L  4,4,KL4CJBSB4GB706529,SALVAGE VEHICLE TITLE,"129,499 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/97422125/salvage-2024-gmc-sierra-k1500-slt-tx-longview,97422125,"51,362 USD",03/16/2026 09:00 pm GMT+4,2024,GMC,SIERRA,5.3L  8,8,3GTUUDED8RG334360,CERT OF TITLE - SALVAGE,"32,218 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/97374455/clean-title-2013-volvo-xc90-3-2-tx-longview,97374455,"7,500 USD",03/16/2026 09:00 pm GMT+4,2013,VOLV,XC90,3.2L  6,6,YV4952CY9D1655793,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,HAIL,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/96974475/clean-title-2025-stallion-sm612sa-enclosed-cargo-trailer-tx-longview,96974475,$1 USD,03/16/2026 09:00 pm GMT+4,2025,SLAH,UNKNOWN,,,7SWBE1217SM007238,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/96925575/salvage-2018-jeep-cherokee-latitude-plus-tx-longview,96925575,"12,146 USD",03/16/2026 09:00 pm GMT+4,2018,JEP,CHEROKEE,2.4L  4,4,1C4PJLLB6JD561078,SALVAGE VEHICLE TITLE,"76,196 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/96898645/salvage-2001-chevrolet-silverado-c1500-tx-longview,96898645,"7,531 USD",03/16/2026 09:00 pm GMT+4,2001,CHEV,SILVERADO,5.3L  8,8,2GCEC19T211170981,SALVAGE VEHICLE TITLE,"199,684 E",EXEMPT,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/96550385/salvage-2023-toyota-4runner-sr5-tx-longview,96550385,"35,652 USD",03/16/2026 09:00 pm GMT+4,2023,TOYT,4RUNNER,4.0L  6,6,JTEFU5JR6P5288754,SALVAGE VEHICLE TITLE,"48,239 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
https://www.copart.com/lot/96381985/salvage-2005-ford-excursion-eddie-bauer-tx-longview,96381985,"10,827 USD",03/16/2026 09:00 pm GMT+4,2005,FORD,EXCURSION,5.4L  8,8,1FMNU44L05EB76686,SALVAGE VEHICLE TITLE,"92,028 E",EXEMPT,FRONT END,550 USD,0 USD,0,TX - LONGVIEW,0,N/A,N/A
