Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99558385/salvage-2016-toyota-tacoma-double-cab-ut-ogden,99558385,"27,925 USD",03/16/2026 10:00 pm GMT+4,2016,TOYT,TACOMA,3.5L  6,6,3TMCZ5AN0GM031816,SALVAGE CERTIFICATE,"83,062 A",ACTUAL,SIDE,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/99518175/salvage-2016-ford-f150-supercrew-ut-ogden,99518175,"15,092 USD",03/16/2026 10:00 pm GMT+4,2016,FORD,F150,5.0L  8,8,1FTFW1EF1GFA24424,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,150 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/99485755/salvage-2020-nissan-rogue-s-ut-ogden,99485755,"8,711 USD",03/16/2026 10:00 pm GMT+4,2020,NISS,ROGUE,2.5L  4,4,5N1AT2MV3LC807091,SALVAGE CERTIFICATE,"217,818 A",ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/99327785/salvage-2007-pontiac-g6-base-ut-ogden,99327785,"2,312 USD",03/16/2026 10:00 pm GMT+4,2007,PONT,G6,3.5L  6,6,1G2ZG58N874212863,SALVAGE CERTIFICATE,"170,665 E",EXEMPT,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/98725065/salvage-2009-ford-f150-supercrew-ut-ogden,98725065,"10,840 USD",03/16/2026 10:00 pm GMT+4,2009,FORD,F150,5.4L  8,8,1FTPW14V59FA94752,SALVAGE CERTIFICATE,"150,435 E",EXEMPT,UNDERCARRIAGE,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/98417395/salvage-2001-holr-dyanaster-rv-ut-ogden,98417395,"19,000 USD",03/16/2026 10:00 pm GMT+4,2001,HOLR,MOTORHOME,6,6,1RF12061812014564,SALVAGE CERTIFICATE,0 E,EXEMPT,BURN,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/98357685/salvage-2018-ford-taurus-sel-ut-ogden,98357685,"11,111 USD",03/16/2026 10:00 pm GMT+4,2018,FORD,TAURUS,3.5L  6,6,1FAHP2H80JG131108,SALVAGE CERTIFICATE,"108,383 A",ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/98232415/salvage-2015-subaru-outback-2-5i-ut-ogden,98232415,"6,965 USD",03/16/2026 10:00 pm GMT+4,2015,SUBA,OUTBACK,2.5L  4,4,4S4BSBACXF3357230,SALVAGE CERTIFICATE,"188,040 A",ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/98091965/salvage-2013-kia-optima-lx-ut-ogden,98091965,"8,196 USD",03/16/2026 10:00 pm GMT+4,2013,KIA,OPTIMA,2.4L  4,4,5XXGM4A75DG091969,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/98085815/salvage-2017-honda-accord-sport-ut-ogden,98085815,"11,664 USD",03/16/2026 10:00 pm GMT+4,2017,HOND,ACCORD,2.4L  4,4,1HGCR2F52HA080149,SALVAGE CERTIFICATE,"121,377 A",ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
