Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99915735/salvage-2014-volkswagen-passat-se-wa-north-seattle,99915735,"9,184 USD",03/16/2026 11:00 pm GMT+4,2014,VOLK,PASSAT,2.0L  4,4,1VWBN7A37EC053454,BILL OF SALE,"98,561 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/99893175/salvage-2020-hyundai-elantra-value-edition-wa-north-seattle,99893175,"5,016 USD",03/16/2026 11:00 pm GMT+4,2020,HYUN,ELANTRA,2.0L  4,4,5NPD84LF0LH625541,BILL OF SALE,"309,210 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/99453945/clean-title-2004-ford-ranger-super-cab-wa-north-seattle,99453945,$1 USD,03/16/2026 11:00 pm GMT+4,2004,FORD,RANGER,3.0L  6,6,1FTYR14U94PA22426,AFF OF LOSS/REL OF INTEREST,"76,694 E",EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/99301175/clean-title-2007-toyota-corolla-ce-wa-north-seattle,99301175,$1 USD,03/16/2026 11:00 pm GMT+4,2007,TOYT,COROLLA,1.8L  4,4,JTDBR32E170100322,VEHICLE CERT OF OWNERSHIP-TITL,"118,449 E",EXEMPT,FRONT END,80 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/99065565/clean-title-2013-dodge-journey-r-wa-north-seattle,99065565,"1,800 USD",03/16/2026 11:00 pm GMT+4,2013,DODG,JOURNEY,3.6L 6,6,3C4PDDFGXDT606493,VEHICLE CERT OF OWNERSHIP-TITL,"153,569 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/98719715/salvage-2015-chrysler-200-limited-wa-north-seattle,98719715,"2,300 USD",03/16/2026 11:00 pm GMT+4,2015,CHRY,200,2.4L 4,4,1C3CCCAB9FN607584,SALVAGE VEHICLE TITLE,0 N,NOT ACTUAL,REAR END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/98499605/salvage-2022-tesla-model-3-wa-north-seattle,98499605,"15,318 USD",03/16/2026 11:00 pm GMT+4,2022,TESL,MODEL 3,,,5YJ3E1EA8NF288459,BILL OF SALE,"145,117 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,1.1,N/A,N/A
https://www.copart.com/lot/98429535/2015-mercedes-benz-cla-250-wa-north-seattle,98429535,"12,275 USD",03/16/2026 11:00 pm GMT+4,2015,MERZ,CLA,2.0L  4,4,WDDSJ4EB0FN202748,BILL OF SALE-PARTS ONLY,"75,889 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/98375925/clean-title-2007-boydstun-9178-s-car-carrier-wa-north-seattle,98375925,$1 USD,03/16/2026 11:00 pm GMT+4,2007,BDZC,CAR HAULER,,,1B9CS45257P275297,VEHICLE CERT OF OWNERSHIP-TITL,0 E,EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/98288745/salvage-2011-subaru-outback-2-5i-limited-wa-north-seattle,98288745,"8,135 USD",03/16/2026 11:00 pm GMT+4,2011,SUBA,OUTBACK,2.5L  4,4,4S4BRCLC3B3369941,BILL OF SALE,"97,272 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/98224815/clean-title-1999-fge-206-wa-north-seattle,98224815,"16,400 USD",03/16/2026 11:00 pm GMT+4,1999,FGE,206,,,FGE60170C999,VEHICLE CERT OF OWNERSHIP-TITL,0 E,EXEMPT,MECHANICAL,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/97823375/salvage-2020-honda-civic-lx-wa-north-seattle,97823375,"1,181 USD",03/16/2026 11:00 pm GMT+4,2020,HOND,CIVIC,2.0L  4,4,19XFC2F60LE201238,CERT OF TITLE SLVG REBUILDABLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/97665765/clean-title-2017-hyundai-elantra-se-wa-north-seattle,97665765,"8,758 USD",03/16/2026 11:00 pm GMT+4,2017,HYUN,ELANTRA,2.0L  4,4,5NPD74LF3HH164801,CERT OF OWNERSHIP-REBUILT,"74,892 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/96804015/salvage-2024-mercedes-benz-s-63-e-performance-wa-north-seattle,96804015,"154,356 USD",03/16/2026 11:00 pm GMT+4,2024,MERZ,S,4.0L 8,8,W1K6G8CB5RA301281,BILL OF SALE,0 N,NOT ACTUAL,FRONT END,"37,000 USD",0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/96623635/clean-title-2005-toyota-prius-base-wa-north-seattle,96623635,"1,800 USD",03/16/2026 11:00 pm GMT+4,2005,TOYT,PRIUS,1.5L 4,4,JTDKB20U750124534,AFF OF LOSS/REL OF INTEREST,"194,828 E",EXEMPT,FRONT END,60 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/95323235/clean-title-2002-toyota-corolla-wa-north-seattle,95323235,$1 USD,03/16/2026 11:00 pm GMT+4,2002,TOYT,COROLLA,1.8L  4,4,1NXBR12E32Z639560,CERTIFICATE OF TITLE,"160,130 E",EXEMPT,REAR END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/95109725/clean-title-1979-american-motors-cj5-wa-north-seattle,95109725,"21,258 USD",03/16/2026 11:00 pm GMT+4,1979,AMER,CJ5,,,DJ5G8186449,VEHICLE CERT OF OWNERSHIP-TITL,"15,567 E",EXEMPT,NORMAL WEAR,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/94806495/clean-title-2004-dodge-ram-1500-st-wa-north-seattle,94806495,$1 USD,03/16/2026 11:00 pm GMT+4,2004,DODG,RAM 1500,3.7L  6,6,1D7HA16K84J114736,VEHICLE CERT OF OWNERSHIP-TITL,"140,154 E",EXEMPT,MECHANICAL,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/94793685/salvage-2019-honda-accord-exl-wa-north-seattle,94793685,"14,218 USD",03/16/2026 11:00 pm GMT+4,2019,HOND,ACCORD,1.5L  4,4,1HGCV1F54KA040345,BILL OF SALE,"100,526 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/94773575/salvage-2023-tesla-model-3-wa-north-seattle,94773575,"49,130 USD",03/16/2026 11:00 pm GMT+4,2023,TESL,MODEL 3,,,5YJ3E1EB8PF623425,BILL OF SALE,"50,763 A",ACTUAL,REAR END,60 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/94520445/salvage-2020-ford-f150-super-cab-wa-north-seattle,94520445,"28,164 USD",03/16/2026 11:00 pm GMT+4,2020,FORD,F150,3.5L  6,6,1FTFX1E47LKF47749,BILL OF SALE,"50,587 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/93517795/salvage-2019-tesla-model-x-wa-north-seattle,93517795,"30,548 USD",03/16/2026 11:00 pm GMT+4,2019,TESL,MODEL X,,,5YJXCDE27KF206167,BILL OF SALE,0 N,NOT ACTUAL,FRONT END,60 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
