Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98034665/salvage-2017-ford-escape-titanium-wa-spokane,98034665,"16,480 USD",03/18/2026 11:00 pm GMT+4,2017,FORD,ESCAPE,2.0L  4,4,1FMCU9J95HUC14159,BILL OF SALE,"70,993 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/96126625/salvage-2017-toyota-prius-two-wa-spokane,96126625,"15,136 USD",03/18/2026 11:00 pm GMT+4,2017,TOYT,PRIUS,1.8L  4,4,JTDKBRFU7H3035601,BILL OF SALE,0 N,NOT ACTUAL,WATER/FLOOD,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79978875/salvage-2005-acura-mdx-touring-wa-spokane,79978875,"4,782 USD",03/18/2026 11:00 pm GMT+4,2005,ACUR,MDX,3.5L 6,6,2HNYD18935H536437,BILL OF SALE,"178,364 E",EXEMPT,FRONT END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79930865/salvage-2023-nissan-sentra-sv-wa-spokane,79930865,"17,742 USD",03/18/2026 11:00 pm GMT+4,2023,NISS,SENTRA,2.0L 4,4,3N1AB8CV6PY272978,BILL OF SALE,"31,192 A",ACTUAL,REAR END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79910605/salvage-2017-toyota-tacoma-sr5-v6-wa-spokane,79910605,"22,773 USD",03/18/2026 11:00 pm GMT+4,2017,TOYT,TACOMA,3.5L 6,6,3TMCZ5AN8HM059168,BILL OF SALE,"119,808 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79847185/salvage-2004-chevrolet-silverado-k2500-heavy-duty-wa-spokane,79847185,"11,159 USD",03/18/2026 11:00 pm GMT+4,2004,CHEV,SILVERADO,8.1L 8,8,1GCHK23G24F187648,BILL OF SALE,"173,317 E",EXEMPT,FRONT END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79630325/salvage-2022-chevrolet-colorado-lt-wa-spokane,79630325,"32,751 USD",03/18/2026 11:00 pm GMT+4,2022,CHEV,COLORADO,3.6L 6,6,1GCGTCEN7N1196791,BILL OF SALE,"25,014 A",ACTUAL,SIDE,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79302575/salvage-2020-subaru-forester-touring-wa-spokane,79302575,"25,400 USD",03/18/2026 11:00 pm GMT+4,2020,SUBA,FORESTER,2.5L 4,4,JF2SKAXCXLH465465,BILL OF SALE,"33,961 A",ACTUAL,FRONT END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/79235535/salvage-2012-chevrolet-cruze-ltz-wa-spokane,79235535,"3,975 USD",03/18/2026 11:00 pm GMT+4,2012,CHEV,CRUZE,,,1G1PH5SCXC7350638,BILL OF SALE,"194,727 A",ACTUAL,REAR END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
https://www.copart.com/lot/78887415/salvage-2010-toyota-rav4-limited-wa-spokane,78887415,"7,880 USD",03/18/2026 11:00 pm GMT+4,2010,TOYT,RAV4,3.5L 6,6,JTMDK4DV3A5093545,BILL OF SALE,"151,307 E",EXEMPT,FRONT END,0 USD,0 USD,0,WA - SPOKANE,0,N/A,N/A
