Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99895405/salvage-2014-honda-civic-lx-wi-madison-south,99895405,"6,694 USD",03/17/2026 09:00 pm GMT+4,2014,HOND,CIVIC,1.8L  4,4,19XFB2E53EE004952,CERT OF TITLE-SALVAGE,"175,063 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/98784075/salvage-2020-honda-cr-v-ex-wi-madison-south,98784075,"18,031 USD",03/17/2026 09:00 pm GMT+4,2020,HOND,CR-V,1.5L  4,4,5J6RW2H59LL026191,CERT OF TITLE-CLAIM PAID,"143,648 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/98436765/salvage-2019-ram-1500-wi-madison-south,98436765,"19,614 USD",03/17/2026 09:00 pm GMT+4,2019,RAM,1500,3.6L  6,6,1C6RRFFG1KN731764,CERT OF TITLE-SALVAGE VEHICLE,"126,955 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/92198295/salvage-2026-chevrolet-trailblazer-lt-wi-madison-south,92198295,"27,544 USD",03/17/2026 09:00 pm GMT+4,2026,CHEV,TRAILBLAZER,1.3L  3,3,KL79MPSL0TB033890,CERT OF TITLE-CLAIM PAID,111 A,ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/78894385/clean-title-2016-mercedes-benz-gle-400-4matic-wi-madison-south,78894385,"16,963 USD",03/17/2026 09:00 pm GMT+4,2016,MERZ,GLE,3.0L 6,6,4JGDA5GB5GA650705,CERTIFICATE OF TITLE,"57,900 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/78438015/clean-title-2011-buick-enclave-cxl-wi-madison-south,78438015,"5,592 USD",03/17/2026 09:00 pm GMT+4,2011,BUIC,ENCLAVE,3.6L  6,6,5GAKVCEDXBJ179444,CERTIFICATE OF TITLE,"145,205 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/78026955/clean-title-2014-chevrolet-silverado-k1500-ltz-wi-madison-south,78026955,"15,382 USD",03/17/2026 09:00 pm GMT+4,2014,CHEV,SILVERADO,5.3L  8,8,1GCVKSEC4EZ264954,CERTIFICATE OF TITLE,"113,328 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/77937995/clean-title-2019-audi-q7-premium-plus-wi-madison-south,77937995,"16,260 USD",03/17/2026 09:00 pm GMT+4,2019,AUDI,Q7,3.0L  6,6,WA1LAAF77KD039775,CERTIFICATE OF TITLE,"87,116 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/77513495/clean-title-2018-ford-fusion-titaniumplatinum-wi-madison-south,77513495,"10,733 USD",03/17/2026 09:00 pm GMT+4,2018,FORD,FUSION,2.0L  4,4,3FA6P0D98JR247112,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/76885955/clean-title-2011-toyota-highlander-limited-wi-madison-south,76885955,"8,503 USD",03/17/2026 09:00 pm GMT+4,2011,TOYT,HIGHLANDER,3.5L  6,6,5TDDK3EH5BS088880,CERTIFICATE OF TITLE,"184,657 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/76868745/clean-title-1999-honda-accord-ex-wi-madison-south,76868745,$1 USD,03/17/2026 09:00 pm GMT+4,1999,HOND,ACCORD,2.3L 4,4,1HGCG5658XA000875,CERTIFICATE OF TITLE,"160,916 E",EXEMPT,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
https://www.copart.com/lot/76634145/salvage-2023-chevrolet-traverse-lt-wi-madison-south,76634145,"27,540 USD",03/17/2026 09:00 pm GMT+4,2023,CHEV,TRAVERSE,3.6L  6,6,1GNEVHKW5PJ224772,CERT OF TITLE-SALVAGE VEHICLE,"54,507 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MADISON SOUTH,0,N/A,N/A
