Mekan,URL
"AK - Anchorage","https://www.copart.com/saleListResult/113/2026-03-17?location=AK%20-%20Anchorage&saleDate=1773777600000&liveAuction=false&from=&yardNum=113"
"CT - Hartford","https://www.copart.com/saleListResult/23/2026-03-17?location=CT%20-%20Hartford&saleDate=1773756000000&liveAuction=false&from=&yardNum=23"
"DC - Washington DC","https://www.copart.com/saleListResult/32/2026-03-17?location=DC%20-%20Washington%20DC&saleDate=1773756000000&liveAuction=false&from=&yardNum=32"
"DE - Seaford","https://www.copart.com/saleListResult/130/2026-03-17?location=DE%20-%20Seaford&saleDate=1773756000000&liveAuction=false&from=&yardNum=130"
"FL - Miami North","https://www.copart.com/saleListResult/33/2026-03-17?location=FL%20-%20Miami%20North&saleDate=1773756000000&liveAuction=false&from=&yardNum=33"
"FL - Ocala","https://www.copart.com/saleListResult/108/2026-03-17?location=FL%20-%20Ocala&saleDate=1773756000000&liveAuction=false&from=&yardNum=108"
"FL - Punta Gorda","https://www.copart.com/saleListResult/348/2026-03-17?location=FL%20-%20Punta%20Gorda&saleDate=1773756000000&liveAuction=false&from=&yardNum=348"
"FL - Tampa South","https://www.copart.com/saleListResult/34/2026-03-17?location=FL%20-%20Tampa%20South&saleDate=1773756000000&liveAuction=false&from=&yardNum=34"
"FL - West Palm Beach","https://www.copart.com/saleListResult/70/2026-03-17?location=FL%20-%20West%20Palm%20Beach&saleDate=1773756000000&liveAuction=false&from=&yardNum=70"
"GA - Atlanta South","https://www.copart.com/saleListResult/146/2026-03-17?location=GA%20-%20Atlanta%20South&saleDate=1773756000000&liveAuction=false&from=&yardNum=146"
"GA - Augusta","https://www.copart.com/saleListResult/359/2026-03-17?location=GA%20-%20Augusta&saleDate=1773756000000&liveAuction=false&from=&yardNum=359"
"GA - Tifton","https://www.copart.com/saleListResult/88/2026-03-17?location=GA%20-%20Tifton&saleDate=1773756000000&liveAuction=false&from=&yardNum=88"
"IN - Cicero","https://www.copart.com/saleListResult/170/2026-03-17?location=IN%20-%20Cicero&saleDate=1773756000000&liveAuction=false&from=&yardNum=170"
"IN - Indianapolis","https://www.copart.com/saleListResult/44/2026-03-17?location=IN%20-%20Indianapolis&saleDate=1773756000000&liveAuction=false&from=&yardNum=44"
"MI - Detroit","https://www.copart.com/saleListResult/61/2026-03-17?location=MI%20-%20Detroit&saleDate=1773756000000&liveAuction=false&from=&yardNum=61"
"NH - Candia","https://www.copart.com/saleListResult/155/2026-03-17?location=NH%20-%20Candia&saleDate=1773756000000&liveAuction=false&from=&yardNum=155"
"NJ - Glassboro East","https://www.copart.com/saleListResult/31/2026-03-17?location=NJ%20-%20Glassboro%20East&saleDate=1773756000000&liveAuction=false&from=&yardNum=31"
"NJ - Glassboro West","https://www.copart.com/saleListResult/69/2026-03-17?location=NJ%20-%20Glassboro%20West&saleDate=1773756000000&liveAuction=false&from=&yardNum=69"
"NY - Newburgh","https://www.copart.com/saleListResult/24/2026-03-17?location=NY%20-%20Newburgh&saleDate=1773756000000&liveAuction=false&from=&yardNum=24"
"Ontario Auction","https://www.copart.com/saleListResult/294/2026-03-17?location=Ontario%20Auction&saleDate=1773756000000&liveAuction=false&from=&yardNum=294"
"PA - Harrisburg","https://www.copart.com/saleListResult/76/2026-03-17?location=PA%20-%20Harrisburg&saleDate=1773756000000&liveAuction=false&from=&yardNum=76"
"PA - Philadelphia","https://www.copart.com/saleListResult/26/2026-03-17?location=PA%20-%20Philadelphia&saleDate=1773756000000&liveAuction=false&from=&yardNum=26"
"TN - Knoxville","https://www.copart.com/saleListResult/114/2026-03-17?location=TN%20-%20Knoxville&saleDate=1773756000000&liveAuction=false&from=&yardNum=114"
"VA - Hampton","https://www.copart.com/saleListResult/162/2026-03-17?location=VA%20-%20Hampton&saleDate=1773756000000&liveAuction=false&from=&yardNum=162"
"Heavy Truck, Trailer, Rv Clean Title Sale","https://www.copart.com/saleListResult/833/2026-03-17?location=Heavy%20Truck,%20Trailer,%20Rv%20Clean%20Title%20Sale&saleDate=1773763200000&liveAuction=false&from=&yardNum=833"
"QC - Montreal","https://www.copart.com/saleListResult/205/2026-03-17?location=QC%20-%20Montreal&saleDate=1773763200000&liveAuction=false&from=&yardNum=205"
"Wholesale Auction","https://www.copart.com/saleListResult/855/2026-03-17?location=Wholesale%20Auction&saleDate=1773763200000&liveAuction=false&from=&yardNum=855"
"AL - Birmingham","https://www.copart.com/saleListResult/136/2026-03-17?location=AL%20-%20Birmingham&saleDate=1773766800000&liveAuction=false&from=&yardNum=136"
"AL - Mobile South","https://www.copart.com/saleListResult/184/2026-03-17?location=AL%20-%20Mobile%20South&saleDate=1773766800000&liveAuction=false&from=&yardNum=184"
"IL - Chicago North","https://www.copart.com/saleListResult/36/2026-03-17?location=IL%20-%20Chicago%20North&saleDate=1773766800000&liveAuction=false&from=&yardNum=36"
"KS - Kansas City","https://www.copart.com/saleListResult/369/2026-03-17?location=KS%20-%20Kansas%20City&saleDate=1773766800000&liveAuction=false&from=&yardNum=369"
"LA - Baton Rouge","https://www.copart.com/saleListResult/50/2026-03-17?location=LA%20-%20Baton%20Rouge&saleDate=1773766800000&liveAuction=false&from=&yardNum=50"
"MN - Minneapolis North","https://www.copart.com/saleListResult/80/2026-03-17?location=MN%20-%20Minneapolis%20North&saleDate=1773766800000&liveAuction=false&from=&yardNum=80"
"MO - Columbia","https://www.copart.com/saleListResult/125/2026-03-17?location=MO%20-%20Columbia&saleDate=1773766800000&liveAuction=false&from=&yardNum=125"
"MO - St. Louis","https://www.copart.com/saleListResult/20/2026-03-17?location=MO%20-%20St.%20Louis&saleDate=1773766800000&liveAuction=false&from=&yardNum=20"
"NE - Lincoln","https://www.copart.com/saleListResult/123/2026-03-17?location=NE%20-%20Lincoln&saleDate=1773766800000&liveAuction=false&from=&yardNum=123"
"OK - Oklahoma City","https://www.copart.com/saleListResult/18/2026-03-17?location=OK%20-%20Oklahoma%20City&saleDate=1773766800000&liveAuction=false&from=&yardNum=18"
"TN - Memphis","https://www.copart.com/saleListResult/22/2026-03-17?location=TN%20-%20Memphis&saleDate=1773766800000&liveAuction=false&from=&yardNum=22"
"TX - Amarillo","https://www.copart.com/saleListResult/95/2026-03-17?location=TX%20-%20Amarillo&saleDate=1773766800000&liveAuction=false&from=&yardNum=95"
"TX - Corpus Christi","https://www.copart.com/saleListResult/96/2026-03-17?location=TX%20-%20Corpus%20Christi&saleDate=1773766800000&liveAuction=false&from=&yardNum=96"
"TX - Ft. Worth","https://www.copart.com/saleListResult/98/2026-03-17?location=TX%20-%20Ft.%20Worth&saleDate=1773766800000&liveAuction=false&from=&yardNum=98"
"TX - Houston","https://www.copart.com/saleListResult/11/2026-03-17?location=TX%20-%20Houston&saleDate=1773766800000&liveAuction=false&from=&yardNum=11"
"WI - Madison South","https://www.copart.com/saleListResult/308/2026-03-17?location=WI%20-%20Madison%20South&saleDate=1773766800000&liveAuction=false&from=&yardNum=308"
"AB - Calgary","https://www.copart.com/saleListResult/203/2026-03-17?location=AB%20-%20Calgary&saleDate=1773770400000&liveAuction=false&from=&yardNum=203"
"CO - Denver","https://www.copart.com/saleListResult/68/2026-03-17?location=CO%20-%20Denver&saleDate=1773770400000&liveAuction=false&from=&yardNum=68"
"MT - Helena","https://www.copart.com/saleListResult/106/2026-03-17?location=MT%20-%20Helena&saleDate=1773770400000&liveAuction=false&from=&yardNum=106"
"SD - Rapid City","https://www.copart.com/saleListResult/396/2026-03-17?location=SD%20-%20Rapid%20City&saleDate=1773770400000&liveAuction=false&from=&yardNum=396"
"CA - Antelope","https://www.copart.com/saleListResult/151/2026-03-17?location=CA%20-%20Antelope&saleDate=1773774000000&liveAuction=false&from=&yardNum=151"
"CA - Hayward","https://www.copart.com/saleListResult/3/2026-03-17?location=CA%20-%20Hayward&saleDate=1773774000000&liveAuction=false&from=&yardNum=3"
"CA - Rancho Cucamonga","https://www.copart.com/saleListResult/97/2026-03-17?location=CA%20-%20Rancho%20Cucamonga&saleDate=1773774000000&liveAuction=false&from=&yardNum=97"
"CA - Sacramento","https://www.copart.com/saleListResult/2/2026-03-17?location=CA%20-%20Sacramento&saleDate=1773774000000&liveAuction=false&from=&yardNum=2"
"CA - Van Nuys","https://www.copart.com/saleListResult/43/2026-03-17?location=CA%20-%20Van%20Nuys&saleDate=1773774000000&liveAuction=false&from=&yardNum=43"
"NV - Las Vegas","https://www.copart.com/saleListResult/57/2026-03-17?location=NV%20-%20Las%20Vegas&saleDate=1773774000000&liveAuction=false&from=&yardNum=57"
"OR - Eugene","https://www.copart.com/saleListResult/104/2026-03-17?location=OR%20-%20Eugene&saleDate=1773774000000&liveAuction=false&from=&yardNum=104"
"WA - Spanaway","https://www.copart.com/saleListResult/337/2026-03-17?location=WA%20-%20Spanaway&saleDate=1773774000000&liveAuction=false&from=&yardNum=337"
"GA - Augusta","https://www.copart.com/saleListResult/359/2026-03-17?location=GA%20-%20Augusta&saleDate=1773756000000&liveAuction=false&from=&yardNum=359"
"OR - Eugene","https://www.copart.com/saleListResult/104/2026-03-17?location=OR%20-%20Eugene&saleDate=1773774000000&liveAuction=false&from=&yardNum=104"
"AB - Calgary","https://www.copart.com/saleListResult/203/2026-03-17?location=AB%20-%20Calgary&saleDate=1773770400000&liveAuction=false&from=&yardNum=203"
"CT - Hartford","https://www.copart.com/saleListResult/23/2026-03-17?location=CT%20-%20Hartford&saleDate=1773756000000&liveAuction=false&from=&yardNum=23"
"FL - West Palm Beach","https://www.copart.com/saleListResult/70/2026-03-17?location=FL%20-%20West%20Palm%20Beach&saleDate=1773756000000&liveAuction=false&from=&yardNum=70"
"TX - Ft. Worth","https://www.copart.com/saleListResult/98/2026-03-17?location=TX%20-%20Ft.%20Worth&saleDate=1773766800000&liveAuction=false&from=&yardNum=98"
"Wholesale Auction","https://www.copart.com/saleListResult/855/2026-03-17?location=Wholesale%20Auction&saleDate=1773763200000&liveAuction=false&from=&yardNum=855"
"MI - Detroit","https://www.copart.com/saleListResult/61/2026-03-17?location=MI%20-%20Detroit&saleDate=1773756000000&liveAuction=false&from=&yardNum=61"
"KS - Kansas City","https://www.copart.com/saleListResult/369/2026-03-17?location=KS%20-%20Kansas%20City&saleDate=1773766800000&liveAuction=false&from=&yardNum=369"
"NH - Candia","https://www.copart.com/saleListResult/155/2026-03-17?location=NH%20-%20Candia&saleDate=1773756000000&liveAuction=false&from=&yardNum=155"
"CA - Antelope","https://www.copart.com/saleListResult/151/2026-03-17?location=CA%20-%20Antelope&saleDate=1773774000000&liveAuction=false&from=&yardNum=151"
"CA - Sacramento","https://www.copart.com/saleListResult/2/2026-03-17?location=CA%20-%20Sacramento&saleDate=1773774000000&liveAuction=false&from=&yardNum=2"
"DC - Washington DC","https://www.copart.com/saleListResult/32/2026-03-17?location=DC%20-%20Washington%20DC&saleDate=1773756000000&liveAuction=false&from=&yardNum=32"
"FL - Ocala","https://www.copart.com/saleListResult/108/2026-03-17?location=FL%20-%20Ocala&saleDate=1773756000000&liveAuction=false&from=&yardNum=108"
"TN - Memphis","https://www.copart.com/saleListResult/22/2026-03-17?location=TN%20-%20Memphis&saleDate=1773766800000&liveAuction=false&from=&yardNum=22"
"OK - Oklahoma City","https://www.copart.com/saleListResult/18/2026-03-17?location=OK%20-%20Oklahoma%20City&saleDate=1773766800000&liveAuction=false&from=&yardNum=18"
"AL - Mobile South","https://www.copart.com/saleListResult/184/2026-03-17?location=AL%20-%20Mobile%20South&saleDate=1773766800000&liveAuction=false&from=&yardNum=184"
"CA - Van Nuys","https://www.copart.com/saleListResult/43/2026-03-17?location=CA%20-%20Van%20Nuys&saleDate=1773774000000&liveAuction=false&from=&yardNum=43"
"TX - Amarillo","https://www.copart.com/saleListResult/95/2026-03-17?location=TX%20-%20Amarillo&saleDate=1773766800000&liveAuction=false&from=&yardNum=95"
"NV - Las Vegas","https://www.copart.com/saleListResult/57/2026-03-17?location=NV%20-%20Las%20Vegas&saleDate=1773774000000&liveAuction=false&from=&yardNum=57"
"MN - Minneapolis North","https://www.copart.com/saleListResult/80/2026-03-17?location=MN%20-%20Minneapolis%20North&saleDate=1773766800000&liveAuction=false&from=&yardNum=80"
"CA - Hayward","https://www.copart.com/saleListResult/3/2026-03-17?location=CA%20-%20Hayward&saleDate=1773774000000&liveAuction=false&from=&yardNum=3"
"NJ - Glassboro East","https://www.copart.com/saleListResult/31/2026-03-17?location=NJ%20-%20Glassboro%20East&saleDate=1773756000000&liveAuction=false&from=&yardNum=31"
"FL - Tampa South","https://www.copart.com/saleListResult/34/2026-03-17?location=FL%20-%20Tampa%20South&saleDate=1773756000000&liveAuction=false&from=&yardNum=34"
"MO - St. Louis","https://www.copart.com/saleListResult/20/2026-03-17?location=MO%20-%20St.%20Louis&saleDate=1773766800000&liveAuction=false&from=&yardNum=20"
"TN - Knoxville","https://www.copart.com/saleListResult/114/2026-03-17?location=TN%20-%20Knoxville&saleDate=1773756000000&liveAuction=false&from=&yardNum=114"
