Mekan,URL
"Atlantic Canada Auction","https://www.copart.com/saleListResult/295/2026-03-26?location=Atlantic%20Canada%20Auction&saleDate=1774540800000&liveAuction=false&from=&yardNum=295"
"Wholesale Auction","https://www.copart.com/saleListResult/855/2026-03-26?location=Wholesale%20Auction&saleDate=1774540800000&liveAuction=false&from=&yardNum=855"
"CrashedToys Powersport Auction","https://www.copart.com/saleListResult/841/2026-03-26?location=%20CrashedToys%20Powersport%20Auction&saleDate=1774544400000&liveAuction=false&from=&yardNum=841"
"TN - Memphis","https://www.copart.com/saleListResult/22/2026-03-26?location=TN%20-%20Memphis&saleDate=1774544400000&liveAuction=false&from=&yardNum=22"
"CA - Hayward","https://www.copart.com/saleListResult/3/2026-03-26?location=CA%20-%20Hayward&saleDate=1774551600000&liveAuction=false&from=&yardNum=3"
"CrashedToys Powersport Auction","https://www.copart.com/saleListResult/841/2026-03-26?location=%20CrashedToys%20Powersport%20Auction&saleDate=1774544400000&liveAuction=false&from=&yardNum=841"
"Wholesale Auction","https://www.copart.com/saleListResult/855/2026-03-26?location=Wholesale%20Auction&saleDate=1774540800000&liveAuction=false&from=&yardNum=855"
"TN - Memphis","https://www.copart.com/saleListResult/22/2026-03-26?location=TN%20-%20Memphis&saleDate=1774544400000&liveAuction=false&from=&yardNum=22"
"CA - Hayward","https://www.copart.com/saleListResult/3/2026-03-26?location=CA%20-%20Hayward&saleDate=1774551600000&liveAuction=false&from=&yardNum=3"
"Atlantic Canada Auction","https://www.copart.com/saleListResult/295/2026-03-26?location=Atlantic%20Canada%20Auction&saleDate=1774540800000&liveAuction=false&from=&yardNum=295"
