Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/95440765/salvage-2024-audi-a4-komfort-45-ab-calgary,95440765,"38,741 USD",03/17/2026 10:00 pm GMT+4,2024,AUDI,A4,2.0L  4,4,WAUAAAF48RN014341,BOS - SALVAGE,"6,381 N",NOT ACTUAL,UNDERCARRIAGE,775 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/94815075/salvage-2007-subaru-impreza-2-5i-ab-calgary,94815075,"3,938 USD",03/17/2026 10:00 pm GMT+4,2007,SUBA,IMPREZA,2.5L  4,4,JF1GG61647G813235,BOS - SALVAGE,"187,437 E",EXEMPT,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/85093235/salvage-2019-toyota-rav4-xle-ab-calgary,85093235,"28,416 USD",03/17/2026 10:00 pm GMT+4,2019,TOYT,RAV4,2.5L  4,4,2T3R1RFV2KW031339,BOS - SALVAGE,"171,243 N",NOT ACTUAL,FRONT END,225 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/84787685/salvage-2018-nissan-altima-2-5-ab-calgary,84787685,"15,113 USD",03/17/2026 10:00 pm GMT+4,2018,NISS,ALTIMA,2.5L  4,4,1N4AL3AP6JC148457,BOS - SALVAGE,"125,904 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/78892295/salvage-2018-gmc-terrain-slt-ab-calgary,78892295,"18,717 USD",03/17/2026 10:00 pm GMT+4,2018,GMC,TERRAIN,2.0L 4,4,3GKALVEX7JL159556,BOS - SALVAGE,"154,114 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/78727315/clean-title-2017-key-stone-bullet-ult-ab-calgary,78727315,$1 USD,03/17/2026 10:00 pm GMT+4,2017,GGV5,BULLET ULT,,,4YDT19F23HD427066,BOS - ACTIVE,0 N,NOT ACTUAL,NORMAL WEAR,"5,000 USD",0 USD,0,AB - CALGARY,4.1,N/A,N/A
https://www.copart.com/lot/78724165/salvage-2014-dodge-journey-sxt-ab-calgary,78724165,"7,560 USD",03/17/2026 10:00 pm GMT+4,2014,DODG,JOURNEY,3.6L  6,6,3C4PDCCG6ET134194,BOS - SALVAGE,"132,723 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/78699185/salvage-2018-toyota-prius-prime-ab-calgary,78699185,"18,002 USD",03/17/2026 10:00 pm GMT+4,2018,TOYT,PRIUS PRIME,1.8L  4,4,JTDKARFP3J3083776,BOS - SALVAGE,"255,444 N",NOT ACTUAL,REAR END,200 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/78645525/clean-title-2020-mazda-3-preferred-ab-calgary,78645525,$1 USD,03/17/2026 10:00 pm GMT+4,2020,MAZD,3,2.5L  4,4,JM1BPAMM1L1166534,BOS - ACTIVE,"129,227 A",ACTUAL,TOP/ROOF,"3,250 USD",0 USD,0,AB - CALGARY,2.7,N/A,Other
https://www.copart.com/lot/78426785/clean-title-2019-ram-1500-rebel-ab-calgary,78426785,$1 USD,03/17/2026 10:00 pm GMT+4,2019,RAM,1500,5.7L  8,8,1C6SRFLT3KN720042,BOS - ACTIVE,"176,426 N",NOT ACTUAL,SIDE,250 USD,0 USD,0,AB - CALGARY,2.6,N/A,Safety
https://www.copart.com/lot/78426115/clean-title-2017-gmc-yukon-xl-k1500-sle-ab-calgary,78426115,$1 USD,03/17/2026 10:00 pm GMT+4,2017,GMC,YUKON XL,5.3L  8,8,1GKS2FKC0HR118140,BOS - ACTIVE,"295,039 A",ACTUAL,FRONT END,"1,600 USD",0 USD,0,AB - CALGARY,3.5,N/A,Emission
https://www.copart.com/lot/77619415/salvage-2015-nissan-rogue-s-ab-calgary,77619415,"15,898 USD",03/17/2026 10:00 pm GMT+4,2015,NISS,ROGUE,2.5L  4,4,5N1AT2MV2FC844816,BOS - SALVAGE,"64,789 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/77520955/salvage-2008-lexus-is-350-ab-calgary,77520955,"11,750 USD",03/17/2026 10:00 pm GMT+4,2008,LEXS,IS,3.5L  6,6,JTHBE262785020399,BOS - SALVAGE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/77421705/salvage-2017-infinity-qx60-ab-calgary,77421705,"16,678 USD",03/17/2026 10:00 pm GMT+4,2017,INFI,QX60,3.5L  6,6,5N1DL0MM5HC512218,BOS - SALVAGE,"195,992 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/76932235/salvage-2017-ram-1500-st-ab-calgary,76932235,"15,791 USD",03/17/2026 10:00 pm GMT+4,2017,RAM,1500,5.7L  8,8,1C6RR7FT2HS737277,BOS - SALVAGE,"195,190 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/76912755/salvage-2014-chevrolet-cruze-lt-ab-calgary,76912755,"7,732 USD",03/17/2026 10:00 pm GMT+4,2014,CHEV,CRUZE,1.4L  4,4,1G1PC5SB3E7370626,BOS - SALVAGE,"134,854 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/76891855/salvage-2002-honda-civic-lx-ab-calgary,76891855,"5,082 USD",03/17/2026 10:00 pm GMT+4,2002,HOND,CIVIC,1.7L  4,4,1HGEM22502L813162,BOS - SALVAGE,"284,655 E",EXEMPT,FRONT END,0 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/75606345/salvage-2020-jeep-grand-cherokee-limited-ab-calgary,75606345,"22,259 USD",03/17/2026 10:00 pm GMT+4,2020,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJFBG9LC193379,BOS - SALVAGE,"176,150 N",NOT ACTUAL,VANDALISM,200 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/73749025/clean-title-2008-stingray-boat-ab-calgary,73749025,"15,000 USD",03/17/2026 10:00 pm GMT+4,2008,STNG,BOAT,,,PNYUS2M9N708,OOP - ACTIVE,0 E,EXEMPT,MINOR DENT/SCRATCHES,300 USD,0 USD,0,AB - CALGARY,0,N/A,N/A
https://www.copart.com/lot/72864335/salvage-2024-volkswagen-taos-se-ab-calgary,72864335,"29,001 USD",03/17/2026 10:00 pm GMT+4,2024,VOLK,TAOS,1.5L  4,4,3VVVX7B23RM005195,PERMIT SALVAGE,"39,408 N",NOT ACTUAL,REAR END,"2,050 USD",0 USD,0,AB - CALGARY,0,N/A,N/A
