Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99635965/salvage-2012-acura-tsx-tech-al-mobile,99635965,"7,174 USD",03/16/2026 09:00 pm GMT+4,2012,ACUR,TSX,2.4L 4,4,JH4CU2F63CC008670,CERT OF TITLE-SALVAGE TITLE,"162,037 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99626045/salvage-2018-hyundai-elantra-sel-al-mobile,99626045,"10,505 USD",03/16/2026 09:00 pm GMT+4,2018,HYUN,ELANTRA,2.0L  4,4,5NPD84LF2JH391092,CERT OF TITLE-SALVAGE TITLE,"122,842 N",NOT ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99534765/salvage-2004-porsche-boxster-s-al-mobile,99534765,"16,972 USD",03/16/2026 09:00 pm GMT+4,2004,PORS,BOXSTER,3.2L  6,6,WP0CB29804S660416,CERT OF TITLE-SALVAGE TITLE,0 E,EXEMPT,WATER/FLOOD,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99514065/salvage-2016-dodge-challenger-rt-al-mobile,99514065,"11,151 USD",03/16/2026 09:00 pm GMT+4,2016,DODG,CHALLENGER,5.7L  8,8,2C3CDZBT4GH300681,SALVAGE CERTIFICATE OF TITLE,"155,152 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99349245/salvage-2022-toyota-tacoma-access-cab-al-mobile,99349245,"23,471 USD",03/16/2026 09:00 pm GMT+4,2022,TOYT,TACOMA,2.7L  4,4,3TYRX5GN5NT038513,CERT OF TITLE-SALVAGE TITLE,"63,608 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99340535/salvage-2016-nissan-rogue-s-al-mobile,99340535,"8,699 USD",03/16/2026 09:00 pm GMT+4,2016,NISS,ROGUE,2.5L  4,4,KNMAT2MT6GP603189,CERT OF TITLE-SALVAGED,"122,578 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99280905/salvage-1993-toyota-4runner-vn39-sr5-al-mobile,99280905,"11,191 USD",03/16/2026 09:00 pm GMT+4,1993,TOYT,4RUNNER,3.0L  6,6,JT3VN39W7P0109229,CERT OF TITLE-SALVAGE TITLE,"310,409 E",EXEMPT,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99134665/salvage-2018-gmc-yukon-slt-al-mobile,99134665,"22,407 USD",03/16/2026 09:00 pm GMT+4,2018,GMC,YUKON,5.3L  8,8,1GKS1BKC1JR233038,CERT OF TITLE-SALVAGE TITLE,"184,269 N",NOT ACTUAL,FRONT END,900 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99125765/salvage-2012-toyota-tacoma-v6-al-mobile,99125765,"14,489 USD",03/16/2026 09:00 pm GMT+4,2012,TOYT,TACOMA,4.0L 6,6,5TFLU4EN7CX047177,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/99100605/salvage-2021-lexus-lc-500-al-mobile,99100605,"85,810 USD",03/16/2026 09:00 pm GMT+4,2021,LEXS,LC,5.0L  8,8,JTHKPAAY6MA102741,CERT OF TITLE-SALVAGE TITLE,"7,780 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
