Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/95878495/salvage-2016-nissan-sentra-s-al-mobile-south,95878495,"8,732 USD",03/17/2026 09:00 pm GMT+4,2016,NISS,SENTRA,1.8L  4,4,3N1AB7AP2GY299593,CERT OF TITLE SLVG REBUILDABLE,"120,363 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/92793145/salvage-2014-toyota-avalon-base-al-mobile-south,92793145,"14,100 USD",03/17/2026 09:00 pm GMT+4,2014,TOYT,AVALON,3.5L  6,6,4T1BK1EB2EU080125,CERT OF TITLE-SALVAGE TITLE,"57,898 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/79223905/clean-title-2017-audi-q7-premium-plus-al-mobile-south,79223905,$1 USD,03/17/2026 09:00 pm GMT+4,2017,AUDI,Q7,3.0L 6,6,WA1LAAF70HD019716,CERTIFICATE OF TITLE (P),"148,230 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/79223605/clean-title-2017-nissan-armada-sv-al-mobile-south,79223605,$1 USD,03/17/2026 09:00 pm GMT+4,2017,NISS,ARMADA,5.6L 8,8,JN8AY2ND9H9007237,CERTIFICATE OF TITLE (P),"119,865 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/79125125/clean-title-2011-dodge-ram-1500-al-mobile-south,79125125,$1 USD,03/17/2026 09:00 pm GMT+4,2011,DODG,RAM 1500,5.7L 8,8,1D7RB1CT3BS567572,CERTIFICATE OF TITLE,"158,896 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/78921355/2010-toyota-corolla-le-al-mobile-south,78921355,"6,082 USD",03/17/2026 09:00 pm GMT+4,2010,TOYT,COROLLA,1.8L 4,4,2T1BU4EE0AC341687,CERTIFICATE OF DESTRUCTION,"166,840 E",EXEMPT,REAR END,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/77958015/salvage-2020-honda-hr-v-ex-al-mobile-south,77958015,"16,971 USD",03/17/2026 09:00 pm GMT+4,2020,HOND,HR-V,1.8L  4,4,3CZRU6H58LM703002,CERT OF TITLE-SALVAGE TITLE,"69,031 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/77799565/clean-title-2011-ford-f250-super-duty-al-mobile-south,77799565,$1 USD,03/17/2026 09:00 pm GMT+4,2011,FORD,F250,6.7L  8,8,1FT7X2AT6BED09346,CERTIFICATE OF TITLE,"291,927 A",ACTUAL,MINOR DENT/SCRATCHES,550 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/77605485/salvage-2002-cadillac-deville-al-mobile-south,77605485,"3,137 USD",03/17/2026 09:00 pm GMT+4,2002,CADI,DEVILLE,4.6L  8,8,1G6KD54Y62U185034,CERT OF TITLE SLVG REBUILDABLE,"146,889 E",EXEMPT,SIDE,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/76748395/2021-kia-forte-al-mobile-south,76748395,"12,772 USD",03/17/2026 09:00 pm GMT+4,2021,KIA,FORTE,2.0L  4,4,3KPF24AD0ME359679,CERTIFICATE OF DESTRUCTION,"76,127 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE SOUTH,0,N/A,N/A
