Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99989315/salvage-2019-nissan-versa-s-ar-little-rock,99989315,"11,276 USD",03/16/2026 09:00 pm GMT+4,2019,NISS,VERSA,1.6L  4,4,3N1CN7AP6KL837847,CERT OF TITLE-SALVAGE,"37,887 A",ACTUAL,FRONT END,"1,150 USD",0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99884135/salvage-2012-toyota-camry-se-ar-little-rock,99884135,"5,603 USD",03/16/2026 09:00 pm GMT+4,2012,TOYT,CAMRY,2.5L 4,4,4T1BF1FK9CU554085,CERT OF TITLE-SALVAGE,"202,922 A",ACTUAL,FRONT END,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99845585/clean-title-2016-jeep-cherokee-latitude-ar-little-rock,99845585,"12,813 USD",03/16/2026 09:00 pm GMT+4,2016,JEP,CHEROKEE,2.4L  4,4,1C4PJLCBXGW295271,CERTIFICATE OF TITLE,"108,998 A",ACTUAL,FRONT END,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99805025/salvage-2023-lexus-is-350-f-sport-design-ar-little-rock,99805025,"40,669 USD",03/16/2026 09:00 pm GMT+4,2023,LEXS,IS,3.5L  6,6,JTHGZ1B21P5063855,CERT OF TITLE-SALVAGE,"24,259 A",ACTUAL,ALL OVER,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99794635/salvage-2022-ford-f150-supercrew-ar-little-rock,99794635,"33,610 USD",03/16/2026 09:00 pm GMT+4,2022,FORD,F150,5.0L  8,8,1FTFW1E5XNKE73533,CERT OF TITLE-SALVAGE,"105,575 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99713745/clean-title-2003-toyota-corolla-ce-ar-little-rock,99713745,"3,743 USD",03/16/2026 09:00 pm GMT+4,2003,TOYT,COROLLA,1.8L  4,4,1NXBR32E13Z177576,CERTIFICATE OF TITLE,"207,079 E",EXEMPT,ALL OVER,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99620895/salvage-2020-jeep-cherokee-latitude-plus-ar-little-rock,99620895,"13,438 USD",03/16/2026 09:00 pm GMT+4,2020,JEP,CHEROKEE,2.4L  4,4,1C4PJLLB0LD614215,CERT OF TITLE-SALVAGE,"136,608 A",ACTUAL,FRONT END,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99570725/salvage-2025-hyundai-santa-fe-sel-ar-little-rock,99570725,"31,382 USD",03/16/2026 09:00 pm GMT+4,2025,HYUN,SANTA FE,2.5L  4,4,5NMP24GL9SH125923,CERT OF TITLE-SALVAGE,"18,783 A",ACTUAL,FRONT END,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99541335/clean-title-2025-kia-k4-gt-line-ar-little-rock,99541335,"25,173 USD",03/16/2026 09:00 pm GMT+4,2025,KIA,K4,2.0L  4,4,3KPFW4DEXSE167224,CERTIFICATE OF TITLE,"12,745 A",ACTUAL,SIDE,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
https://www.copart.com/lot/99476375/salvage-2023-kia-telluride-s-ar-little-rock,99476375,"26,624 USD",03/16/2026 09:00 pm GMT+4,2023,KIA,TELLURIDE,3.8L  6,6,5XYP64GC5PG378470,CERT OF TITLE-SALVAGE,"90,953 A",ACTUAL,FRONT END,0 USD,0 USD,0,AR - LITTLE ROCK,0,N/A,N/A
