Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99884015/salvage-2020-ford-mustang-ca-adelanto,99884015,"18,710 USD",03/16/2026 11:00 pm GMT+4,2020,FORD,MUSTANG,2.3L  4,4,1FA6P8TH5L5150706,SALVAGE CERTIFICATE,"64,542 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99866165/salvage-2023-honda-hr-v-lx-ca-adelanto,99866165,"18,661 USD",03/16/2026 11:00 pm GMT+4,2023,HOND,HR-V,2.0L  4,4,3CZRZ1H33PM715244,SALVAGE CERTIFICATE,"83,705 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99859165/salvage-2015-mazda-cx-5-touring-ca-adelanto,99859165,"10,852 USD",03/16/2026 11:00 pm GMT+4,2015,MAZD,CX-5,2.5L  4,4,JM3KE2CY2F0518179,SALVAGE CERTIFICATE,"196,634 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99720425/salvage-2017-infiniti-q50-premium-ca-adelanto,99720425,"13,101 USD",03/16/2026 11:00 pm GMT+4,2017,INFI,Q50,3.0L  6,6,JN1EV7AP4HM736989,SALVAGE CERTIFICATE,"109,721 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99561175/salvage-2025-mazda-cx-5-preferred-ca-adelanto,99561175,"27,059 USD",03/16/2026 11:00 pm GMT+4,2025,MAZD,CX-5,2.5L  4,4,JM3KFBCM0S0691770,SALVAGE CERTIFICATE,"10,509 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99558975/salvage-2015-jeep-patriot-sport-ca-adelanto,99558975,"9,840 USD",03/16/2026 11:00 pm GMT+4,2015,JEP,PATRIOT,2.0L  4,4,1C4NJPBA2FD106971,SALVAGE CERTIFICATE,"69,232 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99557505/salvage-2019-mazda-cx-5-signature-ca-adelanto,99557505,"16,780 USD",03/16/2026 11:00 pm GMT+4,2019,MAZD,CX-5,2.5L  4,4,JM3KFBEY9K0593451,SALVAGE CERTIFICATE,"165,696 A",ACTUAL,FRONT END,200 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99552795/salvage-2016-honda-civic-ca-adelanto,99552795,"14,151 USD",03/16/2026 11:00 pm GMT+4,2016,HOND,CIVIC,2.0L  4,4,2HGFC2F54GH542970,SALVAGE CERTIFICATE,"103,909 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99550615/salvage-2022-chrysler-300-touring-ca-adelanto,99550615,"23,229 USD",03/16/2026 11:00 pm GMT+4,2022,CHRY,300,3.6L  6,6,2C3CCAAG1NH167917,SALVAGE CERTIFICATE,"29,290 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99533765/salvage-2025-genesis-gv80-2-5t-prestige-ca-adelanto,99533765,"57,144 USD",03/16/2026 11:00 pm GMT+4,2025,GENS,GV80,2.5L 4,4,KMUHCESB5SU227764,SALVAGE CERTIFICATE,"38,585 A",ACTUAL,WATER/FLOOD,"2,700 USD",0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99532385/salvage-2008-mitsubishi-lancer-evolution-gsr-ca-adelanto,99532385,"22,494 USD",03/16/2026 11:00 pm GMT+4,2008,MITS,LANCER,2.0L  4,4,JA3AW86V48U050410,SALVAGE CERTIFICATE,"138,108 A",ACTUAL,FRONT END,550 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99513015/salvage-2013-volkswagen-jetta-base-ca-adelanto,99513015,"4,906 USD",03/16/2026 11:00 pm GMT+4,2013,VOLK,JETTA,2.0L  4,4,3VW2K7AJ5DM420985,SALVAGE CERTIFICATE,"159,658 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99470725/salvage-2014-toyota-corolla-l-ca-adelanto,99470725,"8,857 USD",03/16/2026 11:00 pm GMT+4,2014,TOYT,COROLLA,1.8L  4,4,2T1BURHE1EC001513,SALVAGE CERTIFICATE,"155,471 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99372775/salvage-2019-toyota-corolla-l-ca-adelanto,99372775,"14,255 USD",03/16/2026 11:00 pm GMT+4,2019,TOYT,COROLLA,1.8L  4,4,5YFBURHE6KP881975,SALVAGE CERTIFICATE,"91,877 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99165625/salvage-2019-honda-hr-v-sport-ca-adelanto,99165625,"13,559 USD",03/16/2026 11:00 pm GMT+4,2019,HOND,HR-V,1.8L  4,4,3CZRU5H12KG712279,SALVAGE CERTIFICATE,"172,693 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99161355/clean-title-2003-volkswagen-passat-glx-ca-adelanto,99161355,$1 USD,03/16/2026 11:00 pm GMT+4,2003,VOLK,PASSAT,2.8L  6,6,WVWRH63B43P254631,DIS/DLR/EXP ONLY CLEAN TITLE,"80,692 A",ACTUAL,SIDE,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99134965/salvage-2014-chevrolet-malibu-ls-ca-adelanto,99134965,"5,654 USD",03/16/2026 11:00 pm GMT+4,2014,CHEV,MALIBU,2.5L  4,4,1G11B5SL5EF231430,SALVAGE CERTIFICATE,"147,483 A",ACTUAL,FRONT END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/99068325/salvage-2020-honda-passport-exl-ca-adelanto,99068325,"23,003 USD",03/16/2026 11:00 pm GMT+4,2020,HOND,PASSPORT,3.5L  6,6,5FNYF8H54LB017700,SALVAGE CERTIFICATE,"62,589 A",ACTUAL,REAR END,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
