Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99901135/salvage-2016-infiniti-qx60-base-co-colorado-springs,99901135,"13,990 USD",03/16/2026 10:00 pm GMT+4,2016,INFI,QX60,3.5L  6,6,5N1AL0MM8GC531962,SALVAGE TITLE,"92,832 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/99885155/salvage-2017-subaru-legacy-sport-co-colorado-springs,99885155,"14,930 USD",03/16/2026 10:00 pm GMT+4,2017,SUBA,LEGACY,2.5L  4,4,4S3BNAR66H3026037,SALVAGE CERTIFICATE OF TITLE,"72,780 A",ACTUAL,SIDE,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/99764215/salvage-2017-infinity-q60-premium-co-colorado-springs,99764215,"3,178 USD",03/16/2026 10:00 pm GMT+4,2017,INFI,Q60,3.0L  6,6,JN1EV7EK5HM363315,DIS/DLR/EXP ONLY SALVAGE TITLE,"97,445 A",ACTUAL,MECHANICAL,325 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/99729365/salvage-2014-toyota-camry-l-co-colorado-springs,99729365,"6,886 USD",03/16/2026 10:00 pm GMT+4,2014,TOYT,CAMRY,2.5L  4,4,4T1BF1FK3EU853462,SALVAGE TITLE,"188,758 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/99504125/salvage-2015-honda-accord-exl-co-colorado-springs,99504125,"14,606 USD",03/16/2026 10:00 pm GMT+4,2015,HOND,ACCORD,3.5L  6,6,1HGCT2B8XFA009442,SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/98916175/salvage-2020-jeep-gladiator-rubicon-co-colorado-springs,98916175,"37,575 USD",03/16/2026 10:00 pm GMT+4,2020,JEP,GLADIATOR,3.6L  6,6,1C6JJTBG5LL135708,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,ROLLOVER,"2,000 USD",0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/98882065/salvage-2005-ford-mustang-co-colorado-springs,98882065,"7,004 USD",03/16/2026 10:00 pm GMT+4,2005,FORD,MUSTANG,4.0L  6,6,1ZVFT84N555186907,SALVAGE TITLE,"125,742 E",EXEMPT,REAR END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/98698215/salvage-2004-gmc-k1500-co-colorado-springs,98698215,"10,206 USD",03/16/2026 10:00 pm GMT+4,2004,GMC,K1500,5.3L  8,8,1GTEK19T54E180684,SALVAGE TITLE,"175,536 E",EXEMPT,FRONT END,275 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/98162045/salvage-2022-honda-accord-co-colorado-springs,98162045,"24,418 USD",03/16/2026 10:00 pm GMT+4,2022,HOND,ACCORD,1.5L  4,4,1HGCV1F3XNA059551,SALVAGE TITLE,"52,735 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/98045565/salvage-2024-chrysler-pacifica-touring-l-co-colorado-springs,98045565,"32,337 USD",03/16/2026 10:00 pm GMT+4,2024,CHRY,PACIFICA,3.6L  6,6,2C4RC1BG5RR168430,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/97802595/clean-title-2009-cadillac-escalade-esv-luxury-co-colorado-springs,97802595,"10,450 USD",03/16/2026 10:00 pm GMT+4,2009,CADI,ESCALADE,6.2L  8,8,1GYFK26239R204125,CERTIFICATE OF TITLE,"206,117 A",ACTUAL,MECHANICAL,500 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/97538935/salvage-2021-honda-pilot-exl-co-colorado-springs,97538935,"23,410 USD",03/16/2026 10:00 pm GMT+4,2021,HOND,PILOT,3.5L  6,6,5FNYF5H54MB007250,SALVAGE TITLE,"84,391 A",ACTUAL,FRONT END,"6,000 USD",0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/97488935/clean-title-2024-maxey-dump-trailer-co-colorado-springs,97488935,$1 USD,03/16/2026 10:00 pm GMT+4,2024,MXPB,UNKNOWN,,,5R8BD1427RM116762,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/97451765/clean-title-2016-ford-escape-se-co-colorado-springs,97451765,"8,147 USD",03/16/2026 10:00 pm GMT+4,2016,FORD,ESCAPE,1.6L  4,4,1FMCU0GX2GUA09303,DIS/DLR/EXP ONLY CLEAN TITLE,"109,396 A",ACTUAL,SIDE,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/96100465/salvage-2011-toyota-rav4-co-colorado-springs,96100465,"7,677 USD",03/16/2026 10:00 pm GMT+4,2011,TOYT,RAV4,2.5L  4,4,2T3BF4DV7BW144311,SALVAGE TITLE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/96082945/salvage-2006-lexus-gx-470-co-colorado-springs,96082945,"10,308 USD",03/16/2026 10:00 pm GMT+4,2006,LEXS,GX,4.7L  8,8,JTJBT20X360101368,DIS/DLR/EXP ONLY SALVAGE TITLE,"221,704 E",EXEMPT,TOP/ROOF,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/94911875/clean-title-2021-mitsubishi-outlander-sport-es-co-colorado-springs,94911875,$1 USD,03/16/2026 10:00 pm GMT+4,2021,MITS,OUTLANDER SPORT,2.0L  4,4,JA4ARUAU9MU002549,DEALER ONLY CLEAN TITLE,0 N,NOT ACTUAL,FRAME DAMAGE,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/94274285/salvage-2024-ford-mustang-co-colorado-springs,94274285,"35,467 USD",03/16/2026 10:00 pm GMT+4,2024,FORD,MUSTANG,2.3L  4,4,1FA6P8THXR5101039,SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/92449775/salvage-2022-honda-accord-sport-co-colorado-springs,92449775,"22,292 USD",03/16/2026 10:00 pm GMT+4,2022,HOND,ACCORD,1.5L  4,4,1HGCV1F39NA048900,SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,350 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/85721125/salvage-2020-chevrolet-equinox-lt-co-colorado-springs,85721125,"15,119 USD",03/16/2026 10:00 pm GMT+4,2020,CHEV,EQUINOX,1.5L  4,4,2GNAXTEV8L6233519,SALVAGE TITLE,"122,315 A",ACTUAL,REAR END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/85695555/salvage-2016-land-rover-discovery-sport-hse-luxury-co-colorado-springs,85695555,"14,100 USD",03/16/2026 10:00 pm GMT+4,2016,LAND,DISCOVERY SPORT,2.0L  4,4,SALCT2BG7GH610637,SALVAGE TITLE,"105,149 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/82562495/salvage-2015-honda-pilot-exl-co-colorado-springs,82562495,"15,770 USD",03/16/2026 10:00 pm GMT+4,2015,HOND,PILOT,3.5L  6,6,5FNYF4H50FB032188,SALVAGE TITLE,"109,615 A",ACTUAL,SIDE,275 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
https://www.copart.com/lot/79683895/clean-title-2015-ram-1500-slt-co-colorado-springs,79683895,"1,700 USD",03/16/2026 10:00 pm GMT+4,2015,RAM,1500,5.7L 8,8,1C6RR7LT8FS715687,DIS/DLR/EXP ONLY CLEAN TITLE,"164,740 A",ACTUAL,HAIL,0 USD,0 USD,0,CO - COLORADO SPRINGS,0,N/A,N/A
