Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99652845/salvage-2018-dodge-durango-gt-ct-hartford,99652845,"17,471 USD",03/17/2026 06:00 pm GMT+4,2018,DODG,DURANGO,3.6L 6,6,1C4RDJDG1JC490649,CERT OF TITLE-SALVAGE,"99,840 A",ACTUAL,FRONT END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/99101415/salvage-2021-kia-sedona-ex-ct-hartford,99101415,"15,643 USD",03/17/2026 06:00 pm GMT+4,2021,KIA,SEDONA,3.3L 6,6,KNDMB5C17M6673335,CERT OF TITLE-SALVAGE,"99,034 A",ACTUAL,SIDE,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/93526345/salvage-2022-volkswagen-jetta-sport-ct-hartford,93526345,"15,724 USD",03/17/2026 06:00 pm GMT+4,2022,VOLK,JETTA,1.5L 4,4,3VWBM7BU9NM012297,CERT OF TITLE-SALVAGE,"70,398 A",ACTUAL,REAR END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/93464485/2018-bmw-m240i-ct-hartford,93464485,"25,638 USD",03/17/2026 06:00 pm GMT+4,2018,BMW,M240I,3.0L 6,6,WBA2J5C52JVC07259,CERT OF TITLE-PARTS ONLY SALVA,0 N,NOT ACTUAL,REAR END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/91615575/salvage-2023-audi-q8-premium-plus-s-line-ct-hartford,91615575,"52,658 USD",03/17/2026 06:00 pm GMT+4,2023,AUDI,Q8,3.0L 6,6,WA1EVBF16PD049929,CERT OF TITLE-SALVAGE,"28,898 A",ACTUAL,SIDE,600 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/90345125/salvage-2020-gmc-sierra-2500-hd-slt-c-ct-hartford,90345125,"54,182 USD",03/17/2026 06:00 pm GMT+4,2020,GMC,SIERRA,6.6L 8,8,1GT49NEYXLF127004,CERT OF TITLE-SALVAGE,"55,342 A",ACTUAL,FRONT END,125 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/86820945/salvage-2019-toyota-camry-le-ct-hartford,86820945,"18,924 USD",03/17/2026 06:00 pm GMT+4,2019,TOYT,CAMRY,2.5L 4,4,4T1B11HK4KU826133,CERT OF TITLE-SALVAGE,"62,912 A",ACTUAL,SIDE,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/79741805/salvage-2017-mercedes-benz-c-300-4matic-ct-hartford,79741805,"17,296 USD",03/17/2026 06:00 pm GMT+4,2017,MERZ,C,2.0L 4,4,55SWF4KB9HU221218,CERT OF TITLE-SALVAGE,"77,614 A",ACTUAL,REAR END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/78984485/salvage-2020-mazda-6-touring-ct-hartford,78984485,"21,502 USD",03/17/2026 06:00 pm GMT+4,2020,MAZD,6,2.5L 4,4,JM1GL1VM0L1515134,CERT OF TITLE-SALVAGE,"12,465 A",ACTUAL,FRONT END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/78464515/salvage-2020-ford-expedition-xlt-ct-hartford,78464515,"29,114 USD",03/17/2026 06:00 pm GMT+4,2020,FORD,EXPEDITION,3.5L 6,6,1FMJU1JTXLEA00324,CERT OF TITLE-SALVAGE,"52,214 A",ACTUAL,FRONT END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/77687215/salvage-2017-subaru-crosstrek-limited-ct-hartford,77687215,"17,585 USD",03/17/2026 06:00 pm GMT+4,2017,SUBA,CROSSTREK,2.0L 4,4,JF2GPANC2HH274589,CERT OF TITLE-SALVAGE,"94,244 A",ACTUAL,FRONT END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/77573005/salvage-2016-bmw-428-xi-gran-coupe-sulev-ct-hartford,77573005,"15,591 USD",03/17/2026 06:00 pm GMT+4,2016,BMW,428,2.0L 4,4,WBA4C9C54GG141060,CERT OF TITLE-SALVAGE,"84,640 A",ACTUAL,FRONT END,0 USD,0 USD,0,CT - HARTFORD,0,N/A,N/A
