Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99994015/salvage-2023-hyundai-elantra-sel-de-seaford,99994015,"14,863 USD",03/17/2026 06:00 pm GMT+4,2023,HYUN,ELANTRA,2.0L  4,4,5NPLM4AG8PH087504,CERT OF SALVAGE > 75% DAMAGE,"58,988 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99895115/salvage-2009-nissan-murano-s-de-seaford,99895115,"5,724 USD",03/17/2026 06:00 pm GMT+4,2009,NISS,MURANO,3.5L  6,6,JN8AZ18W19W135141,CERT OF SALVAGE > 75% DAMAGE,"143,694 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99887085/salvage-2018-jeep-wrangler-unlimited-sahara-de-seaford,99887085,"25,951 USD",03/17/2026 06:00 pm GMT+4,2018,JEP,WRANGLER UNLIMITED,3.6L 6,6,1C4HJXEG9JW299212,SALVAGE CERTIFICATE,"53,974 A",ACTUAL,SIDE,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99725465/salvage-2023-kia-k5-lxs-de-seaford,99725465,"18,692 USD",03/17/2026 06:00 pm GMT+4,2023,KIA,K5,1.6L  4,4,5XXG14J24PG203615,CERT OF SALVAGE < 75% DAMAGE,"56,308 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99713455/salvage-2021-chevrolet-trailblazer-rs-de-seaford,99713455,"19,100 USD",03/17/2026 06:00 pm GMT+4,2021,CHEV,TRAILBLAZER,1.3L 3,3,KL79MUSL9MB115682,SALVAGE CERTIFICATE,"67,861 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99698755/salvage-2025-toyota-rav4-xle-de-seaford,99698755,"38,405 USD",03/17/2026 06:00 pm GMT+4,2025,TOYT,RAV4,2.5L  4,4,4T3RWRFV7SU178726,CERT OF SALVAGE > 75% DAMAGE,"8,460 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99678465/salvage-2015-mercedes-benz-c-300-4matic-de-seaford,99678465,"10,463 USD",03/17/2026 06:00 pm GMT+4,2015,MERZ,C,2.0L  4,4,55SWF4KB2FU032357,CERT OF SALVAGE > 75% DAMAGE,"136,381 A",ACTUAL,FRONT END,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99468705/salvage-2009-toyota-avalon-xl-de-seaford,99468705,"8,346 USD",03/17/2026 06:00 pm GMT+4,2009,TOYT,AVALON,3.5L  6,6,4T1BK36B59U331753,CERT OF SALVAGE > 75% DAMAGE,"95,477 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99462985/salvage-2017-honda-accord-lx-de-seaford,99462985,"14,572 USD",03/17/2026 06:00 pm GMT+4,2017,HOND,ACCORD,2.4L  4,4,1HGCR2F36HA101423,CERT OF SALVAGE > 75% DAMAGE,"100,344 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99279075/salvage-2023-hyundai-elantra-n-de-seaford,99279075,"25,651 USD",03/17/2026 06:00 pm GMT+4,2023,HYUN,ELANTRA N,2.0L  4,4,KMHLW4AK8PU012527,CERT OF SALVAGE > 75% DAMAGE,"35,575 A",ACTUAL,MECHANICAL,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99165575/salvage-2018-chrysler-pacifica-touring-l-de-seaford,99165575,"16,786 USD",03/17/2026 06:00 pm GMT+4,2018,CHRY,PACIFICA,3.6L  6,6,2C4RC1BG9JR315949,CERT OF SALVAGE > 75% DAMAGE,"53,951 A",ACTUAL,FRONT END,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99156255/salvage-2008-cadillac-escalade-luxury-de-seaford,99156255,"8,613 USD",03/17/2026 06:00 pm GMT+4,2008,CADI,ESCALADE,6.2L 8,8,1GYFK638X8R255488,SALVAGE CERTIFICATE,"115,503 E",EXEMPT,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99124615/salvage-2025-mercedes-benz-glc-300-4matic-de-seaford,99124615,"46,622 USD",03/17/2026 06:00 pm GMT+4,2025,MERZ,GLC,2.0L 4,4,W1NKM4HB3SU091876,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,ROLLOVER,"10,000 USD",0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99113435/salvage-2022-land-rover-range-rover-sport-hse-silver-edition-de-seaford,99113435,"47,207 USD",03/17/2026 06:00 pm GMT+4,2022,LAND,RANGE ROVER SPORT,3.0L  6,6,SALWR2SU8NA203031,CERT OF SALVAGE > 75% DAMAGE,"43,539 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/99063605/salvage-2020-nissan-nv200-2-5s-de-seaford,99063605,"24,850 USD",03/17/2026 06:00 pm GMT+4,2020,NISS,NV200,2.0L  4,4,3N6CM0KN0LK704266,CERT OF SALVAGE > 75% DAMAGE,"56,978 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/98764015/salvage-2005-mercury-grand-marquis-gs-de-seaford,98764015,"4,213 USD",03/17/2026 06:00 pm GMT+4,2005,MERC,GRAND MARQUIS,4.6L 8,8,2MEFM74W35X600489,CERT OF SALVAGE > 75% DAMAGE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/98756285/salvage-2021-toyota-camry-se-de-seaford,98756285,"16,043 USD",03/17/2026 06:00 pm GMT+4,2021,TOYT,CAMRY,2.5L 4,4,4T1G11AK4MU540737,SALVAGE CERTIFICATE,"105,682 A",ACTUAL,FRONT END,300 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/98639795/salvage-2018-subaru-forester-2-5i-premium-de-seaford,98639795,"10,982 USD",03/17/2026 06:00 pm GMT+4,2018,SUBA,FORESTER,2.5L 4,4,JF2SJAGC5JH558166,CERTIFICATE OF SALVAGE,"154,111 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/98273735/salvage-2021-toyota-camry-se-de-seaford,98273735,"17,427 USD",03/17/2026 06:00 pm GMT+4,2021,TOYT,CAMRY,2.5L  4,4,4T1G11AK2MU426204,SALVAGE CERTIFICATE OF TITLE,"77,935 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97812005/clean-title-2013-chevrolet-equinox-lt-de-seaford,97812005,$1 USD,03/17/2026 06:00 pm GMT+4,2013,CHEV,EQUINOX,2.4L  4,4,2GNFLEEK3D6298993,CERTIFICATE OF TITLE,"152,024 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97733625/salvage-2005-chevrolet-silverado-c1500-de-seaford,97733625,"7,357 USD",03/17/2026 06:00 pm GMT+4,2005,CHEV,SILVERADO,4.3L  6,6,1GCEC14X05Z207842,CERT OF SALVAGE > 75% DAMAGE,"117,472 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97624695/2022-chevrolet-blazer-2lt-de-seaford,97624695,"19,714 USD",03/17/2026 06:00 pm GMT+4,2022,CHEV,BLAZER,2.0L  4,4,3GNKBCR49NS165563,PARTS ONLY - NO TITLE,"66,647 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97601825/salvage-2005-chevrolet-equinox-de-seaford,97601825,"2,585 USD",03/17/2026 06:00 pm GMT+4,2005,CHEV,EQUINOX,3.4L  6,6,2CNDL63F256046130,CERT OF SALVAGE > 75% DAMAGE,"134,479 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97533175/2011-toyota-sienna-de-seaford,97533175,"3,910 USD",03/17/2026 06:00 pm GMT+4,2011,TOYT,SIENNA,3.5L  6,6,5TDKK3DC5BS078024,PARTS ONLY - NO TITLE,"256,825 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97305015/clean-title-2008-toyota-tundra-double-cab-de-seaford,97305015,"13,450 USD",03/17/2026 06:00 pm GMT+4,2008,TOYT,TUNDRA,4.7L  8,8,5TBBT54178S459849,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97137765/salvage-2021-acura-tlx-technology-de-seaford,97137765,"26,011 USD",03/17/2026 06:00 pm GMT+4,2021,ACUR,TLX,2.0L  4,4,19UUB5F49MA006187,CERT OF SALVAGE > 75% DAMAGE,"51,928 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/97014995/salvage-2020-chevrolet-equinox-lt-de-seaford,97014995,"15,563 USD",03/17/2026 06:00 pm GMT+4,2020,CHEV,EQUINOX,1.5L 4,4,2GNAXUEV7L6128069,SALVAGE CERTIFICATE,"73,764 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/96985625/2025-chrysler-pacifica-select-de-seaford,96985625,"36,365 USD",03/17/2026 06:00 pm GMT+4,2025,CHRY,PACIFICA,3.6L  6,6,2C4RC1BG0SR571415,PARTS ONLY - NO TITLE,0 N,NOT ACTUAL,FRONT END,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/96980195/salvage-2009-nissan-sentra-2-0-de-seaford,96980195,"1,944 USD",03/17/2026 06:00 pm GMT+4,2009,NISS,SENTRA,2.0L  4,4,3N1AB61E89L693043,CERT OF SALVAGE > 75% DAMAGE,"190,238 E",EXEMPT,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/96800565/salvage-2020-nissan-sentra-sv-de-seaford,96800565,"12,618 USD",03/17/2026 06:00 pm GMT+4,2020,NISS,SENTRA,2.0L  4,4,3N1AB8CV5LY287398,CERT OF SALVAGE > 75% DAMAGE,"105,773 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/96795335/salvage-2017-nissan-maxima-3-5s-de-seaford,96795335,"12,271 USD",03/17/2026 06:00 pm GMT+4,2017,NISS,MAXIMA,3.5L  6,6,1N4AA6AP3HC437829,CERT OF SALVAGE > 75% DAMAGE,"82,800 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/96641375/salvage-2012-chevrolet-tahoe-k1500-lt-de-seaford,96641375,"11,882 USD",03/17/2026 06:00 pm GMT+4,2012,CHEV,TAHOE,5.3L  8,8,1GNSKBE09CR213740,CERT OF SALVAGE > 75% DAMAGE,"136,715 A",ACTUAL,FRONT END,250 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/96237375/salvage-2021-toyota-rav4-le-de-seaford,96237375,"16,621 USD",03/17/2026 06:00 pm GMT+4,2021,TOYT,RAV4,2.5L  4,4,2T3K1RFV0MW138264,CERT OF SALVAGE > 75% DAMAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/95943235/salvage-2021-land-rover-range-rover-hse-westminster-edition-de-seaford,95943235,"49,878 USD",03/17/2026 06:00 pm GMT+4,2021,LAND,RANGE ROVER,3.0L  6,6,SALGS2RU7MA422981,CERT OF SALVAGE > 75% DAMAGE,"40,550 A",ACTUAL,FRONT END,"3,050 USD",0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/95882085/salvage-2013-lexus-gs-350-de-seaford,95882085,"16,610 USD",03/17/2026 06:00 pm GMT+4,2013,LEXS,GS,3.5L  6,6,JTHCE1BL7D5015579,SALVAGE CERTIFICATE,"86,589 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/95479525/clean-title-2020-ford-f150-supercrew-de-seaford,95479525,"23,093 USD",03/17/2026 06:00 pm GMT+4,2020,FORD,F150,2.7L  6,6,1FTEW1EP7LFA06038,SALVAGE CERT-REBUILT,"113,856 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/95211275/salvage-2016-ram-1500-st-de-seaford,95211275,"16,531 USD",03/17/2026 06:00 pm GMT+4,2016,RAM,1500,5.7L  8,8,1C6RR7FT6GS400044,CERT OF SALVAGE > 75% DAMAGE,"104,129 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/95134415/salvage-2023-ford-escape-active-de-seaford,95134415,"20,896 USD",03/17/2026 06:00 pm GMT+4,2023,FORD,ESCAPE,1.5L  3,3,1FMCU9GN8PUA21443,CERT OF SALVAGE > 75% DAMAGE,"23,681 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/95012155/salvage-2019-chevrolet-equinox-lt-de-seaford,95012155,"15,850 USD",03/17/2026 06:00 pm GMT+4,2019,CHEV,EQUINOX,1.5L 4,4,2GNAXKEV4K6146385,SALVAGE CERTIFICATE,"49,796 A",ACTUAL,SIDE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/94328995/salvage-2022-toyota-corolla-le-de-seaford,94328995,"18,790 USD",03/17/2026 06:00 pm GMT+4,2022,TOYT,COROLLA,1.8L  4,4,5YFEPMAE2NP294016,CERT OF SALVAGE > 75% DAMAGE,"43,368 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/94202465/salvage-2016-ford-transit-de-seaford,94202465,"16,850 USD",03/17/2026 06:00 pm GMT+4,2016,FORD,TRANSIT,3.7L  6,6,1FTYE1YM5GKA71937,CERT OF SALVAGE > 75% DAMAGE,"169,685 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/92617125/salvage-2008-honda-cr-v-lx-de-seaford,92617125,"6,584 USD",03/17/2026 06:00 pm GMT+4,2008,HOND,CR-V,2.4L 4,4,JHLRE48358C013676,SALVAGE CERTIFICATE,"118,180 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/92250675/salvage-2012-chevrolet-cruze-lt-de-seaford,92250675,"4,748 USD",03/17/2026 06:00 pm GMT+4,2012,CHEV,CRUZE,1.4L  4,4,1G1PF5SCXC7191593,SALVAGE CERTIFICATE OF TITLE,"70,910 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/91734665/salvage-2015-chrysler-town-&-country-touring-de-seaford,91734665,"6,916 USD",03/17/2026 06:00 pm GMT+4,2015,CHRY,TOWN & COUNTRY,3.6L  6,6,2C4RC1BG9FR741793,CERT OF SALVAGE > 75% DAMAGE,"131,584 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/90994635/salvage-2016-ford-fusion-se-de-seaford,90994635,"9,057 USD",03/17/2026 06:00 pm GMT+4,2016,FORD,FUSION,1.5L 4,4,1FA6P0HD4G5105172,SALVAGE CERTIFICATE,"96,210 A",ACTUAL,REAR END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/90307975/salvage-2016-nissan-versa-1-6-sv-de-seaford,90307975,"5,001 USD",03/17/2026 06:00 pm GMT+4,2016,NISS,VERSA,1.6L 4,4,3N1CN7AP7GL840196,SALVAGE CERTIFICATE,"135,073 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/90304455/salvage-2015-mitsubishi-outlander-sport-es-de-seaford,90304455,"4,467 USD",03/17/2026 06:00 pm GMT+4,2015,MITS,OUTLANDER SPORT,2.0L  4,4,4A4AP3AU2FE008852,CERT OF SALVAGE > 75% DAMAGE,"341,414 A",ACTUAL,FRONT END,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/90217635/salvage-2023-kia-k5-gt-line-de-seaford,90217635,"20,523 USD",03/17/2026 06:00 pm GMT+4,2023,KIA,K5,1.6L  4,4,5XXG64J24PG178250,CERT OF SALVAGE > 75% DAMAGE,"59,712 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/90137515/salvage-2025-honda-accord-hybrid-sport-de-seaford,90137515,"31,644 USD",03/17/2026 06:00 pm GMT+4,2025,HOND,ACCORD,2.0L  4,4,1HGCY2F55SA024278,CERT OF SALVAGE > 75% DAMAGE,697 A,ACTUAL,REAR END,"2,850 USD",0 USD,0,DE - SEAFORD,0,N/A,N/A
https://www.copart.com/lot/87068655/2012-other-sds-211-wf150txr-de-seaford,87068655,"21,002 USD",03/17/2026 06:00 pm GMT+4,2012,OETH,SD 217,,,GDYR6536E212,PARTS ONLY,0 E,EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,DE - SEAFORD,0,N/A,N/A
