Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99774235/salvage-2016-chevrolet-cruze-limited-ltz-fl-clewiston,99774235,"7,411 USD",03/16/2026 06:00 pm GMT+4,2016,CHEV,CRUZE LIMITED,1.4L  4,4,1G1PG5SB5G7138696,CERT OF TITLE SLVG REBUILDABLE,"85,584 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99720205/salvage-2024-audi-a5-premium-45-fl-clewiston,99720205,"31,181 USD",03/16/2026 06:00 pm GMT+4,2024,AUDI,A5,2.0L 4,4,WAUDACF52RA060210,CERT OF TITLE SLVG REBUILDABLE,"14,757 A",ACTUAL,REAR END,350 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99632375/clean-title-2010-mercedes-benz-c-300-fl-clewiston,99632375,$1 USD,03/16/2026 06:00 pm GMT+4,2010,MERZ,C,3.0L  6,6,WDDGF5EB1AF385061,CERTIFICATE OF TITLE,"82,999 E",EXEMPT,NORMAL WEAR,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99606495/salvage-2025-tesla-model-3-fl-clewiston,99606495,"34,550 USD",03/16/2026 06:00 pm GMT+4,2025,TESL,MODEL 3,,,5YJ3E1EA6SF042053,CERT OF TITLE SLVG REBUILDABLE,"9,708 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99594535/salvage-2023-audi-a4-premium-40-fl-clewiston,99594535,"25,584 USD",03/16/2026 06:00 pm GMT+4,2023,AUDI,A4,2.0L 4,4,WAUABAF48PN009831,CERT OF TITLE SLVG REBUILDABLE,"24,732 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99551355/2020-kia-sedona-ex-fl-clewiston,99551355,"14,101 USD",03/16/2026 06:00 pm GMT+4,2020,KIA,SEDONA,3.3L 6,6,KNDMB5C16L6624951,CERTIFICATE OF DESTRUCTION,"95,753 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99546435/salvage-2021-jeep-renegade-sport-fl-clewiston,99546435,"16,750 USD",03/16/2026 06:00 pm GMT+4,2021,JEP,RENEGADE,2.4L  4,4,ZACNJCAB1MPM30587,CERT OF TITLE SLVG REBUILDABLE,"23,109 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99483805/salvage-2015-ram-1500-slt-fl-clewiston,99483805,"13,666 USD",03/16/2026 06:00 pm GMT+4,2015,RAM,1500,5.7L  8,8,1C6RR6LT6FS553469,CERT OF TITLE SLVG REBUILDABLE,"140,378 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99393655/2021-chevrolet-blazer-1lt-fl-clewiston,99393655,"24,521 USD",03/16/2026 06:00 pm GMT+4,2021,CHEV,BLAZER,2.5L  4,4,3GNKBBRA8MS576113,CERTIFICATE OF DESTRUCTION,"61,417 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99331895/salvage-2016-ram-1500-st-fl-clewiston,99331895,"11,883 USD",03/16/2026 06:00 pm GMT+4,2016,RAM,1500,3.6L  6,6,1C6RR6KG0GS414766,CERT OF TITLE SLVG REBUILDABLE,"137,004 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99303195/salvage-2014-mercedes-benz-cla-250-fl-clewiston,99303195,"8,777 USD",03/16/2026 06:00 pm GMT+4,2014,MERZ,CLA,2.0L 4,4,WDDSJ4EB3EN036157,CERT OF TITLE SLVG REBUILDABLE,"84,571 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99084835/salvage-2025-bmw-x5-sdrive-40i-fl-clewiston,99084835,"58,117 USD",03/16/2026 06:00 pm GMT+4,2025,BMW,X5,3.0L  6,6,5UX13EU01S9Z06738,CERT OF TITLE SLVG REBUILDABLE,"14,131 A",ACTUAL,REAR END,"1,300 USD",0 USD,0,FL - CLEWISTON,0,N/A,N/A
https://www.copart.com/lot/99083655/salvage-2024-acura-integra-a-spec-fl-clewiston,99083655,"24,549 USD",03/16/2026 06:00 pm GMT+4,2024,ACUR,INTEGRA,1.5L  4,4,19UDE4H30RA023781,CERT OF TITLE SLVG REBUILDABLE,"25,272 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - CLEWISTON,0,N/A,N/A
