Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99457175/2019-honda-accord-lx-fl-jacksonville-north,99457175,"13,871 USD",03/16/2026 06:00 pm GMT+4,2019,HOND,ACCORD,1.5L  4,4,1HGCV1F19KA004356,CERTIFICATE OF DESTRUCTION,"89,314 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/96982985/salvage-2019-nissan-altima-2-5-sl-fl-jacksonville-north,96982985,"9,640 USD",03/16/2026 06:00 pm GMT+4,2019,NISS,ALTIMA,2.5L 4,4,1N4BL4EV9KC116154,CERT OF TITLE SLVG REBUILDABLE,"132,702 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/95532925/salvage-2021-jeep-renegade-sport-fl-jacksonville-north,95532925,"11,238 USD",03/16/2026 06:00 pm GMT+4,2021,JEP,RENEGADE,2.4L  4,4,ZACNJCAB7MPM72262,SALVAGE CERTIFICATE OF TITLE,"115,235 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/95021295/clean-title-2006-chrysler-crossfire-fl-jacksonville-north,95021295,$1 USD,03/16/2026 06:00 pm GMT+4,2006,CHRY,CROSSFIRE,3.2L  6,6,1C3AN55LX6X068039,CERTIFICATE OF TITLE,"79,143 E",EXEMPT,REAR END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/94344265/salvage-2014-toyota-rav4-le-fl-jacksonville-north,94344265,"11,793 USD",03/16/2026 06:00 pm GMT+4,2014,TOYT,RAV4,2.5L 4,4,2T3ZFREV4EW075317,CERT OF TITLE SLVG REBUILDABLE,"88,006 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/93495015/clean-title-2010-toyota-camry-le-fl-jacksonville-north,93495015,$1 USD,03/16/2026 06:00 pm GMT+4,2010,TOYT,CAMRY,2.5L  4,4,4T1BF3EK0AU004364,CERTIFICATE OF TITLE,"211,582 E",EXEMPT,NORMAL WEAR,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/92122935/clean-title-2014-buick-lacrosse-fl-jacksonville-north,92122935,"10,250 USD",03/16/2026 06:00 pm GMT+4,2014,BUIC,LACROSSE,3.6L  6,6,1G4GB5G37EF137653,CERTIFICATE OF TITLE,"189,738 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/87437935/salvage-2021-toyota-highlander-hybrid-le-fl-jacksonville-north,87437935,"23,381 USD",03/16/2026 06:00 pm GMT+4,2021,TOYT,HIGHLANDER,2.5L  4,4,5TDZARAH0MS505391,CERT OF TITLE SLVG REBUILDABLE,"100,188 A",ACTUAL,SIDE,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/80307055/clean-title-2022-kaufman-car-carrier-fl-jacksonville-north,80307055,"18,214 USD",03/16/2026 06:00 pm GMT+4,2022,KTI,UNKNOWN,,,5VGFW5029NL010198,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79978955/salvage-2010-volkswagen-jetta-s-fl-jacksonville-north,79978955,"4,680 USD",03/16/2026 06:00 pm GMT+4,2010,VOLK,JETTA,2.5L 5,5,3VWJX7AJ2AM002988,CERT OF TITLE SLVG REBUILDABLE,"141,664 E",EXEMPT,SIDE,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79839195/clean-title-2011-cadillac-srx-luxury-collection-fl-jacksonville-north,79839195,$1 USD,03/16/2026 06:00 pm GMT+4,2011,CADI,SRX,3.0L 6,6,3GYFNAEY3BS664637,CERTIFICATE OF TITLE,"215,535 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79773935/salvage-2019-kia-soul-base-fl-jacksonville-north,79773935,"7,711 USD",03/16/2026 06:00 pm GMT+4,2019,KIA,SOUL,1.6L 4,4,KNDJN2A21K7909196,CERT OF TITLE SLVG REBUILDABLE,"97,988 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79731755/salvage-1999-honda-civic-ex-fl-jacksonville-north,79731755,"7,000 USD",03/16/2026 06:00 pm GMT+4,1999,HOND,CIVIC,1.6L 4,4,1HGEJ8142XL014804,CERT OF TITLE SLVG REBUILDABLE,"286,400 E",EXEMPT,REAR END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79726785/clean-title-2008-bmw-335-i-fl-jacksonville-north,79726785,$1 USD,03/16/2026 06:00 pm GMT+4,2008,BMW,335,3.0L 6,6,WBAWL73588PX57519,CERTIFICATE OF TITLE,"135,503 E",EXEMPT,REAR END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79710055/clean-title-2019-mercedes-benz-glc-300-fl-jacksonville-north,79710055,"14,875 USD",03/16/2026 06:00 pm GMT+4,2019,MERZ,GLC,2.0L 4,4,WDC0G4JB7KF543214,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,VANDALISM,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
https://www.copart.com/lot/79610585/clean-title-2022-ford-escape-se-fl-jacksonville-north,79610585,$1 USD,03/16/2026 06:00 pm GMT+4,2022,FORD,ESCAPE,1.5L 3,3,1FMCU9G65NUA60593,CERTIFICATE OF TITLE,"166,145 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,0,N/A,N/A
