Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/97986665/salvage-2002-ford-econoline-e250-van-fl-miami-central,97986665,"2,526 USD",03/16/2026 06:00 pm GMT+4,2002,FORD,ECONOLINE,5.4L  8,8,1FTNS24L02HA02402,CERT OF TITLE SLVG REBUILDABLE,"282,012 E",EXEMPT,SIDE,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/97923475/salvage-2021-audi-rs5-fl-miami-central,97923475,"45,902 USD",03/16/2026 06:00 pm GMT+4,2021,AUDI,RS5,2.9L  6,6,WUAAWCF5XMA904531,CERT OF TITLE SLVG REBUILDABLE,"62,921 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/97739055/clean-title-2017-kia-sorento-ex-fl-miami-central,97739055,$1 USD,03/16/2026 06:00 pm GMT+4,2017,KIA,SORENTO,3.3L  6,6,5XYPHDA52HG201400,CERTIFICATE OF TITLE,"110,492 N",NOT ACTUAL,FRONT END,15 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/97407755/salvage-2024-hyundai-sonata-n-line-fl-miami-central,97407755,"25,639 USD",03/16/2026 06:00 pm GMT+4,2024,HYUN,SONATA,2.5L  4,4,KMHL54JC6RA411209,CERT OF TITLE SLVG REBUILDABLE,"19,150 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/95695625/clean-title-2014-jeep-grand-cherokee-limited-fl-miami-central,95695625,$1 USD,03/16/2026 06:00 pm GMT+4,2014,JEP,GRAND CHEROKEE,5.7L  8,8,1C4RJEBT4EC122942,CERTIFICATE OF TITLE,"197,318 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/95695115/clean-title-2014-jeep-grand-cherokee-limited-fl-miami-central,95695115,$1 USD,03/16/2026 06:00 pm GMT+4,2014,JEP,GRAND CHEROKEE,3.0L  6,6,1C4RJFBM9EC380632,CERTIFICATE OF TITLE,"164,198 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/95694115/clean-title-2013-lexus-gs-350-fl-miami-central,95694115,$1 USD,03/16/2026 06:00 pm GMT+4,2013,LEXS,GS,3.5L  6,6,JTHBE1BLXD5004975,CERTIFICATE OF TITLE,"267,450 A",ACTUAL,SIDE,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/94338115/salvage-2023-honda-hr-v-sport-fl-miami-central,94338115,"20,670 USD",03/16/2026 06:00 pm GMT+4,2023,HOND,HR-V,2.0L  4,4,3CZRZ1H56PM706667,CERT OF TITLE SLVG REBUILDABLE,"25,202 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/93539195/salvage-2019-infiniti-q50-luxe-fl-miami-central,93539195,"18,650 USD",03/16/2026 06:00 pm GMT+4,2019,INFI,Q50,3.0L  6,6,JN1EV7AP3KM515083,CERT OF TITLE SLVG REBUILDABLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/79934605/clean-title-2014-toyota-prius-four-fl-miami-central,79934605,"6,300 USD",03/16/2026 06:00 pm GMT+4,2014,TOYT,PRIUS,1.8L 4,4,JTDKN3DU2E0374142,CERTIFICATE OF TITLE,"235,767 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/79716755/salvage-2017-toyota-corolla-se-fl-miami-central,79716755,"9,964 USD",03/16/2026 06:00 pm GMT+4,2017,TOYT,COROLLA,1.8L 4,4,2T1BURHE1HC838184,CERT OF TITLE SLVG REBUILDABLE,"107,566 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/79415945/salvage-1998-toyota-rav4-base-fl-miami-central,79415945,"3,941 USD",03/16/2026 06:00 pm GMT+4,1998,TOYT,RAV4,2.0L 4,4,JT3HP10V7W7101346,CERT OF TITLE SLVG REBUILDABLE,"198,793 E",EXEMPT,SIDE,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
https://www.copart.com/lot/79315095/clean-title-2018-mercedes-benz-gla-250-4matic-fl-miami-central,79315095,"21,758 USD",03/16/2026 06:00 pm GMT+4,2018,MERZ,GLA,2.0L 4,4,WDCTG4GB3JJ526779,CERTIFICATE OF TITLE (P),"80,507 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,FL - MIAMI CENTRAL,0,N/A,N/A
