Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99637515/2022-toyota-rav4-le-fl-punta-gorda,99637515,"23,851 USD",03/17/2026 06:00 pm GMT+4,2022,TOYT,RAV4,2.5L  4,4,2T3H1RFV5NW192929,CERTIFICATE OF DESTRUCTION,"80,330 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/98943105/clean-title-2019-mitsubishi-mirage-es-fl-punta-gorda,98943105,$1 USD,03/17/2026 06:00 pm GMT+4,2019,MITS,MIRAGE,1.2L  3,3,ML32A3HJ9KH012627,CERTIFICATE OF TITLE,"115,485 A",ACTUAL,FRONT END,15 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/95519045/salvage-2017-jeep-wrangler-unlimited-sport-fl-punta-gorda,95519045,"16,729 USD",03/17/2026 06:00 pm GMT+4,2017,JEP,WRANGLER UNLIMITED,3.6L  6,6,1C4BJWDG4HL678163,CERT OF TITLE-SLVG REBLD FLOOD,"112,080 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/85275865/salvage-2021-toyota-highlander-hybrid-xle-fl-punta-gorda,85275865,"26,336 USD",03/17/2026 06:00 pm GMT+4,2021,TOYT,HIGHLANDER HYBRID,2.5L 4,4,5TDGARAH8MS503556,CERT OF TITLE SLVG REBUILDABLE,"77,103 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/77180865/salvage-2023-tesla-model-3-fl-punta-gorda,77180865,"22,604 USD",03/17/2026 06:00 pm GMT+4,2023,TESL,MODEL 3,,,5YJ3E1EA4PF384916,CERT OF TTL-REBUILT&SLVG RBLD,"50,870 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/76691605/2021-hyundai-santa-fe-sel-fl-punta-gorda,76691605,"15,934 USD",03/17/2026 06:00 pm GMT+4,2021,HYUN,SANTA FE,2.5L 4,4,5NMS24AJ5MH320518,CERTIFICATE OF DESTRUCTION,"46,438 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/76624295/salvage-2021-lexus-ls-500-base-fl-punta-gorda,76624295,"54,331 USD",03/17/2026 06:00 pm GMT+4,2021,LEXS,LS 500,3.5L 6,6,JTHD51FF6M5013461,CERT OF TITLE SLVG REBUILDABLE,"19,017 N",NOT ACTUAL,MECHANICAL,"23,500 USD",0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/76449925/2020-lincoln-nautilus-reserve-fl-punta-gorda,76449925,"19,290 USD",03/17/2026 06:00 pm GMT+4,2020,LINC,NAUTILUS,2.0L 4,4,2LMPJ6K95LBL09220,CERTIFICATE OF DESTRUCTION,"57,649 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/76391185/2023-subaru-impreza-premium-fl-punta-gorda,76391185,"21,096 USD",03/17/2026 06:00 pm GMT+4,2023,SUBA,IMPREZA,2.0L 4,4,4S3GTAV60P3707438,CERTIFICATE OF DESTRUCTION,"9,737 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/75832115/2024-gmc-canyon-elevation-fl-punta-gorda,75832115,"31,284 USD",03/17/2026 06:00 pm GMT+4,2024,GMC,CANYON,2.7L  4,4,1GTP5BEK1R1318836,CERTIFICATE OF DESTRUCTION,0 N,NOT ACTUAL,FRONT END,15 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/73959375/2023-honda-cr-v-sport-fl-punta-gorda,73959375,"22,619 USD",03/17/2026 06:00 pm GMT+4,2023,HOND,CR-V,2.0L  4,4,2HKRS5H57PH714123,CERTIFICATE OF DESTRUCTION,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/73958185/2025-volkswagen-jetta-s-fl-punta-gorda,73958185,"18,633 USD",03/17/2026 06:00 pm GMT+4,2025,VOLK,JETTA,1.5L 4,4,3VW5X7BU0SM083985,CERTIFICATE OF DESTRUCTION,"8,629 A",ACTUAL,SIDE,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/42044796/2024-alfa-romeo-giulia-ti-fl-punta-gorda,42044796,"27,507 USD",03/17/2026 06:00 pm GMT+4,2024,ALFA,GIULIA,2.0L 4,4,ZARFAMBN4R7679997,CERTIFICATE OF DESTRUCTION,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
https://www.copart.com/lot/42044656/salvage-2022-dodge-charger-gt-fl-punta-gorda,42044656,"22,485 USD",03/17/2026 06:00 pm GMT+4,2022,DODG,CHARGER,3.6L 6,6,2C3CDXHG9NH224872,CERT OF TITLE-SALVAGE TITLE,"161,065 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - PUNTA GORDA,0,N/A,N/A
