Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/94338215/salvage-2014-chevrolet-silverado-c1500-ga-atlanta-north,94338215,"14,325 USD",03/18/2026 06:00 pm GMT+4,2014,CHEV,SILVERADO,4.3L  6,6,3GCPCPEH1EG346316,CERT OF TITLE-SALVAGE,"130,753 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/93617215/salvage-2023-chevrolet-ck2500-ga-atlanta-north,93617215,"28,637 USD",03/18/2026 06:00 pm GMT+4,2023,CHEV,.CK2500,5.3L  8,8,3GCPCREC7JG116077,CERT OF TITLE-SALVAGE,"33,841 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/79781075/salvage-2018-kia-forte-lx-ga-atlanta-north,79781075,"10,108 USD",03/18/2026 06:00 pm GMT+4,2018,KIA,FORTE,2.0L 4,4,3KPFL4A77JE255841,CERT OF TITLE-SALVAGE,"70,455 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/79775135/salvage-2014-toyota-rav-4-ga-atlanta-north,79775135,$1 USD,03/18/2026 06:00 pm GMT+4,2014,TOYT,RAV4,2.5L 4,4,JTMZFREVXEJ006632,CERT OF TITLE-SALVAGE,"229,001 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/78793055/salvage-2019-lincoln-mkc-ga-atlanta-north,78793055,"16,389 USD",03/18/2026 06:00 pm GMT+4,2019,LINC,MKC,2.0L 4,4,5LMCJ1C91KUL38554,CERT OF TITLE-SALVAGE,"34,104 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/77074235/salvage-2023-dodge-charger-gt-ga-atlanta-north,77074235,"21,388 USD",03/18/2026 06:00 pm GMT+4,2023,DODG,CHARGER,3.6L  6,6,2C3CDXHG3PH670891,CERT OF TITLE-SALVAGE,"66,474 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/76584625/salvage-2020-mitsubishi-outlander-sport-se-ga-atlanta-north,76584625,"14,895 USD",03/18/2026 06:00 pm GMT+4,2020,MITS,OUTLANDER SPORT,2.0L  4,4,JA4AP4AU2LU016782,CERT OF TITLE-SALVAGE,"60,605 A",ACTUAL,SIDE,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/76289085/salvage-2018-toyota-camry-hybrid-ga-atlanta-north,76289085,"10,934 USD",03/18/2026 06:00 pm GMT+4,2018,TOYT,CAMRY,2.5L  4,4,4T1B21HK7JU501620,CERT OF TITLE-SALVAGE,"172,772 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/75915275/salvage-2025-volkswagen-jetta-sport-ga-atlanta-north,75915275,"19,573 USD",03/18/2026 06:00 pm GMT+4,2025,VOLK,JETTA,1.5L  4,4,3VWBX7BU9SM099153,CERT OF TITLE-SALVAGE,"6,119 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
https://www.copart.com/lot/74337355/salvage-2020-toyota-corolla-le-ga-atlanta-north,74337355,"13,328 USD",03/18/2026 06:00 pm GMT+4,2020,TOYT,COROLLA,1.8L  4,4,JTDEPRAE3LJ001920,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,GA - ATLANTA NORTH,0,N/A,N/A
