Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98628985/salvage-2018-honda-civic-ex-ga-augusta,98628985,"12,884 USD",03/17/2026 06:00 pm GMT+4,2018,HOND,CIVIC,2.0L  4,4,2HGFC2F78JH551499,CERT OF TITLE-SALVAGE,"147,603 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/92688605/salvage-2017-lincoln-mkz-select-ga-augusta,92688605,"10,852 USD",03/17/2026 06:00 pm GMT+4,2017,LINC,MKZ,2.0L  4,4,3LN6L5C90HR615695,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/82499965/salvage-2023-chevrolet-silverado-k1500-ltz-ga-augusta,82499965,"38,837 USD",03/17/2026 06:00 pm GMT+4,2023,CHEV,SILVERADO,5.3L  8,8,1GCUDGED3PZ109634,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/79696975/salvage-2015-ford-escape-titanium-ga-augusta,79696975,"10,487 USD",03/17/2026 06:00 pm GMT+4,2015,FORD,ESCAPE,2.0L 4,4,1FMCU0J97FUC73562,CERT OF TITLE-SALVAGE,"58,525 A",ACTUAL,ALL OVER,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/78658695/salvage-2014-ford-fusion-se-ga-augusta,78658695,"4,403 USD",03/17/2026 06:00 pm GMT+4,2014,FORD,FUSION,1.6L  4,4,3FA6P0HR4ER160243,CERT OF TITLE-SALVAGE,"182,183 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/77783835/salvage-2012-honda-accord-lx-ga-augusta,77783835,"4,554 USD",03/17/2026 06:00 pm GMT+4,2012,HOND,ACCORD,2.4L  4,4,1HGCP2F39CA179595,CERT OF TITLE-SALVAGE,"234,565 A",ACTUAL,ALL OVER,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/77735335/salvage-2016-nissan-maxima-3-5-s-ga-augusta,77735335,"6,810 USD",03/17/2026 06:00 pm GMT+4,2016,NISS,MAXIMA,3.5L 6,6,1N4AA6AP2GC905662,CERT OF TITLE-SALVAGE,"139,811 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/77555125/salvage-2014-honda-accord-sport-ga-augusta,77555125,"9,747 USD",03/17/2026 06:00 pm GMT+4,2014,HOND,ACCORD,2.4L 4,4,1HGCR2F5XEA021202,CERT OF TITLE-SALVAGE,"126,223 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/77528895/salvage-2017-chrysler-pacifica-touring-l-ga-augusta,77528895,"10,654 USD",03/17/2026 06:00 pm GMT+4,2017,CHRY,PACIFICA,3.6L  6,6,2C4RC1BG8HR788364,CERT OF TITLE-SALVAGE,"128,758 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/77464155/salvage-2013-chevrolet-tahoe-c1500-ls-ga-augusta,77464155,"9,129 USD",03/17/2026 06:00 pm GMT+4,2013,CHEV,TAHOE,5.3L  8,8,1GNSCAE02DR186177,CERT OF TITLE-SALVAGE,"143,819 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/77007135/salvage-2011-chrysler-200-touring-ga-augusta,77007135,"3,609 USD",03/17/2026 06:00 pm GMT+4,2011,CHRY,200,3.6L  6,6,1C3BC1FG5BN600405,CERT OF TITLE-SALVAGE,"160,561 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/76804875/salvage-2015-kia-optima-lx-ga-augusta,76804875,"2,707 USD",03/17/2026 06:00 pm GMT+4,2015,KIA,OPTIMA,2.4L  4,4,5XXGM4A73FG400714,CERT OF TITLE-SALVAGE,"234,824 A",ACTUAL,SIDE,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/76607975/salvage-2017-ram-1500-slt-ga-augusta,76607975,"9,662 USD",03/17/2026 06:00 pm GMT+4,2017,RAM,1500,3.6L  6,6,1C6RR6GG6HS708134,CERT OF TITLE-SALVAGE,"159,447 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/76563765/salvage-2023-chevrolet-silverado-c1500-custom-ga-augusta,76563765,"24,176 USD",03/17/2026 06:00 pm GMT+4,2023,CHEV,SILVERADO,2.7L  4,4,1GCPABEK1PZ148293,CERT OF TITLE-SALVAGE,"107,724 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/76443905/salvage-2005-chevrolet-equinox-lt-ga-augusta,76443905,"1,014 USD",03/17/2026 06:00 pm GMT+4,2005,CHEV,EQUINOX,3.4L  6,6,2CNDL63F556145153,CERT OF TITLE-SALVAGE,"274,049 E",EXEMPT,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/75984985/salvage-2024-chevrolet-equinox-lt-ga-augusta,75984985,"23,689 USD",03/17/2026 06:00 pm GMT+4,2024,CHEV,EQUINOX,1.5L  4,4,3GNAXKEG5RL123799,CERT OF TITLE-SALVAGE,"28,538 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/75775945/salvage-2000-mercury-cougar-v6-ga-augusta,75775945,"4,441 USD",03/17/2026 06:00 pm GMT+4,2000,MERC,COUGAR,2.5L  6,6,1ZWFT61L8Y5607980,CERT OF TITLE-SALVAGE,"163,822 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/75683105/salvage-2015-nissan-murano-s-ga-augusta,75683105,"11,789 USD",03/17/2026 06:00 pm GMT+4,2015,NISS,MURANO,3.5L  6,6,5N1AZ2MH5FN266952,CERT OF TITLE-SALVAGE,"98,662 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/75448675/salvage-2020-kia-sorento-l-ga-augusta,75448675,"16,907 USD",03/17/2026 06:00 pm GMT+4,2020,KIA,SORENTO,2.4L  4,4,5XYPG4A39LG636635,CERT OF TITLE-SALVAGE,"68,543 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/74889265/salvage-2023-dodge-challenger-gt-ga-augusta,74889265,"23,428 USD",03/17/2026 06:00 pm GMT+4,2023,DODG,CHALLENGER,3.6L  6,6,2C3CDZJG5PH693224,CERT OF TITLE-SALVAGE,"56,413 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/74764925/salvage-2020-kia-soul-lx-ga-augusta,74764925,"11,699 USD",03/17/2026 06:00 pm GMT+4,2020,KIA,SOUL,2.0L  4,4,KNDJ23AU4L7076172,CERT OF TITLE-SALVAGE,"83,206 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/74607555/salvage-2013-chevrolet-camaro-lt-ga-augusta,74607555,"6,796 USD",03/17/2026 06:00 pm GMT+4,2013,CHEV,CAMARO,3.6L  6,6,2G1FC1E33D9148805,CERT OF TITLE-SALVAGE,"206,693 A",ACTUAL,SIDE,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/74593445/salvage-2022-toyota-tacoma-ga-augusta,74593445,"20,283 USD",03/17/2026 06:00 pm GMT+4,2022,TOYT,TACOMA,2.7L  4,4,3TYRX5GN1NT047127,CERT OF TITLE-SALVAGE,"70,214 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/73237795/salvage-2006-toyota-tundra-double-cab-sr5-ga-augusta,73237795,"5,689 USD",03/17/2026 06:00 pm GMT+4,2006,TOYT,TUNDRA,4.7L  8,8,5TBET34186S552877,CERT OF TITLE-SALVAGE,"235,119 E",EXEMPT,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/73026685/salvage-2022-nissan-altima-sr-ga-augusta,73026685,"16,458 USD",03/17/2026 06:00 pm GMT+4,2022,NISS,ALTIMA,2.5L  4,4,1N4BL4CV7NN308409,CERT OF TITLE-SALVAGE,"84,072 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/72760795/salvage-2023-toyota-rav4-trd-off-road-ga-augusta,72760795,"32,093 USD",03/17/2026 06:00 pm GMT+4,2023,TOYT,RAV4,2.5L  4,4,2T3S1RFV4PW357068,CERT OF TITLE-SALVAGE,"41,754 A",ACTUAL,SIDE,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/72758175/salvage-2025-honda-accord-se-ga-augusta,72758175,"28,207 USD",03/17/2026 06:00 pm GMT+4,2025,HOND,ACCORD,1.5L  4,4,1HGCY1F46SA057906,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/45642546/clean-title-1998-nissan-frontier-base-ga-augusta,45642546,"1,750 USD",03/17/2026 06:00 pm GMT+4,1998,NISS,FRONTIER,2.4L 4,4,1N6DD21S6WC353560,CERTIFICATE OF TITLE,0 E,EXEMPT,MECHANICAL,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/45631496/clean-title-2009-toyota-corolla-le-ga-augusta,45631496,"3,500 USD",03/17/2026 06:00 pm GMT+4,2009,TOYT,COROLLA,1.8L 4,4,JTDBL40E699075023,CERTIFICATE OF TITLE,"217,378 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/41987856/clean-title-2015-nissan-sentra-sv-ga-augusta,41987856,$1 USD,03/17/2026 06:00 pm GMT+4,2015,NISS,SENTRA,1.8L 4,4,3N1AB7AP1FL655477,CERTIFICATE OF TITLE,"149,016 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/41976856/clean-title-2010-ford-f150-supercrew-ga-augusta,41976856,$1 USD,03/17/2026 06:00 pm GMT+4,2010,FORD,F150,5.4L 8,8,1FTFW1EV7AFB18550,CERTIFICATE OF TITLE,"312,457 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
